species_order,sample_role,species,inat_taxon_id,pages_requested,after_observer_cap,retained,full_fixed_300,api_exhausted,terminal_request_error
0,evaluation,Galanthus elwesii,57514,3,384,300,True,True,
1,training,Hibiscus denudatus,77409,3,480,300,True,False,
2,evaluation,Cornus canadensis,47192,4,401,300,True,False,
3,training,Ribes americanum,125487,3,381,300,True,True,
4,training,Ericameria linearifolia,57971,2,304,300,True,True,
5,evaluation,Anchusa arvensis,62200,3,347,300,True,True,
6,training,Thunbergia alata,132458,3,467,300,True,False,
7,training,Fritillaria affinis,50618,3,486,300,True,False,
8,evaluation,Viburnum lantana,124741,3,418,300,True,False,
9,evaluation,Erysimum cheiranthoides,77068,4,380,300,True,True,
10,evaluation,Carnegiea gigantea,54449,4,347,300,True,True,
11,evaluation,Ranunculus acris,56064,4,443,300,True,False,
12,evaluation,Pilosella aurantiaca,711103,4,495,300,True,False,
13,evaluation,Lachenalia punctata,862397,3,338,300,True,True,
14,training,Notobasis syriaca,467550,3,329,300,True,True,
15,training,Knautia arvensis,129115,3,467,300,True,False,
16,evaluation,Sonchus arvensis,79156,3,465,300,True,False,
17,training,Asarum arifolium,1455147,3,307,300,True,True,
18,training,Amelanchier ovalis,198885,3,375,300,True,True,
19,training,Fumaria capreolata,57852,3,543,300,True,False,
20,evaluation,Asclepias syriaca,47911,3,456,300,True,False,
21,training,Berteroa incana,75762,4,414,300,True,False,
22,training,Cephalanthus occidentalis,52763,4,503,300,True,False,
23,evaluation,Tagetes lunulata,153954,3,425,300,True,False,
24,training,Lactuca serriola,53107,3,511,300,True,False,
25,training,Geranium dissectum,53075,3,526,300,True,False,
26,training,Malvaviscus arboreus,120942,4,469,300,True,False,
27,training,Eutrochium maculatum,117440,3,409,300,True,False,
28,training,Acer circinatum,48258,3,302,300,True,True,
29,training,Heliotropium indicum,83492,3,479,300,True,False,
30,training,Lilium martagon,85027,3,537,300,True,False,
31,evaluation,Lonicera xylosteum,124548,3,478,300,True,False,
32,training,Cardamine pratensis,54531,4,452,300,True,False,
33,evaluation,Erysimum capitatum,50628,3,499,300,True,False,
34,evaluation,Eryngium maritimum,162707,3,394,300,True,True,
35,evaluation,Clarkia rubicunda,57148,4,443,300,True,False,
36,evaluation,Viola odorata,55845,4,455,300,True,False,
37,evaluation,Grevillea alpina,411301,3,337,300,True,True,
38,training,Cephalanthera rubra,129834,3,460,300,True,False,
39,evaluation,Calluna vulgaris,119450,4,427,300,True,False,
40,training,Argemone munita,58950,2,308,300,True,True,
41,evaluation,Potentilla indica,243824,3,479,300,True,False,
