cell_id,available_pages_capped_50,distinct_pages_used,page_reuse_fraction,fewer_than_20_distinct_available_pages
0,1,1,0.95,True
1,1,1,0.95,True
2,1,1,0.95,True
3,1,1,0.95,True
4,1,1,0.95,True
5,10,10,0.5,True
6,1,1,0.95,True
7,1,1,0.95,True
8,1,1,0.95,True
9,1,1,0.95,True
10,1,1,0.95,True
11,1,1,0.95,True
12,1,1,0.95,True
13,1,1,0.95,True
14,1,1,0.95,True
15,1,1,0.95,True
16,1,1,0.95,True
17,2,2,0.9,True
18,6,6,0.7,True
19,1,1,0.95,True
20,1,1,0.95,True
21,1,1,0.95,True
22,1,1,0.95,True
23,50,20,0.0,False
24,50,20,0.0,False
25,1,1,0.95,True
26,1,1,0.95,True
27,50,20,0.0,False
28,50,20,0.0,False
29,1,1,0.95,True
30,1,1,0.95,True
31,1,1,0.95,True
32,50,20,0.0,False
33,50,20,0.0,False
34,50,20,0.0,False
35,50,20,0.0,False
36,1,1,0.95,True
37,1,1,0.95,True
38,1,1,0.95,True
39,1,1,0.95,True
40,1,1,0.95,True
41,50,20,0.0,False
42,50,20,0.0,False
43,1,1,0.95,True
44,1,1,0.95,True
45,50,20,0.0,False
46,50,20,0.0,False
47,7,7,0.65,True
48,1,1,0.95,True
49,1,1,0.95,True
50,50,20,0.0,False
51,28,20,0.0,False
52,50,20,0.0,False
53,7,7,0.65,True
54,1,1,0.95,True
55,1,1,0.95,True
56,1,1,0.95,True
57,1,1,0.95,True
58,1,1,0.95,True
59,38,20,0.0,False
60,29,20,0.0,False
61,32,20,0.0,False
62,1,1,0.95,True
63,3,3,0.85,True
64,20,20,0.0,False
65,7,7,0.65,True
66,1,1,0.95,True
67,1,1,0.95,True
68,7,7,0.65,True
69,15,15,0.25,True
70,25,20,0.0,False
71,2,2,0.9,True
72,1,1,0.95,True
73,1,1,0.95,True
74,1,1,0.95,True
75,1,1,0.95,True
76,8,8,0.6,True
77,50,20,0.0,False
78,25,20,0.0,False
79,17,17,0.15000000000000002,True
80,1,1,0.95,True
81,3,3,0.85,True
82,15,15,0.25,True
83,1,1,0.95,True
84,1,1,0.95,True
85,2,2,0.9,True
86,16,16,0.19999999999999996,True
87,2,2,0.9,True
88,1,1,0.95,True
89,1,1,0.95,True
90,1,1,0.95,True
91,4,4,0.8,True
92,1,1,0.95,True
93,18,18,0.09999999999999998,True
94,50,20,0.0,False
95,50,20,0.0,False
96,1,1,0.95,True
97,1,1,0.95,True
98,3,3,0.85,True
99,5,5,0.75,True
100,2,2,0.9,True
101,3,3,0.85,True
102,45,20,0.0,False
103,17,17,0.15000000000000002,True
104,12,12,0.4,True
105,6,6,0.7,True
106,6,6,0.7,True
107,1,1,0.95,True
108,1,1,0.95,True
109,16,16,0.19999999999999996,True
110,1,1,0.95,True
111,50,20,0.0,False
112,50,20,0.0,False
113,16,16,0.19999999999999996,True
114,1,1,0.95,True
115,1,1,0.95,True
116,50,20,0.0,False
117,1,1,0.95,True
118,49,20,0.0,False
119,16,16,0.19999999999999996,True
120,16,16,0.19999999999999996,True
121,24,20,0.0,False
122,48,20,0.0,False
123,50,20,0.0,False
124,1,1,0.95,True
125,1,1,0.95,True
126,1,1,0.95,True
127,1,1,0.95,True
128,50,20,0.0,False
129,50,20,0.0,False
130,50,20,0.0,False
131,50,20,0.0,False
132,19,19,0.050000000000000044,True
133,13,13,0.35,True
134,50,20,0.0,False
135,50,20,0.0,False
136,50,20,0.0,False
137,50,20,0.0,False
138,21,20,0.0,False
139,9,9,0.55,True
140,30,20,0.0,False
141,50,20,0.0,False
142,10,10,0.5,True
143,1,1,0.95,True
144,4,4,0.8,True
145,29,20,0.0,False
146,50,20,0.0,False
147,50,20,0.0,False
148,11,11,0.44999999999999996,True
149,10,10,0.5,True
150,24,20,0.0,False
151,12,12,0.4,True
152,50,20,0.0,False
153,50,20,0.0,False
154,50,20,0.0,False
155,50,20,0.0,False
156,50,20,0.0,False
157,48,20,0.0,False
158,10,10,0.5,True
159,2,2,0.9,True
160,10,10,0.5,True
161,3,3,0.85,True
