species,inat_taxon_id,first_discovery_round,n_rounds_seen,unique_discovery_observations,occupied_discovery_cells
Ribes californicum,47129,1,4,2,2
Adenostoma fasciculatum,47146,1,8,7,3
Schoenoplectus californicus,47159,9,7,3,2
Cornus canadensis,47192,0,21,103,13
Lepidium nitidum,47202,5,2,1,1
Calypso bulbosa,47215,5,4,2,2
Collinsia concolor,47323,1,4,2,1
Collinsia heterophylla,47325,0,9,5,1
Allium falcifolium,47356,3,4,2,1
Apocynum androsaemifolium,47359,0,21,29,6
Lewisia rediviva,47360,3,6,5,2
Spartium junceum,47406,0,20,30,9
Lotus corniculatus,47435,0,21,98,20
Calliandra haematocephala,47441,0,15,14,3
Albizia julibrissin,47443,0,17,21,9
Acacia confusa,47444,0,17,13,4
Mimosa pigra,47445,0,19,20,9
Leucaena leucocephala,47447,0,21,105,37
Mimosa quadrivalvis,47448,3,4,2,2
Rubus spectabilis,47543,0,21,46,5
Nerium oleander,47563,0,21,129,36
Populus tremula,47571,0,11,9,6
Cypripedium acaule,47588,0,21,109,5
Taraxacum officinale,47602,0,21,291,48
Erodium cicutarium,47687,0,21,118,27
Sherardia arvensis,47691,0,19,32,16
Hesperis matronalis,47697,0,21,62,18
Geranium maculatum,47699,0,17,22,3
Geranium erianthum,47700,0,21,60,6
Acer negundo,47726,0,21,29,12
Oxalis oregana,47757,15,2,1,1
Iris pseudacorus,47779,0,21,85,23
Yucca brevifolia,47785,3,14,9,1
Yucca baccata,47788,0,3,4,1
Koeberlinia spinosa,47845,7,2,1,1
Quercus agrifolia,47850,3,8,6,3
Impatiens capensis,47888,0,21,46,8
Impatiens pallida,47891,1,18,13,2
Impatiens glandulifera,47892,0,21,81,18
Opuntia humifusa,47894,9,2,1,1
Opuntia stricta,47898,0,21,50,18
Asclepias ovalifolia,47905,1,8,5,2
Asclepias angustifolia,47908,3,8,5,2
Asclepias amplexicaulis,47910,0,3,3,3
Asclepias syriaca,47911,0,17,25,6
Asclepias tuberosa,47912,0,21,48,6
Arctostaphylos auriculata,48023,11,2,1,1
Platanthera psycodes,48030,1,20,14,2
Lobelia cardinalis,48038,0,21,29,7
Lysimachia terrestris,48062,1,16,12,4
Sagittaria latifolia,48070,0,9,7,4
Acer pensylvanicum,48095,3,6,3,1
Acer rubrum,48098,0,11,6,2
Cynoglossum officinale,48152,0,17,20,8
Couroupita guianensis,48163,0,21,36,16
Galinsoga parviflora,48178,0,21,32,20
Convallaria majalis,48206,0,21,54,12
Clethra arborea,48208,1,6,2,2
Eschscholzia californica,48225,0,21,50,11
Acer macrophyllum,48227,7,4,2,1
Ranunculus repens,48229,0,21,81,24
Erythronium americanum,48240,0,21,45,2
Aquilegia formosa,48244,0,21,110,5
Acer circinatum,48258,5,6,3,1
Vaccinium ovatum,48349,5,4,2,1
Vaccinium parvifolium,48354,0,9,5,2
Tecoma stans,48363,0,21,73,28
Stenaria nigricans,48364,9,6,3,2
Tricyrtis hirta,48378,3,2,1,1
Antigonon leptopus,48380,0,21,128,35
Heuchera sanguinea,48384,3,2,1,1
Gaultheria shallon,48441,0,15,11,2
Zea mays,48448,1,14,4,4
Aconitum delphiniifolium,48491,0,21,73,6
Cercis canadensis,48502,0,21,18,5
Capsicum annuum,48514,0,19,1,1
Symphoricarpos albus,48523,0,11,8,7
Lysichiton americanus,48537,0,21,40,3
Cytisus scoparius,48538,0,21,37,11
Mycelis muralis,48543,0,17,21,8
Gompholobium scabrum,48546,1,12,11,2
Drymaria cordata,48556,0,17,10,8
Carex xerantica,48559,15,2,1,1
Sorbus sitchensis,48583,1,2,1,1
Campanula trachelium,48588,0,15,13,7
Allium cepa,48592,13,2,1,1
Lithospermum canescens,48595,3,18,14,3
Phytolacca bogotensis,48597,0,13,10,3
Phytolacca dodecandra,48598,1,10,2,2
Phytolacca americana,48599,0,21,51,20
Datura metel,48602,0,21,8,8
Echinocystis lobata,48618,0,17,20,10
Nepeta cataria,48622,0,11,6,6
Oenothera speciosa,48625,0,21,50,10
Echinacea purpurea,48627,1,8,6,4
Prunus americana,48629,9,8,4,1
Cosmos sulphureus,48651,0,21,62,22
Spiraea tomentosa,48682,5,8,5,2
Typha latifolia,48685,0,15,11,10
Setaria pumila,48688,0,11,4,1
Liatris pycnostachya,48691,5,8,4,2
Iris versicolor,48726,0,21,25,5
Sidalcea malviflora,48795,0,15,19,1
Umbellularia californica,48807,3,4,2,1
Cocos nucifera,48865,0,21,15,10
Mangifera indica,48872,0,21,23,18
Chrysophyllum cainito,48876,1,6,2,2
Miconia calvescens,48888,0,21,3,2
Heliotropium angiospermum,48895,0,21,35,9
Lilium kelleyanum,48927,7,2,1,1
Polemonium eximium,48931,5,2,1,1
Eriogonum ovalifolium,48938,3,2,1,1
Dicentra canadensis,48952,1,14,13,2
Symplocarpus foetidus,48961,5,12,10,2
Antirrhinum majus,48969,1,12,8,7
Dactylorhiza incarnata,48982,0,15,14,7
Centaurea montana,48984,0,21,18,8
Scoliopus bigelovii,48990,5,6,5,1
Scoliopus hallii,48991,7,2,1,1
Quercus rubra,49005,13,2,1,1
Myosotis scorpioides,49130,0,17,16,10
Myosotis latifolia,49132,5,6,4,2
Strelitzia reginae,49143,1,6,3,1
Castanea mollissima,49192,0,9,6,3
Callicarpa americana,49193,0,15,16,3
Fagus grandifolia,49202,0,7,4,3
Amelanchier arborea,49226,0,7,4,3
Podophyllum peltatum,49288,0,17,12,4
Mesembryanthemum crystallinum,49319,0,21,23,7
Carpobrotus edulis,49322,0,21,65,14
Fouquieria splendens,49325,0,17,11,2
Atrichoseris platyphylla,49328,19,2,1,1
Encelia farinosa,49339,0,21,22,2
Castilleja attenuata,49341,7,2,1,1
Castilleja coccinea,49342,17,2,1,1
Castilleja exserta,49343,7,12,10,3
Phacelia crenulata,49345,0,19,22,2
Cylindropuntia acanthocarpa,49354,11,4,2,1
Cylindropuntia echinocarpa,49357,7,2,1,1
Carex pendula,49365,3,6,2,2
Kalmia latifolia,49397,0,15,12,3
Corallorhiza mertensiana,49444,1,12,6,2
Trillium ovatum,49463,0,21,41,2
Sarcodes sanguinea,49472,0,9,6,2
Corallorhiza maculata,49475,0,17,14,6
Monotropa uniflora,49477,0,19,37,10
Rhododendron catawbiense,49486,13,4,2,1
Lilium lancifolium,49524,0,19,21,7
Cistanche tubulosa,49562,0,21,28,4
Lupinus texensis,49564,0,21,29,2
Lupinus subcarnosus,49565,1,8,4,1
Tillandsia usneoides,49569,1,10,7,3
Pedicularis densiflora,49645,0,13,9,1
Leucocrinum montanum,49647,1,10,5,2
Toxicoscordion fremontii,49649,0,9,9,2
Cardamine californica,49651,3,14,10,2
Liquidambar styraciflua,49658,9,2,1,1
Ceanothus cuneatus,49673,3,4,2,1
Rhododendron periclymenoides,49822,5,2,2,1
Rhododendron atlanticum,49834,5,2,1,1
Aquilegia canadensis,49868,0,21,51,5
Actaea rubra,49870,1,18,16,7
Sisyrinchium angustifolium,49916,9,2,1,1
Sisyrinchium bellum,49918,0,17,21,4
Castilleja affinis,50042,7,4,2,2
Justicia californica,50150,0,17,17,2
Sphaeralcea ambigua,50153,15,6,4,2
Mohavea confertiflora,50155,0,13,16,1
Abronia villosa,50164,0,11,14,2
Phacelia campanularia,50171,0,17,15,4
Astragalus coccineus,50177,1,6,3,1
Cordyline australis,50191,0,8,3,2
Chaenactis fremontii,50198,0,11,8,2
Bidens bipinnata,50202,1,8,5,4
Bidens pilosa,50203,0,21,76,34
Maianthemum bifolium,50247,0,21,46,10
Parthenocissus quinquefolia,50278,7,4,2,2
Fragaria vesca,50298,0,21,73,21
Arisaema triphyllum,50310,0,21,22,2
Dirca palustris,50312,5,2,1,1
Pachysandra procumbens,50316,3,6,3,1
Lathyrus vestitus,50320,7,4,2,1
Lantana camara,50333,0,21,421,62
Ludwigia peruviana,50338,0,7,6,5
Enhalus acoroides,50360,1,4,1,1
Halophila ovalis,50371,11,2,1,1
Lupinus nanus,50612,0,1,1,1
Lupinus bicolor,50614,0,9,6,2
Mirabilis jalapa,50616,0,21,79,36
Phacelia ramosissima,50617,1,4,2,2
Fritillaria affinis,50618,0,19,29,2
Ptelea trifoliata,50625,0,13,8,6
Erysimum capitatum,50628,0,9,7,3
Delphinium variegatum,50632,1,4,3,1
Solanum umbelliferum,50639,0,1,1,1
Delphinium nudicaule,50642,0,3,2,1
Salvia mellifera,50643,0,11,7,3
Nemophila menziesii,50648,3,14,10,3
Collinsia sparsiflora,50656,19,2,1,1
Cephalanthera austiniae,50706,17,2,1,1
Corallorhiza striata,50708,0,17,9,4
Corallorhiza trifida,50709,0,21,21,9
