global_row_index,shard_index,species,inat_taxon_id,raw_results,locally_eligible,prior_excluded,wrong_taxon,after_observer_cap,maximum_span_km,capped_row_id_sha256,request_error,eligible_raw_100,eligible_raw_80,eligible_raw_60
0,0,Ribes californicum,47129,200,200,0,0,167,792.1987842010188,7b31d3a61e15f1d57ef192cdcacf9ba754b0d2c3e39c7c1b16973642a1225702,,True,True,True
1,1,Adenostoma fasciculatum,47146,200,200,0,0,183,1320.68555867221,f0975a9b46f3665df7e08adc2e20ec5f8450cc6499081554705d44f3244fbc28,,True,True,True
2,2,Schoenoplectus californicus,47159,27,27,0,0,27,10633.271888384656,e92849568114f3e09c2fe83e755b3d09cd0ad1eb5483d0c9b03facb570d5d384,,False,False,False
3,3,Cornus canadensis,47192,200,200,19,0,177,9415.280193008495,b86c5fd2c65ea678efff1b0f8cfe8758b24702f37fa441249954a21e1a05563a,,True,True,True
4,4,Lepidium nitidum,47202,104,104,0,0,83,873.8906394372902,95e7555adb91b1433b93ddb72793358e6526cd9cdb2c63b867d8473009cd6bc3,,False,True,True
5,5,Calypso bulbosa,47215,93,93,0,0,83,9525.997058667945,54d668499d279d72a15537cb397dc835c92c7566467c95fe170fd9234b5f559b,,False,True,True
6,6,Collinsia concolor,47323,118,118,0,0,88,125.9440121804531,a25381b5b6adf4a78d4dd244155ffa8f2fa82a624f7bd47b37554facd4e42885,,False,True,True
7,7,Collinsia heterophylla,47325,200,200,0,0,166,3693.05132904814,51ba923c1faa5d01ee9354c28bc40664447282055ccd60c5c0a2a17c72e2a9a4,,True,True,True
8,0,Allium falcifolium,47356,200,200,0,0,178,627.0807098665132,aecfbcc12f5851fdbe17bb0e128c73886f8274e6520091bf82b8692607bdf105,,True,True,True
9,1,Apocynum androsaemifolium,47359,200,200,0,0,193,4993.9391636468,6f597e2fae996b7f3701edafa36df5f1391ca39d8eafad4bf33cc5ac590046d3,,True,True,True
10,2,Lewisia rediviva,47360,200,200,0,0,171,1771.664874524841,83480e8c31fdf177558656f0f071c21a222f67c58c936aebf74b12b021c04841,,True,True,True
11,3,Spartium junceum,47406,200,200,1,0,190,19901.91097938311,f8117facfafad00662f8240faabbb13e226ee5a07dc266902615ebe4b90c8de7,,True,True,True
12,4,Lotus corniculatus,47435,200,200,2,0,196,11185.0531507565,019e68d54517040cf1b39303022e69bb5ffed9521208a15a1e956ffdd2c19b3e,,True,True,True
13,5,Calliandra haematocephala,47441,80,80,1,0,78,17243.018531869962,c2f45f21e8a2673e0188e4af9eb967af20362372f2f81ad7eef6d5bbe576d6ac,,False,False,True
14,6,Albizia julibrissin,47443,200,200,1,0,196,13954.133392733494,f533e08c0bcd78233fb8c72fc87c2187cac48885c3a0d4b24cbb176eb4458cd5,,True,True,True
15,7,Acacia confusa,47444,100,100,2,0,87,9251.601402515706,24f8139dbae8602ffb3cb2730f7c94b25c5985946a3a85cd666bb99ad7b4f770,,False,True,True
16,0,Mimosa pigra,47445,70,70,3,0,65,19709.939459189267,4af19672360b53c0e906776a96c2ca1a1bce4bd9023d9a46fd8ca845daef455d,,False,False,True
17,1,Leucaena leucocephala,47447,200,200,8,0,188,19995.757841546947,74066d9a85ed003cb0e97f8c34e898964dc76b121e26ea748d12115600909f0a,,True,True,True
18,2,Mimosa quadrivalvis,47448,26,26,0,0,26,2531.138052351313,7c1539f0bfc6220b59f03c6ab8672325f72bafae2f6f578e5e3c800395dc19d1,,False,False,False
19,3,Rubus spectabilis,47543,200,200,16,0,169,8823.756642871556,47cd69a6d25267f948a693e001f5746b65ab6a0a4fabb7bd5bc762980249608d,,True,True,True
20,4,Nerium oleander,47563,200,200,3,0,190,19990.70539354444,cdb43fe77c1243aeb89fb9ac42f3f8779f86ae3d6bfc48b7fdcb67dbe56ba94b,,True,True,True
21,5,Populus nigra,47565,25,25,0,0,24,6760.208552880985,96e8f3b3abdc03bdf6f63fef224b13122f8c6fa7c5b951e11b9184b3da3f8cbe,,False,False,False
22,6,Populus tremula,47571,88,88,2,0,79,8829.75270166202,4f6f7a3e9e4285641fd536accf6c7516a62bd041000c6e376e655ed3526b182d,,False,False,True
23,7,Cypripedium acaule,47588,200,200,0,0,192,3112.520255389575,247b46b2a1c8c1f70a00db4f8d6019987ead4e9665bb62bbb666ac60b90c7657,,True,True,True
24,0,Chlorogalum pomeridianum,47597,200,200,0,0,180,963.049566110202,c7370243dbf72ba6fa4d9b30b52c4291430a589aca74eba949e50cc7c6bd27b3,,True,True,True
25,1,Taraxacum officinale,47602,200,200,6,0,178,19892.93498992761,6a6ca2344020dd1cd7286140190a6a343f20d10d7638cb359909e28be38dd451,,True,True,True
26,2,Erodium cicutarium,47687,200,200,0,0,197,19647.052567164425,42fde38a357b8e44dec7759cd529e00241dedff32a65c71bb9849b6df01ae35f,,True,True,True
27,3,Sherardia arvensis,47691,200,200,22,0,167,20012.67115555048,aa403705439d5a363b2fde81382d04a6e75a4b359a419d61bd13389b665bbf49,,True,True,True
28,4,Hesperis matronalis,47697,200,200,15,0,182,10322.080044843697,396dfa1a632a8d25adbe5a800bcfb9802b27c8a272c12731c417ae1cb5b41548,,True,True,True
29,5,Geranium maculatum,47699,200,200,0,0,199,2266.310606229247,c3e89b1cc10057f96fbacccbf8cb7986f5af8f3d045bf01210b77d5943fc9b66,,True,True,True
30,6,Geranium erianthum,47700,139,139,10,0,115,6164.919694131646,64d104604d2b40904cfbfffa2a7d644e3949cd1e1723b9ab1ec03f46e5be3db6,,True,True,True
31,7,Acer negundo,47726,200,200,1,0,191,19924.96891671843,3819de9c6d68664d475323c1262ce62704ea2399cc8db5e27870574e01e1dca9,,True,True,True
32,0,Oxalis oregana,47757,200,200,0,0,187,984.5411389825508,c7e0a4da100d2c91ae4d50127d41f7c86ab3bbcdac32b229c5193a548c186c59,,True,True,True
33,1,Iris pseudacorus,47779,200,200,0,0,196,19947.76501640916,5febee9fc70de3800351de45779a4046d019698dee2656fdaea3e8093b63aa9f,,True,True,True
34,2,Yucca brevifolia,47785,200,200,0,0,149,417.6080081599271,f18713013abdd8c4adca17c66f7111db7070f90689c7f46b6715be9df2e6ee83,,True,True,True
35,3,Yucca baccata,47788,200,200,1,0,167,1185.9856307186044,970f901a64cfe20c440c40c765f1b7f6369c4ab0776897dc396200d272a0f902,,True,True,True
