observation_id,photo_id,source
20364,36212,pr21_terminal_60000
23860,43131,pr21_terminal_60000
26864,48179,pr21_terminal_60000
28067,50057,pr21_terminal_60000
28632,50799,pr21_terminal_60000
28656,50832,pr21_terminal_60000
30234,52797,pr21_terminal_60000
30241,52807,pr21_terminal_60000
35049,59489,pr21_terminal_60000
35769,60586,pr21_terminal_60000
38115,63643,six_species_ch1
42640,70021,pr21_terminal_60000
51764,81875,pr21_terminal_60000
52816,83361,pr21_terminal_60000
53031,83694,pr21_terminal_60000
58423,91001,random_photo_first_v1
59281,92089,pr21_terminal_60000
64806,99127,pr21_terminal_60000
64835,99171,pr21_terminal_60000
64960,99270,pr21_terminal_60000
65989,100492,pr21_terminal_60000
66022,100513,pr21_terminal_60000
68718,104055,pr21_terminal_60000
68733,104071,pr21_terminal_60000
70574,106540,pr21_terminal_60000
71892,108287,pr21_terminal_60000
74874,111681,pr21_terminal_60000
76377,113438,pr21_terminal_60000
77093,114265,pr21_terminal_60000
79635,117464,pr21_terminal_60000
79758,117572,pr21_terminal_60000
80622,118753,pr21_terminal_60000
80643,118777,pr21_terminal_60000
80833,118999,pr21_terminal_60000
83359,122329,six_species_ch1
83402,122379,pr21_terminal_60000
83481,124035,pr21_terminal_60000
84742,123940,pr21_terminal_60000
85608,125323,pr21_terminal_60000
85676,125382,pr21_terminal_60000
88431,128954,pr21_terminal_60000
90159,131565,pr21_terminal_60000
93312,135869,pr21_terminal_60000
93384,135935,pr21_terminal_60000
96359,140278,six_species_ch1
97528,141628,six_species_ch1
99675,144458,six_species_ch1
108558,155315,six_species_ch1
111524,159059,six_species_ch1
111971,159614,six_species_ch1
112019,159692,pr21_terminal_60000
112973,161467,pr21_terminal_60000
113595,162364,pr21_terminal_60000
114416,163442,pr21_terminal_60000
115469,165238,pr21_terminal_60000
116860,166996,pr21_terminal_60000
117189,167475,pr21_terminal_60000
120512,171914,six_species_ch1
121269,173072,six_species_ch1
122670,174848,six_species_ch1
124015,176177,pr21_terminal_60000
125717,177962,pr21_terminal_60000
150890,207538,pr21_terminal_60000
158181,215432,six_species_ch1
195288,249276,pr21_terminal_60000
196273,250380,six_species_ch1
196420,250516,pr21_terminal_60000
205152,260377,pr21_terminal_60000
207576,263327,pr21_terminal_60000
210799,266743,pr21_terminal_60000
215668,271978,six_species_ch1
216705,273323,pr21_terminal_60000
217135,273790,six_species_ch1
222748,280599,six_species_ch1
222762,280636,six_species_ch1
224122,282248,pr21_terminal_60000
236033,296158,pr21_terminal_60000
237629,297816,pr21_terminal_60000
237831,298120,pr21_terminal_60000
237878,298174,pr21_terminal_60000
240047,300523,pr21_terminal_60000
240728,330667,pr21_terminal_60000
242064,302887,pr21_terminal_60000
244953,306278,pr21_terminal_60000
245793,307303,pr21_terminal_60000
249118,310778,pr21_terminal_60000
249145,310813,pr21_terminal_60000
249187,310880,six_species_ch1
250073,311911,pr21_terminal_60000
250196,312079,pr21_terminal_60000
250317,312182,pr21_terminal_60000
250870,312810,pr21_terminal_60000
251512,313556,pr21_terminal_60000
251794,313835,pr21_terminal_60000
252449,314649,pr21_terminal_60000
252503,314723,random_photo_first_v1
252505,314725,pr21_terminal_60000
254803,317232,pr21_terminal_60000
255185,317685,pr21_terminal_60000
264104,336228,pr21_terminal_60000
265148,328255,pr21_terminal_60000
266265,330011,pr21_terminal_60000
266584,330334,random_photo_first_v1
266638,330394,pr21_terminal_60000
269679,333632,six_species_ch1
272268,336846,pr21_terminal_60000
273805,338515,pr21_terminal_60000
274020,338794,pr21_terminal_60000
274217,339128,pr21_terminal_60000
274291,339238,six_species_ch1
275063,340136,pr21_terminal_60000
276399,341858,pr21_terminal_60000
277729,343540,pr21_terminal_60000
282413,349608,pr21_terminal_60000
282420,349618,pr21_terminal_60000
283615,350992,pr21_terminal_60000
283776,351197,six_species_ch1
284200,351647,pr21_terminal_60000
284305,351882,pr21_terminal_60000
285613,353426,pr21_terminal_60000
286265,354169,pr21_terminal_60000
286426,354383,pr21_terminal_60000
286880,355055,pr21_terminal_60000
289412,358190,pr21_terminal_60000
289571,358398,pr21_terminal_60000
289604,358429,pr21_terminal_60000
289720,358558,pr21_terminal_60000
291604,361036,pr21_terminal_60000
291739,361204,pr21_terminal_60000
291742,361210,pr21_terminal_60000
293304,363198,six_species_ch1
294684,364969,pr21_terminal_60000
294685,364970,pr21_terminal_60000
295364,365815,pr21_terminal_60000
296008,371474,pr21_terminal_60000
298617,369753,pr21_terminal_60000
299635,371294,pr21_terminal_60000
299879,371691,pr21_terminal_60000
303185,376105,pr21_terminal_60000
303820,376980,pr21_terminal_60000
304056,377315,six_species_ch1
305859,379641,six_species_ch1
308792,383050,six_species_ch1
309363,383715,pr21_terminal_60000
310539,385316,pr21_terminal_60000
310631,385461,pr21_terminal_60000
312121,387282,pr21_terminal_60000
313379,388954,pr21_terminal_60000
315021,391329,pr21_terminal_60000
316678,393228,pr21_terminal_60000
317534,394475,pr21_terminal_60000
318106,395315,pr21_terminal_60000
318458,395862,pr21_terminal_60000
323090,402363,pr21_terminal_60000
323334,402347,pr21_terminal_60000
323775,403011,pr21_terminal_60000
324437,403806,pr21_terminal_60000
328870,409547,pr21_terminal_60000
330290,412191,pr21_terminal_60000
331098,413011,pr21_terminal_60000
334521,417475,pr21_terminal_60000
335306,418377,pr21_terminal_60000
337566,420486,pr21_terminal_60000
339198,422283,pr21_terminal_60000
339529,422712,six_species_ch1
341790,425330,pr21_terminal_60000
341844,425431,pr21_terminal_60000
343033,426929,pr21_terminal_60000
345990,430952,random_photo_first_v1
346539,431640,pr21_terminal_60000
346639,431802,pr21_terminal_60000
346970,432280,pr21_terminal_60000
346975,432281,pr21_terminal_60000
348573,434212,pr21_terminal_60000
349674,435770,pr21_terminal_60000
354934,442721,pr21_terminal_60000
356607,444914,pr21_terminal_60000
357004,445413,pr21_terminal_60000
358641,447563,six_species_ch1
359088,448119,pr21_terminal_60000
360286,449822,pr21_terminal_60000
360340,449889,six_species_ch1
361827,451867,pr21_terminal_60000
366548,457718,pr21_terminal_60000
369148,461408,pr21_terminal_60000
369558,461809,pr21_terminal_60000
371283,464221,random_photo_first_v1
374488,468091,random_photo_first_v1
377362,471837,pr21_terminal_60000
378588,473434,pr21_terminal_60000
380370,475537,pr21_terminal_60000
381245,476774,pr21_terminal_60000
382612,478410,six_species_ch1
383522,479441,pr21_terminal_60000
386027,482773,pr21_terminal_60000
388104,485437,pr21_terminal_60000
389984,487838,pr21_terminal_60000
390939,489102,pr21_terminal_60000
391465,489851,pr21_terminal_60000
391812,490983,pr21_terminal_60000
392665,491458,pr21_terminal_60000
395687,495213,pr21_terminal_60000
400189,500901,pr21_terminal_60000
