inat_taxon_id,species,raw_candidate_rows,excluded_reserve_species,n_rows_excluded_opened_observation,n_rows_excluded_opened_photo,n_rows_excluded_known_opened_observer,identity_clean_candidate_rows,identity_clean_distinct_observers,qualifying_spatial_groups,max_qualifying_group_centroid_separation_km,spatial_species_qualified,selection_rank
129499,Scilla verna,100,False,0,0,40,60,60,7,1255.037404792113,True,1.0
153942,Rhododendron canadense,100,False,0,0,34,66,65,6,1131.4041775671274,True,2.0
127264,Zephyranthes atamasco,100,False,0,0,43,57,57,5,928.808418414023,True,3.0
128717,Erythrina herbacea,100,False,0,0,48,52,52,5,1321.9545119395248,True,4.0
244676,Streptosolen jamesonii,100,False,0,0,27,73,72,4,3013.9120150451326,True,5.0
204160,Ligustrum obtusifolium,100,False,0,0,33,67,67,4,915.2114971215171,True,6.0
163447,Guzmania monostachia,100,False,0,0,37,63,59,4,1805.6085785556472,True,7.0
283576,Govenia superba,100,False,0,0,42,58,56,4,548.9155112498379,True,8.0
56132,Hyacinthoides non-scripta,100,False,0,0,44,56,56,4,518.8451342914713,True,9.0
144192,Euonymus obovatus,100,False,0,0,46,54,49,4,581.9185391046598,True,10.0
85367,Swainsona formosa,100,False,0,0,51,49,48,4,2886.5768682569396,True,11.0
1351707,Tiarella stolonifera,100,False,0,0,52,48,48,4,766.0468680412965,True,12.0
162927,Eysenhardtia texana,100,False,0,0,53,47,47,4,539.3341113093613,True,13.0
401303,Dendrobium cunninghamii,100,False,0,0,58,42,40,4,1141.216032064542,True,14.0
866605,Cartrema americanum,100,False,0,0,60,40,40,4,660.9824110133718,True,15.0
323437,Pterostylis pedunculata,100,False,0,0,60,40,38,4,1148.6730318281811,True,16.0
51449,Passiflora mixta,100,False,0,0,35,65,65,3,815.3804082485135,True,17.0
276731,Govenia liliacea,100,False,0,0,35,65,61,3,571.9857823580807,True,18.0
60898,Viola lutea,100,False,0,0,42,58,56,3,1000.488267246,True,19.0
283408,Cipura campanulata,100,False,0,0,49,51,51,3,1688.3449234464774,True,20.0
59520,Erythronium oregonum,100,False,0,0,49,51,51,3,505.4300596803543,True,21.0
56299,Carlina acaulis,100,False,0,0,51,49,49,3,620.7465770473352,True,22.0
194790,Guaiacum angustifolium,100,False,0,0,49,51,49,3,593.5142184444945,True,23.0
1644302,Austroflourensia thurifera,100,False,0,0,47,53,48,3,655.8195286270036,True,24.0
170344,Xanthorhiza simplicissima,100,False,0,0,54,46,45,3,571.1267507017269,True,25.0
346964,Olsynium biflorum,100,False,0,0,54,46,41,3,547.3706607589812,True,26.0
795186,Causonis japonica,100,False,0,0,59,41,40,3,2247.63435467362,True,27.0
136373,Senna hebecarpa,100,False,0,0,58,42,40,3,1229.2278072862591,True,28.0
47905,Asclepias ovalifolia,100,False,0,0,57,43,39,3,1901.747925796467,True,29.0
353972,Pittosporum revolutum,100,False,0,0,61,39,39,3,864.8783748849183,True,30.0
319327,Embothrium coccineum,100,False,0,0,61,39,39,3,841.6752562914922,True,31.0
281671,Dyssodia pinnata,100,False,0,0,59,41,39,3,680.2867220564565,True,32.0
81897,Baptisia tinctoria,100,False,0,0,61,39,39,3,599.1587828491505,True,33.0
515950,Pelargonium luridum,100,False,0,0,62,38,37,3,563.0724071567155,True,34.0
334802,Pultenaea villosa,100,False,0,0,63,37,36,3,790.7623108919955,True,35.0
427617,Erythrina humeana,100,False,0,0,63,37,36,3,599.1042977037114,True,36.0
341172,Serapias cordigera,100,False,0,0,63,37,35,3,1232.5952078202956,True,37.0
132717,Eutrochium fistulosum,100,False,0,0,65,35,35,3,697.5463993755855,True,38.0
120416,Moraea flaccida,100,False,0,0,68,32,32,3,2222.762929249578,True,39.0
1397850,Styphelia sieberi,100,False,0,0,71,29,29,3,966.3932113731893,True,40.0
323821,Goodenia ovata,100,False,0,0,73,27,27,3,947.4236528567836,True,41.0
50812,Scrophularia californica,100,False,0,0,75,25,25,3,765.267375656236,True,42.0
1005385,Cerastium holosteoides,100,True,100,100,100,0,0,0,0.0,False,
1096279,Cornus unalaschkensis,100,True,100,100,100,0,0,0,0.0,False,
117309,Erigenia bulbosa,100,True,100,100,100,0,0,0,0.0,False,
117440,Eutrochium maculatum,100,False,0,0,57,43,43,0,0.0,False,
118473,Sedum sarmentosum,100,False,0,0,50,50,50,0,0.0,False,
118535,Drimia maritima,100,True,100,100,100,0,0,0,0.0,False,
118571,Ceanothus fendleri,100,True,100,100,100,0,0,0,0.0,False,
118778,Gentiana parryi,100,False,0,0,56,44,42,2,133.42583601649835,False,
118834,Carlina vulgaris,100,False,0,0,79,21,21,0,0.0,False,
118850,Solidago virgaurea,100,False,0,0,74,26,26,0,0.0,False,
119099,Jatropha gossypiifolia,100,True,100,100,100,0,0,0,0.0,False,
119135,Eupatorium altissimum,100,False,0,0,64,36,36,1,0.0,False,
119609,Elephantopus carolinianus,100,False,0,0,73,27,27,0,0.0,False,
119673,Erythrina lysistemon,100,False,0,0,67,33,33,1,0.0,False,
119793,Pyrus calleryana,100,False,0,0,39,61,61,0,0.0,False,
119795,Zizia aptera,100,True,100,100,100,0,0,0,0.0,False,
119807,Lonicera canadensis,100,True,100,100,100,0,0,0,0.0,False,
119810,Lysimachia lanceolata,100,True,100,100,100,0,0,0,0.0,False,
119892,Andromeda polifolia,100,False,0,0,74,26,26,0,0.0,False,
119955,Ilex vomitoria,100,True,100,100,100,0,0,0,0.0,False,
120008,Ludwigia decurrens,100,True,100,100,100,0,0,0,0.0,False,
120011,Sesbania drummondii,100,False,0,0,62,38,37,2,540.2142386591995,False,
120152,Asclepias perennis,100,False,0,0,62,38,38,1,0.0,False,
1203426,Sambucus mexicana,100,False,0,0,52,48,46,1,0.0,False,
