global_row_index,shard_index,species,inat_taxon_id,selected_raw_photo_target,total_results_probe,candidate_pages,candidate_pages_requested,candidate_page_errors,raw_results_from_candidate_pages,locally_eligible,prior_colour_experiment_excluded,wrong_taxon,deduplicated_metadata_rows,after_observer_cap,maximum_span_km_after_observer_cap,full_target,selected_candidate_rows
0,0,Leucaena leucocephala,47447,100,487,"[1,3,2]",3,{},487,487,24,0,463,426,19999.17946334293,True,100
1,1,Erodium cicutarium,47687,100,11455,"[11,42,47]",3,{},600,600,2,0,598,532,19578.415027772684,True,100
2,2,Yucca brevifolia,47785,100,1074,"[3,6,5]",3,{},474,474,0,0,474,328,424.0671048409415,True,100
3,3,Opuntia humifusa,47894,100,156,[1],1,{},156,156,0,0,156,153,12136.423884800704,True,100
4,4,Asclepias ovalifolia,47905,100,170,[1],1,{},170,170,0,0,170,124,2069.8271440863773,True,100
5,5,Asclepias angustifolia,47908,100,146,[1],1,{},146,146,0,0,146,127,2143.234394284796,True,100
6,6,Lobelia cardinalis,48038,100,3997,"[14,7,3]",3,{},600,600,0,0,600,566,4789.42581146165,True,100
7,7,Sagittaria latifolia,48070,100,1262,"[4,7,6]",3,{},462,462,0,0,462,397,10113.241808921828,True,100
8,0,Cynoglossum officinale,48152,100,843,"[4,2,1]",3,{},600,600,4,0,596,540,10795.115482096968,True,100
9,1,Galinsoga parviflora,48178,100,605,"[2,4,3]",3,{},405,405,3,0,402,304,19951.15864379859,True,100
10,2,Vaccinium ovatum,48349,100,549,"[3,2,1]",3,{},549,549,0,0,549,473,2003.2062492306995,True,100
11,3,Vaccinium parvifolium,48354,100,148,[1],1,{},148,148,1,0,147,120,2233.5030213157984,True,100
12,4,Tecoma stans,48363,100,1076,"[6,2,1]",3,{},476,476,5,0,471,404,19745.450730832294,True,100
13,5,Aconitum delphiniifolium,48491,100,383,"[2,1]",2,{},383,383,12,0,371,222,5123.226765436888,True,100
14,6,Lysichiton americanus,48537,100,2093,"[3,2,10]",3,{},600,600,1,0,599,508,8727.992167672559,True,100
15,7,Lithospermum canescens,48595,100,1097,"[2,1,3]",3,{},600,600,0,0,600,468,2900.3755901109885,True,100
16,0,Oenothera speciosa,48625,100,2604,"[11,6,5]",3,{},600,600,69,0,531,434,18924.90035939593,True,100
17,1,Echinacea purpurea,48627,100,935,"[2,5,3]",3,{},535,535,0,0,535,482,12994.072330981207,True,100
18,2,Cosmos sulphureus,48651,100,610,"[1,3,2]",3,{},600,600,6,0,594,498,19963.7923828497,True,100
19,3,Dicentra canadensis,48952,100,2741,"[6,7,12]",3,{},600,600,0,0,600,538,1684.3871487399397,True,100
20,4,Myosotis latifolia,49132,100,342,"[1,2]",2,{},342,342,0,0,342,274,18548.02849868482,True,100
21,5,Amelanchier arborea,49226,100,1257,"[4,3,7]",3,{},457,457,1,0,456,436,8957.706279630294,True,100
22,6,Carpobrotus edulis,49322,100,1350,"[7,1,3]",3,{},550,550,1,0,549,472,19963.594271468763,True,100
23,7,Castilleja exserta,49343,100,1116,"[4,6,2]",3,{},516,516,0,0,516,368,1530.6785495261963,True,100
24,0,Cylindropuntia echinocarpa,49357,100,236,"[1,2]",2,{},236,236,0,0,236,178,621.8426740371008,True,100
25,1,Carex pendula,49365,100,148,[1],1,{},148,148,0,0,148,129,19660.328178196207,True,100
26,2,Trillium ovatum,49463,100,7629,"[28,1,15]",3,{},600,600,0,0,600,519,1608.7319556615175,True,100
27,3,Rhododendron catawbiense,49486,100,319,"[1,2]",2,{},319,319,0,0,319,275,794.3545456786431,True,100
28,4,Tillandsia usneoides,49569,100,168,[1],1,{},168,168,0,0,168,160,15767.002339306631,True,100
29,5,Rhododendron periclymenoides,49822,100,412,"[1,2,3]",3,{},412,412,0,0,412,361,1856.4911236662708,True,100
30,6,Sphaeralcea ambigua,50153,100,1315,"[4,6,1]",3,{},600,600,0,0,600,463,2090.3720265720294,True,100
31,7,Astragalus coccineus,50177,100,181,[1],1,{},181,181,0,0,181,150,613.4427756371936,True,100
32,0,Bidens bipinnata,50202,100,321,"[1,2]",2,{},321,321,0,0,321,296,18842.391831402776,True,100
33,1,Ludwigia peruviana,50338,100,185,[1],1,{},185,185,1,0,184,158,19866.695815170504,True,100
34,2,Lupinus nanus,50612,100,341,"[2,1]",2,{},341,341,1,0,340,266,1063.9747229169514,True,100
35,3,Delphinium nudicaule,50642,100,891,"[1,4,5]",3,{},491,491,0,0,491,364,759.8609166892272,True,100
36,4,Cephalanthera austiniae,50706,100,376,"[1,2]",2,{},376,376,0,0,376,322,1601.5446997198271,True,100
37,5,Scrophularia californica,50812,100,1058,"[1,2,4]",3,{},600,600,0,0,600,361,1586.7108142021525,True,100
38,6,Ribes speciosum,50824,100,373,"[2,1]",2,{},373,373,1,0,372,295,866.7223641822707,True,100
39,7,Viola pedunculata,50825,100,1378,"[6,3,1]",3,{},600,600,0,0,600,423,806.899364021618,True,100
40,0,Gilia tricolor,50832,100,287,"[1,2]",2,{},287,287,0,0,287,219,9229.070873796703,True,100
41,1,Sparaxis tricolor,50843,100,218,"[1,2]",2,{},218,218,0,0,218,212,19875.213389254623,True,100
42,2,Trillium erectum,50855,100,8386,"[9,8,11]",3,{},600,600,0,0,600,484,1986.007881815845,True,100
43,3,Erigeron glaucus,50878,100,818,"[2,4,1]",3,{},600,600,0,0,600,476,8958.794212700781,True,100
44,4,Sanguinaria canadensis,51044,100,16957,"[3,28,14]",3,{},600,600,0,0,600,571,2597.606240941412,True,100
45,5,Calochortus eurycarpus,51055,100,703,"[4,3,2]",3,{},503,503,1,0,502,400,751.6922247977625,True,100
46,6,Quincula lobata,51082,100,2090,"[11,2,1]",3,{},490,490,29,0,461,407,1972.7074760901323,True,100
47,7,Triteleia laxa,51085,100,4344,"[16,12,17]",3,{},600,600,0,0,600,515,799.1445926589637,True,100
48,0,Nymphaea odorata,51119,100,2609,"[2,1,5]",3,{},600,600,0,0,600,492,16823.711211979902,True,100
49,1,Orontium aquaticum,51138,100,190,[1],1,{},190,190,0,0,190,156,2133.6582495547677,True,100
50,2,Asclepias californica,51272,100,209,"[1,2]",2,{},209,209,0,0,209,185,747.6112553224143,True,100
51,3,Heuchera micrantha,51274,100,405,"[1,2,3]",3,{},405,405,0,0,405,320,1879.049621344926,True,100
52,4,Linum usitatissimum,51306,100,148,[1],1,{},148,148,0,0,148,144,19945.36089801066,True,100
53,5,Passiflora mixta,51449,100,170,[1],1,{},170,170,1,0,169,136,8010.18199383726,True,100
54,6,Rubus parviflorus,51646,100,2307,"[5,8,2]",3,{},600,600,63,0,537,466,9159.298844564037,True,100
55,7,Bidens aristosa,51714,100,169,[1],1,{},169,169,0,0,169,138,2182.2260610445933,True,100
56,0,Solanum lycopersicum,51737,100,472,"[3,1,2]",3,{},472,472,8,0,464,410,19973.432417039363,True,100
57,1,Aegopodium podagraria,51741,100,1056,"[2,5,4]",3,{},600,600,0,0,600,528,19340.302654138417,True,100
58,2,Collinsia tinctoria,51850,100,149,[1],1,{},149,149,0,0,149,133,636.3817438220739,True,100
59,3,Antennaria dioica,51893,100,362,"[2,1]",2,{},362,362,2,0,360,290,9541.666071896858,True,100
60,4,Hamamelis virginiana,51970,100,1809,"[8,2,9]",3,{},600,600,124,0,476,420,3103.2389052432886,True,100
61,5,Physalis peruviana,51988,100,254,"[2,1]",2,{},254,254,4,0,250,205,19990.895145640872,True,100
62,6,Richardia grandiflora,52078,100,527,"[2,1,3]",3,{},527,527,5,0,522,422,7607.134053314736,True,100
63,7,Toxicodendron pubescens,52083,100,173,[1],1,{},173,173,1,0,172,158,2372.3416148694178,True,100
64,0,Pavonia hastata,52355,100,143,[1],1,{},143,143,0,0,143,126,19379.70352666072,True,100
65,1,Calochortus leichtlinii,52542,100,2352,"[12,3,11]",3,{},552,552,0,0,552,467,580.5955680869336,True,100
66,2,Althaea officinalis,52565,100,216,"[1,2]",2,{},216,216,0,0,216,191,11781.886442873008,True,100
67,3,Centaurea solstitialis,52588,100,806,"[3,4,5]",3,{},406,406,1,0,405,326,17729.628847533626,True,100
68,4,Cirsium occidentale,52621,100,1217,"[7,2,5]",3,{},417,417,0,0,417,382,1186.3921234346535,True,100
