species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Passiflora exsudans,281316,1,2,2,2
Peperomia emarginella,281323,3,1,1,1
Peperomia ovatopeltata,281327,17,1,1,1
Samanea saman,281371,1,13,16,8
Stenorrhynchos glicensteinii,281389,7,2,2,1
Stromanthe tonckat,281393,5,3,3,3
Tillandsia huamelulaensis,281402,13,1,1,1
Zanthoxylum rhoifolium,281420,2,3,3,3
Maxillaria praestans,281437,20,1,1,1
Saurauia kegeliana,281445,7,1,1,1
Kohleria tigridia,281465,1,12,19,3
Salvia albocaerulea,281469,8,2,3,1
Acalypha wilkesiana,281562,9,4,4,4
Ponthieva fertilis,281569,3,3,3,1
Tillandsia schiedeana,281580,4,7,15,1
Gibasis linearis,281581,5,1,1,1
Weldenia candida,281588,5,2,3,2
Agastache mexicana,281591,1,4,4,2
Fuchsia microphylla,281592,1,3,3,1
Ipomoea arborescens,281597,13,3,3,2
Passiflora palmeri,281603,18,1,1,1
Guarea macrophylla,281611,10,1,3,1
Sinningia speciosa,281612,16,1,1,1
Kohleria spicata,281616,1,4,6,2
Melochia villosa,281617,2,2,2,2
Calea ternifolia,281655,14,2,2,1
Bidens reptans,281661,7,1,1,1
Perityle crassifolia,281662,18,1,1,1
Aldama dentata,281663,1,2,2,2
Pectis elongata,281666,10,2,2,2
Heterotheca inuloides,281680,1,6,6,3
Symphyotrichum moranense,281692,3,3,3,1
Brickellia peninsularis,281700,10,3,4,1
Simsia sanguinea,281707,5,2,2,1
Astragalus guatemalensis,281722,13,1,1,1
Solanum grayi,281740,1,1,1,1
Acaciella angustissima,281758,1,4,5,3
Acmella radicans,281759,5,2,2,1
Clitoria guianensis,281760,11,2,3,2
Hirtella racemosa,281763,5,3,3,3
Lupinus elegans,281765,16,1,1,1
Mimosa skinneri,281768,5,1,1,1
Castilleja tenuifolia,281774,11,3,3,1
Ipomoea pauciflora,281779,4,3,18,2
Hauya elegans,281780,14,1,1,1
Bonellia macrocarpa,281781,4,4,4,2
Stenocereus griseus,281804,4,1,1,1
Croton schiedeanus,281810,6,1,1,1
Opuntia karwinskiana,281823,2,4,3,2
Mammillaria beneckei,281824,1,2,2,1
Opuntia pubescens,281834,6,2,2,1
Opuntia lutea,281849,5,1,1,1
Croton hirtus,282215,1,11,22,6
Hieronyma oblonga,282230,20,1,1,1
Dalechampia scandens,282249,14,1,1,1
Acalypha villosa,282301,11,1,1,1
Euphorbia hirsuta,282330,13,2,4,2
Euphorbia angusta,282331,11,1,1,1
Euphorbia capitellata,282334,6,2,2,1
Euphorbia florida,282338,1,2,2,1
Euphorbia lasiocarpa,282341,11,4,5,4
Euphorbia magdalenae,282344,13,1,1,1
Dalechampia tiliifolia,282362,2,1,1,1
Callisia multiflora,282654,10,1,1,1
Echeveria rosea,282759,13,1,2,1
Echeveria secunda,282761,2,3,3,2
Echeveria simulans,282763,17,1,1,1
Villadia diffusa,282794,13,1,1,1
Sedum potosinum,282812,11,2,3,1
Alonsoa meridionalis,282861,1,14,36,4
Benjaminia reflexa,282868,6,2,2,2
Buchnera obliqua,282869,1,1,1,1
Calceolaria mexicana,282871,7,2,2,1
Castilleja integrifolia,282883,6,3,5,2
Castilleja pectinata,282888,5,1,4,1
Castilleja tolucensis,282890,2,2,3,1
Escobedia grandiflora,282895,9,1,3,2
Lamourouxia multifida,282904,3,3,2,2
Lamourouxia viscosa,282909,18,1,1,1
Lamourouxia xalapensis,282910,5,3,3,1
Russelia tenuis,282957,15,1,1,1
Stemodia macrantha,282969,7,1,1,1
Stemodia maritima,282970,3,8,14,5
Stemodia peduncularis,282973,7,2,5,1
Stemodia verticillata,282976,1,11,13,6
Buchnera palustris,283007,7,1,1,1
Cayaponia racemosa,283024,16,1,1,1
Psiguria triphylla,283042,5,2,2,1
Benincasa hispida,283076,4,3,2,2
Phytolacca rugosa,283081,1,9,13,5
Heliocarpus pallidus,283090,15,1,1,1
Luehea candida,283092,9,2,2,2
Luehea seemannii,283093,17,1,1,1
Triumfetta grandiflora,283107,19,1,1,1
Triumfetta speciosa,283115,7,6,8,1
Cordia dentata,283139,1,9,10,2
Cordia panamensis,283148,10,1,1,1
Cordia seleriana,283152,3,5,5,1
Tournefortia gnaphalodes,283216,4,5,6,3
Varronia curassavica,283226,1,7,9,5
Varronia globosa,283227,1,5,5,1
Bursera bipinnata,283240,2,1,1,1
Bursera grandifolia,283248,7,1,1,1
Aechmea tillandsioides,283296,6,2,5,2
Alophia silvestris,283304,3,3,3,2
Anthurium gracile,283312,11,2,3,2
Arpophyllum spicatum,283323,17,1,1,1
Artorima erubescens,283324,2,1,1,1
Barkeria spectabilis,283332,17,1,1,1
Barkeria uniflora,283333,12,1,1,1
Bessera elegans,283337,1,7,11,3
Billbergia pallidiflora,283339,2,2,1,1
Bletia campanulata,283341,1,1,1,1
Bletia lilacina,283346,1,1,1,1
Bletia neglecta,283347,11,2,2,2
Bletia punctata,283350,17,1,1,1
Bletia purpurata,283351,17,1,1,1
Bomarea acutifolia,283354,11,1,2,1
Bomarea edulis,283355,4,8,16,5
Brassavola nodosa,283368,1,10,12,2
Brassia maculata,283372,17,1,1,1
Bromelia palmeri,283374,9,1,1,1
Caladium bicolor,283377,2,5,6,3
Calathea lutea,283380,2,4,4,3
Callisia filiformis,283382,9,1,1,1
Catopsis paniculata,283397,10,1,1,1
Catopsis sessiliflora,283398,3,3,3,3
Cipura campanulata,283408,1,7,11,4
Coelia bella,283409,17,1,1,1
Commelina nivea,283413,14,1,1,1
Commelina rzedowskii,283415,6,1,1,1
Commelina scabra,283416,5,2,2,1
Costus scaber,283424,6,3,3,2
Crinum erubescens,283431,3,2,2,1
Curculigo scorzonerifolia,283432,16,2,2,2
Dasylirion lucidum,283442,13,1,1,1
Dichaea glauca,283449,18,1,1,1
Dichaea neglecta,283452,4,2,2,1
Dimerandra emarginata,283460,3,9,9,4
Echeandia breedlovei,283467,12,1,1,1
Echeandia flexuosa,283476,1,2,2,1
Echeandia formosa,283477,1,2,4,1
Echeandia mexicana,283490,1,2,4,1
Echeandia scabrella,283502,1,1,1,1
Echeandia skinneri,283504,1,1,1,1
Echeandia tenuis,283507,18,1,1,1
Echeandia vestita,283509,19,1,1,1
Eleutherine bulbosa,283511,5,4,2,2
Eleutherine latifolia,283512,2,5,8,2
Encyclia ambigua,283514,17,1,1,1
Encyclia guatemalensis,283521,17,1,1,1
Epidendrum eximium,283532,10,1,1,1
Epidendrum flexuosum,283533,2,3,3,3
Gibasis matudae,283558,11,1,1,1
Gibasis pellucida,283560,5,5,6,3
Gibasoides laxiflora,283562,16,1,1,1
Goodyera striata,283567,1,2,2,1
Govenia alba,283568,1,1,1,1
Govenia capitata,283570,1,5,7,2
Govenia dressleriana,283571,5,3,5,1
Govenia purpusii,283575,5,1,1,1
Govenia superba,283576,1,12,27,3
Guzmania nicaraguensis,283577,2,7,12,1
Habenaria jaliscana,283585,1,2,3,2
Hechtia rosea,283622,15,1,1,1
Heliconia aurantiaca,283628,17,1,1,1
Hintonella mexicana,283643,6,1,2,1
Homalopetalum pachyphyllum,283644,1,1,1,1
Hypoxis decumbens,283656,2,14,31,6
Isochilus aurantiacus,283661,17,1,1,1
Isochilus linearis,283663,10,2,3,2
Leochilus carinatus,283679,9,1,1,1
Leochilus oncidioides,283681,4,1,1,1
Limnocharis flava,283710,3,11,9,7
Lycaste consobrina,283721,8,2,2,1
Lycaste deppei,283723,17,1,1,1
Maianthemum flexuosum,283725,8,1,1,1
Maianthemum paniculatum,283728,13,1,1,1
Malaxis excavata,283732,2,2,2,2
Malaxis fastigiata,283733,10,1,1,1
Maxillaria acutifolia,283750,4,1,1,1
Maxillaria anceps,283751,17,1,1,1
Maxillaria elatior,283756,7,2,2,1
Mormodes lineata,283770,10,1,1,1
Myrmecophila galeottiana,283778,17,1,1,1
Nolina parviflora,283785,4,1,1,1
Oncidium graminifolium,283796,11,2,2,2
Ornithocephalus inflexus,283799,6,2,2,1
Pitcairnia colimensis,283819,17,1,1,1
Pitcairnia imbricata,283822,1,1,1,1
Pleurothallis matudana,283859,13,2,2,2
Pontederia sagittata,283881,3,3,3,1
Prosthechea brassavolae,283894,17,1,1,1
Prosthechea cochleata,283895,1,8,15,3
Prosthechea concolor,283896,4,2,2,1
Prosthechea fragrans,283898,14,2,2,2
Prosthechea hastata,283902,17,1,1,1
Renealmia cernua,283910,13,3,5,3
Rhynchostele maculata,283920,2,2,2,1
Sarcoglottis schaffneri,283925,2,6,7,3
Schiedeella durangensis,283940,11,1,1,1
Cascabela ovata,283974,17,1,1,1
Sisyrinchium macrophyllum,284003,3,2,1,1
Sisyrinchium micranthum,284004,1,20,175,23
Sisyrinchium scabrum,284009,5,8,13,4
Sobralia decora,284031,17,1,1,1
Sobralia fragrans,284032,13,2,2,2
Sobralia lindleyana,284034,9,1,1,1
Spathiphyllum wallisii,284040,15,1,1,1
Stanhopea saccata,284053,1,1,1,1
Stelis purpurascens,284064,17,1,1,1
Tillandsia bourgaei,284092,1,1,1,1
Tillandsia caput-medusae,284094,1,6,16,2
Tillandsia carlsoniae,284095,8,1,1,1
Tillandsia compressa,284096,13,1,1,1
Tillandsia deppeana,284099,15,1,1,1
Tillandsia diguetii,284100,13,1,1,1
Tillandsia durangensis,284103,15,1,1,1
Tillandsia guatemalensis,284109,1,11,32,1
Tillandsia heterophylla,284111,13,2,2,2
Tillandsia juncea,284114,4,3,7,1
Tillandsia lucida,284117,8,1,2,1
Tillandsia makoyana,284119,6,1,1,1
Tillandsia multicaulis,284125,4,3,6,1
Tillandsia oaxacana,284126,18,1,1,1
Tillandsia polystachia,284132,12,1,1,1
Tillandsia punctulata,284134,5,3,11,1
Tillandsia velutina,284139,16,1,1,1
Tillandsia violacea,284141,6,5,10,2
Tinantia standleyi,284148,1,3,3,3
Trichopilia tortilis,284169,17,1,1,1
Trimezia steyermarkii,284175,1,20,85,11
Triteleia guadalupensis,284184,10,1,1,1
Wullschlaegelia aphylla,284194,7,2,3,1
Xanthosoma mexicanum,284197,14,1,1,1
Xanthosoma robustum,284200,13,1,1,1
Acianthera pubescens,284244,9,2,2,2
Govenia matudae,284254,1,1,1,1
Guarianthe aurantiaca,284255,6,3,4,2
Trichocentrum lindenii,284259,9,1,1,1
Trichocentrum luridum,284260,6,2,2,1
Trichocentrum oerstedii,284262,9,2,2,1
Lobelia henricksonii,284299,3,2,2,1
Lobelia nana,284301,20,1,1,1
Mandevilla foliosa,284313,5,1,1,1
Mandevilla hirsuta,284314,1,10,11,4
Mandevilla macrosiphon,284317,2,1,1,1
Asclepias auriculata,284335,13,2,4,1
Asclepias elata,284339,13,1,1,1
Asclepias fournieri,284340,2,1,1,1
Dictyanthus yucatanensis,284356,11,1,1,1
Funastrum elegans,284359,2,4,4,3
Gonolobus grandiflorus,284370,1,3,3,3
Gonolobus jaliscensis,284371,7,2,2,1
Gonolobus pectinatus,284374,5,2,2,2
Matelea velutina,284425,10,1,1,1
Metastelma arizonicum,284428,1,3,4,1
Metastelma palmeri,284435,2,8,10,2
Metastelma pringlei,284436,5,2,2,1
Pherotrichis villosa,284446,17,1,1,1
Polystemma guatemalense,284447,2,11,27,2
Annona muricata,284503,18,1,1,1
Annona reticulata,284506,6,1,1,1
Hydrocotyle mexicana,284534,1,2,3,2
Aristolochia flexuosa,284573,15,1,1,1
Aristolochia foetida,284574,15,2,2,2
Aristolochia nelsonii,284587,5,4,5,1
Aristolochia pilosa,284594,3,3,3,2
Aristolochia ringens,284600,2,4,4,3
Aristolochia trilobata,284610,2,6,10,3
Begonia glabra,284643,1,2,4,3
Begonia maculata,284651,14,1,1,1
Begonia oaxacana,284654,19,1,1,1
Begonia palmeri,284655,9,1,2,1
Begonia pinetorum,284658,13,1,1,1
Begonia wallichiana,284667,5,4,4,2
Godmania aesculifolia,284694,16,1,1,1
Roseodendron donnell-smithii,284696,1,11,40,3
Eruca sativa,284707,1,1,1,1
Buddleja corrugata,284732,9,1,1,1
Diastatea micrantha,284742,15,1,1,1
Lonicera pilosa,284758,9,1,1,1
Clethra mexicana,284812,2,3,4,2
Combretum farinosum,284829,4,4,9,2
Combretum fruticosum,284830,2,6,9,5
Combretum indicum,284831,1,20,70,17
Dichondra nivea,284852,16,1,1,1
Ipomoea bombycina,284857,2,3,3,1
Ipomoea bracteata,284858,1,7,13,3
Ipomoea clavata,284860,6,3,3,1
Ipomoea conzattii,284861,15,2,2,1
Ipomoea dumosa,284863,11,2,2,1
Ipomoea elongata,284865,14,1,1,1
Ipomoea hartwegii,284868,14,2,3,1
Ipomoea jalapa,284870,4,1,1,1
Ipomoea lindenii,284875,17,2,2,1
Ipomoea lottiae,284877,12,2,2,1
Ipomoea lutea,284879,6,2,2,1
Ipomoea meyeri,284882,11,2,2,1
Ipomoea minutiflora,284883,12,2,3,1
Ipomoea parasitica,284887,3,8,9,5
Ipomoea pedicellaris,284888,12,1,1,1
Ipomoea ramosissima,284890,1,1,1,1
Ipomoea rubens,284894,14,2,5,1
Ipomoea stans,284896,5,3,5,2
Ipomoea suaveolens,284898,17,1,1,1
Ipomoea suffulta,284899,6,2,2,1
Jacquemontia mexicana,284907,16,1,1,1
Jacquemontia smithii,284910,20,1,1,1
Merremia platyphylla,284916,5,1,1,1
Odonellia hirtiflora,284917,13,1,1,1
Cornus excelsa,284919,2,2,2,2
Cuscuta tinctoria,284940,1,1,1,1
Bejaria aestuans,284971,2,6,7,3
Comarostaphylis glaucescens,284972,8,1,1,1
Comarostaphylis longifolia,284973,4,1,1,1
Gaultheria erecta,284979,11,2,2,2
Lyonia squamulosa,284981,15,1,1,1
Vaccinium confertum,284983,5,2,3,1
Casearia corymbosa,284995,3,2,2,1
Geranium gracile,285033,9,2,2,2
Achimenes erecta,285045,20,1,1,1
Achimenes longiflora,285051,5,2,2,2
Drymonia serrulata,285061,3,3,4,3
Ribes ciliatum,285071,6,1,1,1
Cunila pycnantha,285142,6,1,1,1
Hyptis brachiata,285149,4,1,1,1
Hyptis recurvata,285155,18,1,1,1
Hyptis sinuata,285157,3,1,1,1
Salvia carnea,285163,2,7,7,2
Salvia wagneriana,285167,3,1,1,1
Nectandra reticulata,285211,13,1,1,1
Pinguicula colimensis,285251,1,1,1,1
Pinguicula lilacina,285262,12,1,1,1
Pinguicula parvifolia,285266,2,4,3,2
Utricularia hispida,285270,4,5,6,1
Utricularia pusilla,285272,1,2,2,2
Eucnide lobata,285294,5,1,3,1
Gronovia scandens,285298,1,4,4,2
Mentzelia adhaerens,285300,18,1,1,1
Spigelia humboldtiana,285312,1,4,4,3
Spigelia longiflora,285313,16,1,1,1
Adenaria floribunda,285325,13,1,1,1
Cuphea ciliata,285332,18,1,1,1
Cuphea epilobiifolia,285336,15,1,1,1
Cuphea micrantha,285348,1,5,4,2
Cuphea racemosa,285357,1,7,11,3
Cuphea salvadorensis,285361,7,2,4,1
Lawsonia inermis,285378,7,3,3,3
Pehria compacta,285408,5,5,6,3
Malpighia emarginata,285445,2,6,6,3
Malpighia mexicana,285447,12,1,1,1
Hibiscus colimensis,285494,14,2,2,1
Neobrittonia acerifolia,285503,3,3,2,1
Pavonia fruticosa,285505,3,6,11,5
Pavonia paniculata,285507,13,1,1,1
Sida glomerata,285516,7,1,1,1
Heterocentron mexicanum,285558,12,1,1,1
Miconia affinis,285565,10,2,2,2
Miconia albicans,285566,1,7,8,4
Miconia caudata,285567,5,1,1,1
Miconia ciliata,285568,1,4,4,2
Miconia holosericea,285578,14,1,1,1
Miconia lacera,285583,7,1,1,1
Miconia longifolia,285587,1,1,1,1
Miconia mirabilis,285592,9,3,3,2
Miconia serrulata,285601,1,2,2,1
Miconia stenostachya,285605,1,7,13,5
Miconia tomentosa,285610,3,1,2,1
Monochaetum floribundum,285616,19,2,2,1
Nymphoides fallax,285656,12,1,1,1
Ficus obtusifolia,285682,16,1,1,1
Ardisia compressa,285688,5,2,5,1
Ardisia revoluta,285697,5,1,1,1
Myrcia splendens,285739,2,4,3,2
Ugni myricoides,285745,8,2,2,1
Mirabilis violacea,285775,2,1,1,1
Mirabilis viscosa,285776,5,5,5,3
Salpianthus purpurascens,285784,1,2,2,1
Nymphaea pulchella,285788,1,17,24,5
Ouratea lucens,285791,17,1,1,1
Ludwigia hyssopifolia,285832,3,8,14,8
Argemone arida,285839,15,1,1,1
Passiflora colimensis,285842,1,3,3,1
Passiflora conzattiana,285843,11,1,1,1
Martynia annua,285847,1,12,14,7
Sesamum indicum,285850,1,7,12,5
Peperomia hispidula,285861,10,1,2,1
Peperomia rotundifolia,285872,10,1,4,1
Piper marginatum,285887,2,6,6,2
Piper tuberculatum,285893,4,6,5,1
Piper umbellatum,285894,2,7,8,5
Bonplandia geminiflora,285903,2,9,10,2
Cobaea scandens,285911,3,9,15,7
Loeselia ciliata,285919,7,1,1,1
Faramea occidentalis,285928,3,3,3,2
Casearia guianensis,285953,8,3,3,2
Monnina xalapensis,285976,13,1,2,1
Securidaca diversifolia,286002,3,5,5,3
Antigonon flavescens,286006,3,6,6,1
Coccoloba liebmannii,286015,15,1,1,1
Muehlenbeckia tamnifolia,286026,18,1,1,1
Muehlenbeckia volcanica,286027,6,2,2,2
Podopterus cordifolius,286028,15,1,1,1
Roupala montana,286045,16,2,2,2
Clematis haenkeana,286053,2,1,1,1
Cassipourea guianensis,286058,14,1,1,1
Holodiscus argenteus,286072,2,2,2,2
Purshia plicata,286081,6,3,3,1
Rubus urticifolius,286085,17,1,1,1
Arachnothryx leucophylla,286095,6,3,3,3
Bouvardia cordifolia,286116,10,1,1,1
Bouvardia laevis,286121,7,2,2,2
Bouvardia multiflora,286125,12,1,1,1
Bouvardia viminalis,286135,3,2,2,1
Coccocypselum cordifolium,286149,9,2,2,1
Coccocypselum guianense,286150,2,3,4,1
Coccocypselum lanceolatum,286151,9,1,1,1
Coutarea hexandra,286154,1,10,13,5
Crusea longiflora,286156,1,1,1,1
Declieuxia fruticosa,286159,16,1,1,1
Geophila cordifolia,286186,20,1,1,1
Geophila repens,286187,2,9,11,4
Hamelia axillaris,286193,1,4,5,3
Hamelia xorullensis,286197,6,5,8,1
Palicourea crocea,286239,8,2,3,2
Palicourea triphylla,286242,2,4,4,2
Rachicallis americana,286275,10,2,3,2
Sabicea panamensis,286284,2,1,1,1
Sabicea villosa,286285,17,1,1,1
Allophylus racemosus,286304,13,1,1,1
Sapindus drummondii,286324,2,3,3,2
Quassia amara,286387,2,8,9,4
Herrania purpurea,286412,7,1,1,1
Daphnopsis americana,286451,7,1,1,1
Boehmeria caudata,286477,17,1,1,1
Phenax hirtus,286488,8,1,1,1
Pilea hyalina,286494,3,3,3,3
Urera baccifera,286502,3,3,5,3
Urera caracasana,286503,9,1,1,1
Urera laciniata,286505,13,1,1,1
Urtica leptophylla,286509,18,1,1,1
Valeriana prionophylla,286518,11,1,1,1
Cornutia pyramidata,286547,10,2,2,2
Lantana hirta,286555,3,1,1,1
Lippia bracteosa,286562,13,1,1,1
Lippia umbellata,286575,12,2,2,1
Priva aspera,286578,13,1,2,1
Viola grahamii,286609,8,1,1,1
Viola hirta,286612,1,17,71,8
Loeselia pumila,286684,10,3,7,1
Alternanthera pubiflora,286703,2,1,1,1
Iresine arbuscula,286715,13,1,1,1
Iresine nigra,286720,2,1,1,1
Tapirira guianensis,286726,8,3,3,3
Guatteria amplifolia,286730,12,1,1,1
Callichlamys latifolia,286761,6,1,1,1
Tecomaria capensis,286772,1,16,42,10
Pseudobombax palmeri,286778,3,2,1,1
Sedum brevifolium,286847,4,1,1,1
Gentiana bicuspidata,286877,8,1,1,1
Lisianthius axillaris,286887,20,1,1,1
Coutoubea spicata,286890,2,3,4,3
Episcia cupreata,286913,11,2,2,2
Clusia minor,286919,7,1,1,1
Hyptis atrorubens,286947,14,2,2,1
Hyptis rhomboidea,286949,20,1,1,1
Hyptis albida,286953,4,2,2,2
Lepechinia caulescens,286956,5,3,3,1
Salvia canariensis,286965,6,3,7,1
Salvia canescens,286967,2,2,2,1
Salvia chiapensis,286968,3,2,3,1
Salvia involucrata,286972,4,3,3,2
Salvia laevis,286973,6,2,4,1
Salvia mocinoi,286978,3,4,4,2
Salvia purpurea,286982,3,5,5,2
Salvia xalapensis,286989,5,1,1,1
Salvia cinnabarina,286991,3,3,4,2
Salvia holwayi,286992,13,1,5,1
Salvia longispicata,286995,2,10,11,2
Salvia thyrsiflora,286998,5,3,3,2
Scutellaria dumetorum,287004,9,1,1,1
Stachys agraria,287012,1,2,3,1
Stachys lindenii,287017,19,1,1,1
Buddleja parviflora,287035,2,3,3,2
Buddleja nitida,287038,10,1,1,1
Mascagnia sepium,287057,17,1,1,1
Hiraea fagifolia,287058,16,1,1,1
Pavonia uniflora,287075,15,1,1,1
Ludwigia adscendens,287151,6,5,6,5
Oxalis sepium,287158,13,1,1,1
Passiflora coriacea,287160,16,1,1,1
Passiflora costaricensis,287161,1,1,1,1
Passiflora holosericea,287164,7,6,9,3
Passiflora serratifolia,287166,15,1,2,1
Passiflora pallida,287170,2,11,12,8
Passiflora membranacea,287171,8,1,1,1
Rubus floribundus,287274,12,1,1,1
Alchemilla orbiculata,287289,8,2,2,1
Alchemilla pinnata,287292,18,1,1,1
Murraya paniculata,287316,2,15,21,10
Salix chilensis,287321,14,1,1,1
Linaria canadensis,287345,2,7,7,5
Buchnera floridana,287356,9,3,4,3
Eryngium humile,287385,5,5,6,2
Hydrocotyle leucocephala,287387,2,18,68,10
Spananthe paniculata,287391,2,2,2,2
Psychotria viridis,287466,15,1,1,1
Notopleura uliginosa,287488,3,5,8,4
Isertia haenkeana,287494,2,3,3,3
Rovaeanthus strigosus,287524,2,1,1,1
Salvia disjuncta,287585,13,1,1,1
Salvia reptans,287591,17,2,2,1
Arracacia donnell-smithii,287602,8,1,1,1
Fuchsia splendens,287639,18,1,1,1
Pithecellobium lanceolatum,287650,13,3,3,2
Mimosa paludosa,287677,7,1,1,1
Mimosa tenuiflora,287688,1,9,11,3
Mimosa ursina,287691,10,1,1,1
Fouquieria formosa,287727,3,4,5,1
Waltheria rotundifolia,287806,2,7,14,2
Hibiscus sororius,287816,19,1,1,1
Aegiphila martinicensis,287850,10,1,1,1
Chamaedorea linearis,287851,15,1,1,1
Ludwigia perennis,287853,10,2,2,2
Calliandra caeciliae,287885,5,1,1,1
Tripsacum andersonii,287921,16,1,1,1
Fleischmannia arguta,287934,1,1,1,1
Fleischmannia pycnocephala,287971,10,1,3,1
Critonia quadrangularis,287974,3,2,1,1
Chromolaena quercetorum,287975,7,1,1,1
Bouteloua dactyloides,288038,3,4,5,2
Lachnagrostis filiformis,288066,13,1,1,1
Avenella flexuosa,288069,1,3,4,2
Urochloa fusca,288072,6,2,2,2
Muhlenbergia macroura,288153,2,1,1,1
Setaria tenax,288303,18,1,1,1
Eragrostis tenuifolia,288306,8,2,3,2
Sigesbeckia agrestis,288351,18,1,1,1
Telanthophora andrieuxii,288378,11,1,2,1
Heliopsis annua,288391,15,1,1,1
Adenophyllum anomalum,288397,2,1,1,1
Adenophyllum aurantium,288429,3,11,11,2
Bidens bicolor,288460,2,1,1,1
Delilia biflora,288462,4,8,9,3
Montanoa bipinnatifida,288466,1,1,1,1
Chromolaena breedlovei,288492,7,1,2,1
Porophyllum calcicola,288502,3,1,1,1
Spiracantha cornifolia,288595,4,2,3,1
Lasianthaea crocea,288615,5,1,1,1
Dyssodia decipiens,288633,3,6,12,1
Ageratina deltoidea,288641,7,2,5,1
Hofmeisteria dissecta,288657,3,2,2,2
Conoclinium dissectum,288658,3,2,2,1
Melampodium divaricatum,288660,1,8,13,5
Sclerocarpus divaricatus,288661,9,2,2,2
Tridax dubia,288665,18,1,1,1
Podachaenium eminens,288686,6,1,1,1
Schistocarpha eupatorioides,288693,7,1,1,1
Pectis exserta,288698,15,1,1,1
Verbesina fastigiata,288701,11,2,2,2
Tagetes filifolia,288710,2,7,11,2
Sanvitalia fruticosa,288731,13,1,1,1
Chromolaena glaberrima,288758,7,1,1,1
Ageratina glabrata,288759,11,1,1,1
Encelia halimifolia,288841,15,1,1,1
Jaegeria hirta,288904,10,2,4,2
Dahlia imperialis,288936,1,8,10,6
Bartlettina karwinskiana,288974,15,1,1,1
Verbesina klattii,288980,6,1,1,1
Chaenactis lacera,288985,9,1,1,1
Chromolaena laevigata,288987,5,2,3,3
Ageratina ligustrina,289020,13,1,1,1
Porophyllum linaria,289022,3,3,3,1
Roldana lobata,289037,10,2,4,1
Erigeron longipes,289045,10,1,1,1
Tagetes lucida,289050,1,8,16,2
Tridax mexicana,289120,2,1,1,1
Cirsium mexicanum,289134,14,2,2,2
Roldana michoacana,289143,9,1,1,1
Tagetes nelsonii,289218,12,1,1,1
Verbesina neriifolia,289224,7,2,3,1
Roldana oaxacana,289242,13,1,2,1
Senecio palmeri,289312,10,1,1,1
Vernonanthura patens,289343,4,2,2,2
Baccharis pedunculata,289353,20,1,1,1
Chrysactinia pinnata,289391,12,1,1,1
Tridax platyphylla,289402,17,1,1,1
Cirsium pringlei,289433,5,1,1,1
Jaliscoa pringlei,289453,8,1,1,1
Porophyllum punctatum,289475,2,3,2,1
Cosmos purpureus,289482,14,1,1,1
Koanophyllon ravenii,289504,7,1,1,1
Bidens riparia,289530,12,2,2,1
Flaveria robusta,289541,8,2,2,1
Elephantopus scaber,289582,8,5,8,5
Cyrtocymura scorpioides,289607,1,6,12,2
Bartlettina sordida,289658,11,2,2,2
Adenophyllum speciosum,289666,18,1,1,1
Osbertia stolonifera,289696,4,1,1,1
Ageratum tehuacanum,289723,16,1,1,1
Tagetes tenuifolia,289732,2,11,22,2
Hidalgoa ternata,289740,4,2,2,1
Verbesina tetraptera,289742,6,1,1,1
Piqueria trinervia,289775,3,5,4,2
Baccharis trinervis,289777,15,1,1,1
Acourtia turbinata,289783,5,1,1,1
Spilanthes urens,289792,3,9,8,4
Ageratina vernalis,289807,11,1,1,1
Porophyllum viridiflorum,289820,6,1,1,1
Zinnia zinnioides,289843,1,2,2,1
Desmodium bellum,289891,7,1,1,1
Erythrina berteroana,289892,6,2,2,2
Calopogonium caeruleum,289901,17,1,1,1
Tephrosia cana,289908,10,1,1,1
Vicia scandens,289941,1,1,1,1
Senna uniflora,289947,6,10,13,6
Fimbristylis complanata,289956,20,1,2,1
Physalis patula,289958,16,1,1,1
Chamaecrista diphylla,290006,1,5,9,3
Indigofera discolor,290008,3,2,4,2
Bauhinia divaricata,290009,2,7,10,5
Hoffmannseggia drummondii,290015,3,2,2,1
Peltophorum dubium,290016,2,8,8,3
Macroptilium gracile,290060,1,4,4,2
Tephrosia grandiflora,290064,8,2,2,1
Chamaecrista hispidula,290094,1,16,23,3
Stylosanthes humilis,290101,2,2,1,1
Desmodium jaliscanum,290114,13,1,4,1
Indigofera microcarpa,290183,2,4,4,3
Coursetia mollis,290195,18,2,2,1
Tephrosia nicaraguensis,290223,12,1,1,1
Lupinus niveus,290228,3,1,1,1
Centrosema pascuorum,290278,4,8,8,3
Barbieria pinnata,290296,4,2,3,1
Centrosema plumieri,290304,7,2,4,3
Poeppigia procera,290320,9,1,1,1
Senna reticulata,290362,12,2,2,1
Eriosema simplicifolium,290398,1,1,1,1
Tephrosia vicioides,290468,1,2,4,1
Dioclea virgata,290476,1,7,11,3
Crotalaria vitellina,290479,9,1,1,1
Carex atrata,290498,13,1,1,1
Rhynchospora corymbosa,290513,5,2,2,2
Cyperus diffusus,290515,15,1,1,1
Eleocharis elegans,290522,8,4,4,4
Cyperus imbricatus,290547,1,2,2,1
Eleocharis maculosa,290564,7,1,1,1
Bulbostylis paradoxa,290593,5,3,4,1
Fimbristylis spadicea,290627,7,1,1,1
Solanum adscendens,290662,11,1,1,1
Brunfelsia americana,290666,9,1,1,1
