species,inat_taxon_id,first_v2_round,n_v2_rounds_seen,unique_v2_observations,occupied_v2_cells
Lobelia cardinalis,48038,1,20,168,6
Lysimachia terrestris,48062,1,7,10,3
Sagittaria latifolia,48070,1,18,43,5
Acer rubrum,48098,5,1,1,1
Cynoglossum officinale,48152,2,16,32,9
Couroupita guianensis,48163,1,19,76,14
Galinsoga parviflora,48178,1,16,33,20
Convallaria majalis,48206,2,18,63,11
Clethra arborea,48208,4,8,11,3
Eschscholzia californica,48225,1,20,101,19
Ranunculus repens,48229,1,20,69,20
Erythronium americanum,48240,1,2,2,1
Aquilegia formosa,48244,1,20,184,6
Vaccinium parvifolium,48354,4,3,8,2
Tecoma stans,48363,1,20,102,25
Stenaria nigricans,48364,3,5,9,2
Antigonon leptopus,48380,1,20,95,25
Heuchera sanguinea,48384,1,3,3,1
Gaultheria shallon,48441,2,15,32,3
Zea mays,48448,5,3,4,3
Aconitum delphiniifolium,48491,1,19,155,3
Cercis canadensis,48502,20,1,2,2
Capsicum annuum,48514,2,5,3,3
Symphoricarpos albus,48523,1,11,15,6
Lysichiton americanus,48537,4,10,23,3
Cytisus scoparius,48538,1,14,28,9
Mycelis muralis,48543,1,14,26,7
Gompholobium scabrum,48546,1,10,26,3
Drymaria cordata,48556,4,6,8,7
Sorbus sitchensis,48583,5,3,4,1
Campanula trachelium,48588,1,15,27,6
Allium cepa,48592,3,3,4,4
Phytolacca bogotensis,48597,1,11,22,3
Phytolacca dodecandra,48598,14,1,1,1
Phytolacca americana,48599,1,19,92,22
Datura metel,48602,2,10,12,9
Echinocystis lobata,48618,1,16,32,9
Nepeta cataria,48622,2,9,15,8
Oenothera speciosa,48625,1,20,104,11
Echinacea purpurea,48627,3,13,22,5
Cosmos sulphureus,48651,1,20,100,24
Spiraea tomentosa,48682,1,14,36,2
Typha latifolia,48685,1,16,18,13
Setaria pumila,48688,5,2,2,2
Liatris pycnostachya,48691,2,4,7,1
Iris versicolor,48726,2,16,22,3
Cocos nucifera,48865,1,6,7,6
Mangifera indica,48872,1,10,13,9
Chrysophyllum cainito,48876,7,1,1,1
Heliotropium angiospermum,48895,1,15,27,12
Lilium kelleyanum,48927,3,5,7,1
Polemonium eximium,48931,6,2,3,1
Eriogonum ovalifolium,48938,3,3,3,2
Antirrhinum majus,48969,1,9,11,9
Dactylorhiza incarnata,48982,2,9,12,4
Centaurea montana,48984,1,12,18,8
Pedicularis ornithorhynchos,48986,4,5,7,2
Scoliopus bigelovii,48990,20,1,1,1
Hymenoxys hoopesii,49037,5,3,7,2
Chimonanthus praecox,49080,3,1,1,1
Myosotis scorpioides,49130,1,16,35,10
Myosotis latifolia,49132,1,6,8,5
Strelitzia reginae,49143,1,4,5,5
Castanea mollissima,49192,6,3,5,3
Callicarpa americana,49193,1,11,22,2
Podophyllum peltatum,49288,1,6,6,4
Mesembryanthemum crystallinum,49319,2,15,29,7
Carpobrotus edulis,49322,1,19,63,13
Fouquieria splendens,49325,3,14,24,2
Atrichoseris platyphylla,49328,8,1,1,1
Encelia farinosa,49339,7,7,7,1
Castilleja attenuata,49341,8,1,1,1
Castilleja exserta,49343,3,4,6,1
Phacelia crenulata,49345,12,4,5,2
Cylindropuntia bigelovii,49351,16,3,3,1
Cylindropuntia acanthocarpa,49354,7,8,9,2
Carex pendula,49365,3,4,5,4
Stellaria alaskana,49387,14,1,1,1
Kalmia latifolia,49397,7,2,2,1
Corallorhiza mertensiana,49444,3,11,19,3
Trillium ovatum,49463,7,2,2,1
Sarcodes sanguinea,49472,1,7,12,2
Corallorhiza maculata,49475,1,16,41,8
Monotropa uniflora,49477,1,20,161,10
Lilium lancifolium,49524,1,11,19,5
Cistanche tubulosa,49562,2,15,28,3
Lupinus texensis,49564,3,13,21,1
Lupinus subcarnosus,49565,9,2,3,1
Tillandsia usneoides,49569,1,8,13,5
Leucocrinum montanum,49647,6,4,4,2
Toxicoscordion fremontii,49649,7,2,2,1
Cardamine californica,49651,5,2,2,2
Ceanothus cuneatus,49673,5,1,1,1
Rhododendron periclymenoides,49822,6,2,2,2
Aquilegia canadensis,49868,1,9,27,4
Actaea rubra,49870,2,13,22,8
Sisyrinchium angustifolium,49916,2,3,3,3
Sisyrinchium bellum,49918,1,13,29,2
Castilleja affinis,50042,12,1,1,1
Justicia californica,50150,8,2,2,1
Sphaeralcea ambigua,50153,1,5,5,2
Mohavea confertiflora,50155,17,2,7,1
Abronia villosa,50164,10,1,1,1
Phacelia campanularia,50171,9,2,2,2
Astragalus coccineus,50177,18,2,5,1
Washingtonia filifera,50184,1,2,6,2
Cordyline australis,50191,11,2,2,1
Palafoxia linearis,50200,13,1,1,1
Bidens bipinnata,50202,1,14,18,7
Bidens pilosa,50203,1,20,99,26
Maianthemum bifolium,50247,3,16,46,8
Parthenocissus quinquefolia,50278,13,1,1,1
Fragaria vesca,50298,1,19,78,20
Arisaema triphyllum,50310,4,4,4,2
Lantana camara,50333,1,20,500,46
Ludwigia peruviana,50338,2,4,5,5
Enhalus acoroides,50360,10,1,1,1
Lupinus bicolor,50614,16,3,4,2
Mirabilis jalapa,50616,1,20,118,38
Phacelia ramosissima,50617,1,3,3,3
Fritillaria affinis,50618,1,6,7,2
Erysimum capitatum,50628,2,7,10,2
Solanum umbelliferum,50639,9,2,2,1
Salvia mellifera,50643,1,9,12,1
Nemophila menziesii,50648,11,2,2,2
Collinsia sparsiflora,50656,4,1,1,1
Cephalanthera austiniae,50706,12,2,2,1
Corallorhiza striata,50708,2,7,6,4
Corallorhiza trifida,50709,2,10,14,6
Cypripedium montanum,50712,5,4,5,2
Cypripedium parviflorum,50713,2,16,90,4
Epipactis gigantea,50715,6,4,5,3
Epipactis helleborine,50717,1,16,53,13
Goodyera oblongifolia,50719,1,15,25,5
Malaxis monophyllos,50724,3,2,2,1
Platanthera stricta,50739,3,7,9,2
Spiranthes porrifolia,50742,8,1,1,1
Spiranthes romanzoffiana,50743,1,13,29,8
