inat_taxon_id,species,raw_photos,observers,quarters,years,maximum_span_km,median_pair_distance_km,cells_0p25_degree,maximum_cell_photos_0p25_degree,cells_0p5_degree,maximum_cell_photos_0p5_degree,pairs_within_100_km,photos_with_neighbor_within_100_km,pairs_within_250_km,photos_with_neighbor_within_250_km,pairs_within_500_km,photos_with_neighbor_within_500_km
47687,Erodium cicutarium,100,99,4,7,19578.415028,3662.008838,100,1,100,1,6,11,131,74,392,95
47785,Yucca brevifolia,100,93,4,15,424.067105,145.532711,34,10,19,16,1712,100,4155,100,4950,100
47894,Opuntia humifusa,100,99,3,12,12136.423885,1650.238043,82,4,65,7,504,84,1260,95,1996,96
47908,Asclepias angustifolia,100,87,4,16,2143.234394,607.371627,54,19,46,19,525,96,891,100,1908,100
48152,Cynoglossum officinale,100,100,2,16,10795.115482,3817.854599,100,1,100,1,0,0,37,46,227,97
48349,Vaccinium ovatum,100,96,4,12,2003.206249,532.366989,91,2,67,4,433,98,1250,99,2337,100
48354,Vaccinium parvifolium,100,92,3,11,2233.503021,312.448543,72,3,50,6,673,97,2114,99,3434,100
48363,Tecoma stans,100,98,4,13,19745.450731,7693.135784,100,1,100,1,0,0,34,45,138,80
48625,Oenothera speciosa,100,99,4,7,18924.900359,2066.4819,100,1,100,1,21,33,180,82,581,96
48651,Cosmos sulphureus,100,99,4,11,19963.792383,8562.179721,100,1,100,1,0,0,0,0,32,43
49322,Carpobrotus edulis,100,97,4,14,19937.533885,9844.971928,100,1,100,1,26,38,149,82,324,94
49365,Carex pendula,100,93,4,16,19660.328178,1080.961769,93,2,78,5,209,84,592,94,1160,98
49463,Trillium ovatum,100,100,4,16,1608.71698,517.504138,100,1,93,3,250,96,1108,100,2375,100
49569,Tillandsia usneoides,100,99,4,11,15767.002339,1438.974441,100,1,91,2,159,79,543,88,1206,91
50612,Lupinus nanus,100,92,3,13,1063.974723,171.553951,56,6,32,13,1325,98,3563,100,4679,100
50642,Delphinium nudicaule,100,92,2,9,759.860917,147.768239,58,7,33,11,1726,99,3827,100,4881,100
50706,Cephalanthera austiniae,100,98,2,17,1601.5447,370.212681,93,2,65,4,520,97,1700,98,3214,100
50832,Gilia tricolor,100,97,4,12,9229.070874,193.060403,59,8,35,16,1168,93,3007,98,4098,98
50855,Trillium erectum,100,98,2,14,1986.007882,560.194044,100,1,99,2,116,89,737,98,2137,100
50878,Erigeron glaucus,100,100,4,12,8958.794213,651.873043,69,4,46,5,534,97,1254,99,2091,100
