cell_id,swlat,swlng,nelat,nelng,all_research_photo_records,all_research_photo_records_request_error,license_eligible_photo_records,license_eligible_photo_records_request_error,flowering_annotated_eligible_records,flowering_annotated_eligible_records_request_error,log1p_all_research_photo_records,log1p_license_eligible_photo_records,log1p_flowering_annotated_eligible_records,licence_eligible_fraction,flowering_annotation_fraction_given_licence,top_decile_all_photo_effort
0,-90.0,-180.0,-51.057558731018624,-160.0,0,,0,,0,,0.0,0.0,0.0,,,False
1,-90.0,-160.0,-51.057558731018624,-140.0,0,,0,,0,,0.0,0.0,0.0,,,False
2,-90.0,-140.0,-51.057558731018624,-120.0,0,,0,,0,,0.0,0.0,0.0,,,False
3,-90.0,-120.0,-51.057558731018624,-100.0,0,,0,,0,,0.0,0.0,0.0,,,False
4,-90.0,-100.0,-51.057558731018624,-80.0,0,,0,,0,,0.0,0.0,0.0,,,False
5,-90.0,-80.0,-51.057558731018624,-60.0,19693,,15085,,1906,,9.888069299807748,9.621522440413576,7.553286605600419,0.7660082262732951,0.12635067948293005,False
6,-90.0,-60.0,-51.057558731018624,-40.0,1549,,1271,,87,,7.346010209913293,7.148345743900068,4.477336814478207,0.8205293737895416,0.06845003933910307,False
7,-90.0,-40.0,-51.057558731018624,-20.0,808,,502,,33,,6.695798917058491,6.220590170099739,3.5263605246161616,0.6212871287128713,0.06573705179282868,False
8,-90.0,-20.0,-51.057558731018624,0.0,0,,0,,0,,0.0,0.0,0.0,,,False
9,-90.0,0.0,-51.057558731018624,20.0,0,,0,,0,,0.0,0.0,0.0,,,False
10,-90.0,20.0,-51.057558731018624,40.0,0,,0,,0,,0.0,0.0,0.0,,,False
11,-90.0,40.0,-51.057558731018624,60.0,0,,0,,0,,0.0,0.0,0.0,,,False
12,-90.0,60.0,-51.057558731018624,80.0,3,,3,,0,,1.3862943611198906,1.3862943611198906,0.0,1.0,0.0,False
13,-90.0,80.0,-51.057558731018624,100.0,0,,0,,0,,0.0,0.0,0.0,,,False
14,-90.0,100.0,-51.057558731018624,120.0,0,,0,,0,,0.0,0.0,0.0,,,False
15,-90.0,120.0,-51.057558731018624,140.0,0,,0,,0,,0.0,0.0,0.0,,,False
16,-90.0,140.0,-51.057558731018624,160.0,211,,187,,42,,5.356586274672012,5.236441962829949,3.7612001156935624,0.8862559241706162,0.22459893048128343,False
17,-90.0,160.0,-51.057558731018624,180.0,1322,,1029,,357,,7.187657164114956,6.937314081223682,5.8805329864007,0.7783661119515886,0.3469387755102041,False
