species,inat_taxon_id,target_cell_order,cell_id,raw_results,local_rejected,wrong_taxon,prior_excluded,fresh_duplicate,locally_eligible,retained,distinct_retained_observers,request_error
Taraxacum officinale,47602,1,5,32,0,0,4,0,28,11,9,
Taraxacum officinale,47602,2,156,50,0,0,0,0,50,30,21,
Taraxacum officinale,47602,3,161,2,0,0,2,0,0,0,0,
Taraxacum officinale,47602,4,153,50,0,0,0,0,50,30,27,
Taraxacum officinale,47602,5,7,2,0,0,2,0,0,0,0,
Taraxacum officinale,47602,6,154,50,0,0,3,0,47,23,21,
Lantana camara,50333,1,76,22,0,0,4,0,18,18,16,
Lantana camara,50333,2,85,3,0,0,2,0,1,1,1,
Lantana camara,50333,3,54,2,0,0,2,0,0,0,0,
Lantana camara,50333,4,80,2,0,0,2,0,0,0,0,
Lantana camara,50333,5,24,50,0,0,1,0,49,30,28,
Lantana camara,50333,6,28,50,0,0,0,0,50,17,10,
Veronica chamaedrys,51610,1,157,37,0,0,2,0,35,29,21,
Veronica chamaedrys,51610,2,152,50,0,0,0,0,50,30,30,
Veronica chamaedrys,51610,3,136,50,0,0,0,0,50,30,26,
Veronica chamaedrys,51610,4,154,50,0,0,0,0,50,30,30,
Veronica chamaedrys,51610,5,153,50,0,0,0,0,50,30,28,
Veronica chamaedrys,51610,6,155,50,0,0,0,0,50,30,28,
Trifolium pratense,51875,1,131,50,0,0,3,0,47,30,28,
Trifolium pratense,51875,2,138,25,0,0,2,0,23,15,11,
Trifolium pratense,51875,3,144,4,0,0,2,0,2,2,2,
Trifolium pratense,51875,4,142,50,0,0,9,0,41,30,26,
Trifolium pratense,51875,5,158,10,0,0,3,0,7,7,6,
Trifolium pratense,51875,6,147,50,0,0,2,0,48,30,27,
Mimosa pudica,51921,1,80,7,0,0,7,0,0,0,0,
Mimosa pudica,51921,2,71,4,0,0,4,0,0,0,0,
Mimosa pudica,51921,3,103,38,0,0,2,0,36,30,24,
Mimosa pudica,51921,4,91,8,0,0,2,0,6,6,5,
Mimosa pudica,51921,5,65,9,0,0,2,0,7,7,6,
Mimosa pudica,51921,6,87,8,0,0,3,0,5,5,3,
Achillea millefolium,52821,1,5,47,0,0,3,0,44,30,26,
Achillea millefolium,52821,2,159,3,0,0,3,0,0,0,0,
Achillea millefolium,52821,3,35,50,0,0,1,0,49,30,29,
Achillea millefolium,52821,4,128,50,0,0,0,0,50,30,30,
Achillea millefolium,52821,5,151,22,0,0,3,0,19,19,17,
Achillea millefolium,52821,6,155,50,0,0,0,0,50,30,24,
Anaphalis margaritacea,52833,1,132,50,0,0,2,0,48,30,25,
Anaphalis margaritacea,52833,2,142,18,0,0,3,0,15,15,14,
Anaphalis margaritacea,52833,3,146,50,0,0,2,0,48,30,27,
Anaphalis margaritacea,52833,4,160,15,0,0,3,0,12,9,7,
Anaphalis margaritacea,52833,5,148,10,0,0,2,0,8,7,6,
Anaphalis margaritacea,52833,6,147,50,0,0,3,0,47,30,27,
Convolvulus arvensis,53021,1,130,50,0,0,0,0,50,30,29,
Convolvulus arvensis,53021,2,139,9,0,0,2,0,7,7,7,
Convolvulus arvensis,53021,3,136,50,0,0,1,0,49,30,29,
Convolvulus arvensis,53021,4,156,50,0,0,2,0,48,30,24,
Convolvulus arvensis,53021,5,158,13,0,0,2,0,11,11,9,
Convolvulus arvensis,53021,6,129,50,0,0,0,0,50,30,29,
Oxalis corniculata,53168,1,104,5,0,0,2,0,3,3,3,
Oxalis corniculata,53168,2,97,10,0,0,9,0,1,1,1,
Oxalis corniculata,53168,3,47,9,0,0,3,0,6,6,6,
Oxalis corniculata,53168,4,81,8,0,0,5,0,3,3,3,
Oxalis corniculata,53168,5,101,4,0,0,4,0,0,0,0,
Oxalis corniculata,53168,6,27,50,0,0,2,0,48,28,24,
Bellis perennis,55563,1,18,4,0,0,2,0,2,2,2,
Bellis perennis,55563,2,135,50,0,0,3,0,47,30,30,
Bellis perennis,55563,3,6,4,0,0,4,0,0,0,0,
Bellis perennis,55563,4,152,50,0,0,2,0,48,30,29,
Bellis perennis,55563,5,5,46,0,0,6,0,40,24,20,
Bellis perennis,55563,6,153,50,0,0,2,0,48,30,30,
Veronica persica,55666,1,76,4,0,0,3,0,1,1,1,
Veronica persica,55666,2,137,50,0,0,3,0,47,27,21,
Veronica persica,55666,3,142,32,0,0,5,0,27,24,21,
Veronica persica,55666,4,135,50,0,0,3,0,47,30,29,
Veronica persica,55666,5,136,50,0,0,0,0,50,30,27,
Veronica persica,55666,6,141,50,0,0,1,0,49,30,27,
Lathyrus tuberosus,55729,1,136,50,0,0,0,0,50,30,27,
Lathyrus tuberosus,55729,2,158,20,0,0,3,0,17,15,11,
Lathyrus tuberosus,55729,3,155,50,0,0,0,0,50,30,26,
Lathyrus tuberosus,55729,4,137,50,0,0,1,0,49,30,25,
Lathyrus tuberosus,55729,5,154,50,0,0,0,0,50,30,27,
Lathyrus tuberosus,55729,6,156,50,0,0,1,0,49,30,27,
Trifolium repens,55745,1,5,15,0,0,3,0,12,10,8,
Trifolium repens,55745,2,157,50,0,0,2,0,48,30,24,
Trifolium repens,55745,3,59,50,0,0,2,0,48,30,27,
Trifolium repens,55745,4,152,50,0,0,0,0,50,30,24,
Trifolium repens,55745,5,142,43,0,0,2,0,41,29,25,
Trifolium repens,55745,6,160,11,0,0,3,0,8,6,4,
Lamium purpureum,55851,1,142,40,0,0,5,0,35,30,26,
Lamium purpureum,55851,2,134,50,0,0,1,0,49,30,28,
Lamium purpureum,55851,3,131,50,0,0,2,0,48,30,29,
Lamium purpureum,55851,4,153,50,0,0,0,0,50,30,26,
Lamium purpureum,55851,5,141,50,0,0,1,0,49,30,26,
Lamium purpureum,55851,6,152,50,0,0,0,0,50,30,28,
Caltha palustris,56224,1,130,50,0,0,3,0,47,30,30,
Caltha palustris,56224,2,139,22,0,0,2,0,20,20,19,
Caltha palustris,56224,3,135,50,0,0,0,0,50,30,28,
Caltha palustris,56224,4,144,11,0,0,3,0,8,7,6,
Caltha palustris,56224,5,142,9,0,0,3,0,6,6,5,
Caltha palustris,56224,6,151,50,0,0,8,0,42,30,27,
Nicotiana glauca,58334,1,109,28,0,0,4,0,24,24,22,
Nicotiana glauca,58334,2,82,14,0,0,3,0,11,11,8,
Nicotiana glauca,58334,3,41,50,0,0,3,0,47,30,27,
Nicotiana glauca,58334,4,97,7,0,0,7,0,0,0,0,
Nicotiana glauca,58334,5,111,50,0,0,1,0,49,30,29,
Nicotiana glauca,58334,6,62,4,0,0,4,0,0,0,0,
Ipomoea pes-caprae,60879,1,95,50,0,0,2,0,48,30,28,
Ipomoea pes-caprae,60879,2,68,4,0,0,3,0,1,1,1,
Ipomoea pes-caprae,60879,3,37,2,0,0,2,0,0,0,0,
Ipomoea pes-caprae,60879,4,47,14,0,0,3,0,11,10,9,
Ipomoea pes-caprae,60879,5,61,35,0,0,2,0,33,26,23,
Ipomoea pes-caprae,60879,6,106,14,0,0,3,0,11,10,8,
Delonix regia,62839,1,106,18,0,0,2,0,16,14,12,
Delonix regia,62839,2,60,11,0,0,2,0,9,9,9,
Delonix regia,62839,3,65,25,0,0,3,0,22,20,18,
Delonix regia,62839,4,99,6,0,0,3,0,3,3,3,
Delonix regia,62839,5,103,21,0,0,2,0,19,13,11,
Delonix regia,62839,6,95,50,0,0,1,0,49,30,29,
Hibiscus tiliaceus,62868,1,66,2,0,0,2,0,0,0,0,
Hibiscus tiliaceus,62868,2,109,29,0,0,3,0,26,26,24,
Hibiscus tiliaceus,62868,3,71,5,0,0,5,0,0,0,0,
Hibiscus tiliaceus,62868,4,122,36,0,0,2,0,34,30,26,
Hibiscus tiliaceus,62868,5,37,4,0,0,4,0,0,0,0,
Hibiscus tiliaceus,62868,6,86,22,0,0,2,0,20,19,17,
Catharanthus roseus,62924,1,56,2,0,0,2,0,0,0,0,
Catharanthus roseus,62924,2,83,3,0,0,3,0,0,0,0,
Catharanthus roseus,62924,3,96,7,0,0,7,0,0,0,0,
Catharanthus roseus,62924,4,88,2,0,0,2,0,0,0,0,
Catharanthus roseus,62924,5,121,42,0,0,11,0,31,29,27,
Catharanthus roseus,62924,6,90,2,0,0,2,0,0,0,0,
Calotropis gigantea,67574,1,63,5,0,0,2,0,3,3,3,
Calotropis gigantea,67574,2,90,2,0,0,2,0,0,0,0,
Calotropis gigantea,67574,3,121,35,0,0,2,0,33,29,27,
Calotropis gigantea,67574,4,87,2,0,0,2,0,0,0,0,
Calotropis gigantea,67574,5,85,11,0,0,7,0,4,4,4,
Calotropis gigantea,67574,6,68,29,0,0,6,0,23,23,21,
Arctostaphylos uva-ursi,68049,1,159,9,0,0,5,0,4,2,1,
Arctostaphylos uva-ursi,68049,2,132,8,0,0,2,0,6,6,6,
Arctostaphylos uva-ursi,68049,3,146,50,0,0,0,0,50,30,24,
Arctostaphylos uva-ursi,68049,4,151,24,0,0,4,0,20,20,20,
Arctostaphylos uva-ursi,68049,5,145,50,0,0,2,0,48,30,26,
Arctostaphylos uva-ursi,68049,6,147,50,0,0,1,0,49,30,27,
Asclepias curassavica,75602,1,102,50,0,0,3,0,47,30,29,
Asclepias curassavica,75602,2,39,9,0,0,9,0,0,0,0,
Asclepias curassavica,75602,3,42,50,0,0,7,0,43,30,29,
Asclepias curassavica,75602,4,94,50,0,0,6,0,44,30,28,
Asclepias curassavica,75602,5,122,50,0,0,4,0,46,30,29,
Asclepias curassavica,75602,6,93,50,0,0,9,0,41,30,27,
Commelina benghalensis,76425,1,59,39,0,0,11,0,28,28,28,
Commelina benghalensis,76425,2,103,25,0,0,8,0,17,17,14,
Commelina benghalensis,76425,3,99,6,0,0,3,0,3,3,2,
Commelina benghalensis,76425,4,65,5,0,0,3,0,2,2,2,
Commelina benghalensis,76425,5,82,50,0,0,22,0,28,28,27,
Commelina benghalensis,76425,6,120,22,0,0,6,0,16,13,11,
Eclipta prostrata,76765,1,77,11,0,0,6,0,5,4,3,
Eclipta prostrata,76765,2,68,10,0,0,6,0,4,4,4,
Eclipta prostrata,76765,3,81,2,0,0,2,0,0,0,0,
Eclipta prostrata,76765,4,105,9,0,0,2,0,7,7,7,
Eclipta prostrata,76765,5,85,4,0,0,3,0,1,1,1,
Eclipta prostrata,76765,6,104,27,0,0,10,0,17,12,10,
Ipomoea cairica,77494,1,42,50,0,0,22,0,28,28,26,
Ipomoea cairica,77494,2,123,50,0,0,5,0,45,30,26,
Ipomoea cairica,77494,3,82,9,0,0,5,0,4,4,4,
Ipomoea cairica,77494,4,68,7,0,0,3,0,4,4,3,
Ipomoea cairica,77494,5,122,50,0,0,11,0,39,30,29,
Ipomoea cairica,77494,6,24,50,0,0,11,0,39,30,24,
Parnassia palustris,78352,1,139,18,0,0,2,0,16,13,11,
Parnassia palustris,78352,2,148,50,0,0,6,0,44,30,25,
Parnassia palustris,78352,3,153,50,0,0,0,0,50,30,27,
