species,inat_taxon_id,h7_fresh_records,h7_occupied_target_cells,h7_maximum_span_km,h7_unique_observers,h9_selected_from_metadata_only
Taraxacum officinale,47602,94,4,17745.75406432872,78,True
Lantana camara,50333,66,4,18898.285445136873,54,True
Veronica chamaedrys,51610,179,6,6000.233526090328,161,True
Trifolium pratense,51875,114,6,11095.93055096896,100,True
Achillea millefolium,52821,139,5,17849.8013575332,126,True
Anaphalis margaritacea,52833,121,6,10487.542684738562,104,True
Convolvulus arvensis,53021,138,6,11767.459362707794,126,True
Bellis perennis,55563,116,5,19568.213106714447,110,True
Veronica persica,55666,142,6,14785.876544994375,124,True
Lathyrus tuberosus,55729,165,6,5681.162561835858,140,True
Trifolium repens,55745,135,6,19075.84412858288,112,True
Lamium purpureum,55851,180,6,11780.552280471855,162,True
Caltha palustris,56224,123,6,10061.9825348448,115,True
Nicotiana glauca,58334,95,4,17710.048183502295,86,True
Ipomoea pes-caprae,60879,77,5,19711.698507597554,69,True
Delonix regia,62839,89,6,19466.40096276468,82,True
Hibiscus tiliaceus,62868,75,3,11578.031353269353,66,True
Arctostaphylos uva-ursi,68049,118,6,7618.798497737121,103,True
Asclepias curassavica,75602,150,5,19318.480196068318,142,True
Commelina benghalensis,76425,91,6,18899.107911900865,84,True
Ipomoea cairica,77494,126,6,19922.289624598554,111,True
Parnassia palustris,78352,128,5,9094.986284246568,110,True
Arundina graminifolia,117504,83,6,16817.81026327118,74,True
Calotropis procera,120917,94,4,18476.761561289535,83,True
Ruellia simplex,126633,73,3,19321.880618857227,68,True
Fritillaria camschatcensis,128770,114,6,6383.276219207397,98,True
Saxifraga oppositifolia,128880,131,6,7445.195769745662,105,True
Emilia fosbergii,129103,99,5,7761.823392432193,92,True
Cyanthillium cinereum,130374,81,4,5023.215291070361,67,True
Spathoglottis plicata,132672,74,5,16862.646467162704,57,True
Rubus chamaemorus,153003,140,6,9005.774170359073,115,True
Tridax procumbens,169944,78,4,19708.721711665847,70,True
Ficaria verna,204321,158,6,10933.33609491223,151,True
Turnera subulata,327909,103,4,19448.189350201457,99,True
Scaevola taccada,363481,75,3,16562.298839614807,67,True
Chamaenerion angustifolium,564969,153,6,12129.133581863272,140,True
Chamaenerion latifolium,564970,144,6,6725.359759992145,129,True
Bidens alba,1095846,120,6,17829.00178535697,111,True
