species,inat_taxon_id,after_observer_cap,maximum_span_km,selected_raw_photo_target
Ribes californicum,47129,167,792.1987842010188,100
Adenostoma fasciculatum,47146,183,1320.68555867221,100
Cornus canadensis,47192,177,9415.280193008495,100
Collinsia heterophylla,47325,166,3693.05132904814,100
Allium falcifolium,47356,178,627.0807098665132,100
Apocynum androsaemifolium,47359,193,4993.9391636468,100
Lewisia rediviva,47360,171,1771.664874524841,100
Spartium junceum,47406,190,19901.91097938311,100
Lotus corniculatus,47435,196,11185.0531507565,100
Albizia julibrissin,47443,196,13954.133392733494,100
Leucaena leucocephala,47447,188,19995.757841546947,100
Rubus spectabilis,47543,169,8823.756642871556,100
Nerium oleander,47563,190,19990.70539354444,100
Cypripedium acaule,47588,192,3112.520255389575,100
Chlorogalum pomeridianum,47597,180,963.049566110202,100
Taraxacum officinale,47602,178,19892.93498992761,100
Erodium cicutarium,47687,197,19647.052567164425,100
Sherardia arvensis,47691,167,20012.67115555048,100
Hesperis matronalis,47697,182,10322.080044843697,100
Geranium maculatum,47699,199,2266.310606229247,100
Geranium erianthum,47700,115,6164.919694131646,100
Acer negundo,47726,191,19924.96891671843,100
Oxalis oregana,47757,187,984.5411389825508,100
Iris pseudacorus,47779,196,19947.76501640916,100
Yucca brevifolia,47785,149,417.6080081599271,100
Yucca baccata,47788,167,1185.9856307186044,100
Quercus agrifolia,47850,182,917.3199456964666,100
Impatiens capensis,47888,198,7898.738614492741,100
Impatiens pallida,47891,191,2061.9579298373155,100
Impatiens glandulifera,47892,171,19371.015736912854,100
Opuntia humifusa,47894,153,12136.423884800704,100
Opuntia stricta,47898,175,19368.211893725944,100
Asclepias ovalifolia,47905,124,2069.8271440863773,100
Asclepias angustifolia,47908,127,2143.234394284796,100
Asclepias amplexicaulis,47910,187,2630.973118209457,100
Asclepias syriaca,47911,181,9105.440774564808,100
Asclepias tuberosa,47912,198,2969.408480867077,100
Platanthera psycodes,48030,174,3101.214820249054,100
Lobelia cardinalis,48038,197,4567.448857667039,100
Lysimachia terrestris,48062,171,4754.157205475335,100
Sagittaria latifolia,48070,152,10059.006953768096,100
Acer pensylvanicum,48095,185,1986.805780965626,100
Acer rubrum,48098,186,3560.677094843953,100
Cynoglossum officinale,48152,196,10674.47782578331,100
Couroupita guianensis,48163,179,19877.88813178726,100
Galinsoga parviflora,48178,166,19888.84599017927,100
Convallaria majalis,48206,200,9414.26724785052,100
Eschscholzia californica,48225,180,19082.803545067312,100
Acer macrophyllum,48227,178,1840.1264619606395,100
Ranunculus repens,48229,191,19719.11708727324,100
Erythronium americanum,48240,198,2394.8852732724795,100
Aquilegia formosa,48244,194,4183.255868803072,100
Acer circinatum,48258,158,811.0859694497574,100
Vaccinium ovatum,48349,192,2003.1483721920267,100
Vaccinium parvifolium,48354,120,2233.5030213157984,100
Tecoma stans,48363,175,19709.924258316714,100
Stenaria nigricans,48364,145,2482.070601665888,100
Antigonon leptopus,48380,169,19741.72718157039,100
Gaultheria shallon,48441,195,8754.896703406714,100
Aconitum delphiniifolium,48491,129,5123.226765436888,100
Cercis canadensis,48502,196,3114.5258839311664,100
Symphoricarpos albus,48523,193,10411.758106499308,100
Lysichiton americanus,48537,191,8585.031379529019,100
Cytisus scoparius,48538,176,19958.80911827064,100
Mycelis muralis,48543,190,19599.62566662371,100
Campanula trachelium,48588,191,8327.066267697317,100
Lithospermum canescens,48595,178,2705.118795386393,100
Phytolacca americana,48599,183,13653.009237728533,100
Echinocystis lobata,48618,188,9972.856731916405,100
Nepeta cataria,48622,184,19650.707612327024,100
Oenothera speciosa,48625,166,13486.971984727716,100
Echinacea purpurea,48627,189,8337.144685313318,100
Prunus americana,48629,186,2951.947478135258,100
Cosmos sulphureus,48651,186,19711.56446336816,100
Spiraea tomentosa,48682,186,2323.850184974444,100
Typha latifolia,48685,191,17993.027373895366,100
Liatris pycnostachya,48691,180,2047.8803845313869,100
Iris versicolor,48726,144,8039.809680004258,100
Sidalcea malviflora,48795,189,903.92146852851,100
Umbellularia californica,48807,173,1410.7928434540784,100
Heliotropium angiospermum,48895,153,8224.677990429884,100
Lilium kelleyanum,48927,183,446.10334838173736,100
Eriogonum ovalifolium,48938,161,1764.086833149189,100
Dicentra canadensis,48952,185,1659.9462573760895,100
Symplocarpus foetidus,48961,169,1930.9025250688417,100
Antirrhinum majus,48969,181,19812.705490873537,100
Dactylorhiza incarnata,48982,171,7574.778824335,100
Centaurea montana,48984,198,19280.073351741867,100
Scoliopus bigelovii,48990,166,512.3665422008768,100
Hymenoxys hoopesii,49037,142,1461.297604696331,100
Myosotis scorpioides,49130,178,18614.06734102107,100
Myosotis latifolia,49132,172,18410.16441355836,100
Castanea mollissima,49192,185,13710.80073838814,100
Callicarpa americana,49193,187,2234.034061502998,100
Amelanchier arborea,49226,200,4484.9178773309695,100
Podophyllum peltatum,49288,199,2408.9623606248647,100
Mesembryanthemum crystallinum,49319,177,18228.24513737815,100
Carpobrotus edulis,49322,186,19893.4136103149,100
Fouquieria splendens,49325,183,2206.256432759464,100
Atrichoseris platyphylla,49328,140,541.8626128705436,100
Encelia farinosa,49339,181,1582.0207075215624,100
Castilleja attenuata,49341,160,13165.000197482104,100
Castilleja coccinea,49342,185,2201.270607691848,100
Castilleja exserta,49343,172,1530.1308391546745,100
Phacelia crenulata,49345,171,1059.8436669004811,100
Cylindropuntia acanthocarpa,49354,134,598.176312204025,100
Cylindropuntia echinocarpa,49357,151,621.8426740371008,100
Carex pendula,49365,129,19660.328178196207,100
Kalmia latifolia,49397,197,2151.834321113138,100
Corallorhiza mertensiana,49444,192,2242.414699208476,100
Trillium ovatum,49463,194,1462.7809247176465,100
Sarcodes sanguinea,49472,193,1496.9335364146698,100
Corallorhiza maculata,49475,197,4911.161304131902,100
Monotropa uniflora,49477,195,4699.982359582828,100
Rhododendron catawbiense,49486,184,787.9957456327475,100
Lilium lancifolium,49524,179,18946.92332141147,100
Lupinus texensis,49564,195,1002.7170610134586,100
Lupinus subcarnosus,49565,162,775.9946607976905,100
Tillandsia usneoides,49569,160,15767.002339306631,100
Pedicularis densiflora,49645,176,1191.54168483358,100
Leucocrinum montanum,49647,172,1679.9865071368524,100
Toxicoscordion fremontii,49649,172,1317.8693466141387,100
Cardamine californica,49651,183,1462.627723696225,100
Ceanothus cuneatus,49673,179,1390.0480470212344,100
Rhododendron periclymenoides,49822,187,1813.0212870866253,100
Aquilegia canadensis,49868,197,3198.025903476994,100
Actaea rubra,49870,194,5518.439806999179,100
Sisyrinchium angustifolium,49916,194,9612.00439445553,100
Sisyrinchium bellum,49918,161,1533.289695528147,100
Castilleja affinis,50042,170,1096.3962764466596,100
Justicia californica,50150,173,1028.467684823178,100
Sphaeralcea ambigua,50153,190,1190.707395243003,100
Mohavea confertiflora,50155,179,566.8143638118584,100
Abronia villosa,50164,174,478.3277124590148,100
Phacelia campanularia,50171,194,2084.154463895892,100
Astragalus coccineus,50177,150,613.4427756371936,100
Cordyline australis,50191,149,12793.702705744456,100
Chaenactis fremontii,50198,163,414.20385181712027,100
Bidens bipinnata,50202,193,18822.302960805857,100
Bidens pilosa,50203,173,19738.4107709314,100
Maianthemum bifolium,50247,186,9243.995650503855,100
Fragaria vesca,50298,196,19775.49412063257,100
Arisaema triphyllum,50310,195,2165.26127589341,100
Dirca palustris,50312,178,2686.024263471986,100
Lathyrus vestitus,50320,167,942.9454248676903,100
Lantana camara,50333,125,19626.464932118542,100
Ludwigia peruviana,50338,158,19866.695815170504,100
Lupinus nanus,50612,163,1063.9747229169514,100
Lupinus bicolor,50614,188,2200.598586326469,100
Mirabilis jalapa,50616,184,19831.436034091705,100
Phacelia ramosissima,50617,188,1841.2239016234207,100
Fritillaria affinis,50618,191,1606.8247340790908,100
Ptelea trifoliata,50625,198,11238.644141842477,100
Erysimum capitatum,50628,187,4338.414978043415,100
Delphinium variegatum,50632,168,538.7991108758118,100
Solanum umbelliferum,50639,156,674.136544059417,100
Delphinium nudicaule,50642,178,560.1448656229962,100
Salvia mellifera,50643,180,762.6182757103196,100
Nemophila menziesii,50648,179,9213.645379942418,100
Cephalanthera austiniae,50706,183,1284.064836178011,100
Corallorhiza striata,50708,173,4146.514317312962,100
Corallorhiza trifida,50709,144,9714.584286022828,100
Cypripedium montanum,50712,135,1227.6260853812612,100
Cypripedium parviflorum,50713,182,4280.791303225885,100
Epipactis gigantea,50715,180,2316.9277831029503,100
Epipactis helleborine,50717,190,10622.50456002052,100
Goodyera oblongifolia,50719,182,5069.469789312582,100
Spiranthes romanzoffiana,50743,180,8102.6789109734655,100
Linaria vulgaris,50790,175,9719.642436253578,100
Wyethia amplexicaulis,50798,154,1538.583331408603,100
Lithophragma affine,50803,149,1210.6661728850834,100
Uropappus lindleyi,50806,176,1804.1457171512216,100
Scrophularia californica,50812,158,1555.6396255765192,100
Trillium chloropetalum,50823,184,910.9208364884591,100
Ribes speciosum,50824,166,836.2675869123758,100
Viola pedunculata,50825,166,801.5336406512944,100
Primula farinosa,50831,193,7982.897881566021,100
Gilia tricolor,50832,163,9173.828560046131,100
Calochortus tolmiei,50840,183,939.9172221813724,100
Sparaxis tricolor,50843,195,19861.90344172038,100
Cerastium arvense,50851,185,19911.07648232142,100
Iris douglasiana,50854,165,856.2526430781123,100
Trillium erectum,50855,180,1939.3364019086432,100
Scorpiurus muricatus,50856,101,5775.807046792603,100
Phacelia cicutaria,50857,175,974.6435185397946,100
Phacelia congesta,50858,135,9427.98133731877,100
Layia platyglossa,50876,189,9297.21920521815,100
Erigeron glaucus,50878,175,8879.032596984738,100
Asimina triloba,50897,197,1788.3943394594737,100
Lasthenia californica,50987,110,1214.3328326139454,100
Sanguinaria canadensis,51044,198,8087.27372843965,100
Arbutus menziesii,51046,193,1738.135687271376,100
Dicentra formosa,51048,172,3980.109562101003,100
Dicentra cucullaria,51053,200,4094.356749038803,100
Calochortus umbellatus,51054,173,71.35607116680336,100
Calochortus eurycarpus,51055,168,624.6771178114717,100
Maianthemum racemosum,51062,193,4973.933590983573,100
Prosartes hookeri,51071,183,1673.1221634236288,100
Calochortus luteus,51077,166,667.2779609391705,100
Calochortus superbus,51078,177,960.6783326914024,100
Toxicodendron diversilobum,51080,173,1721.673123965975,100
Quincula lobata,51082,166,1967.9028866809729,100
Triteleia laxa,51085,185,845.6601560637325,100
Clarkia purpurea,51087,183,1838.070900546576,100
Gilia achilleifolia,51098,131,1386.9499532937796,100
Nymphaea odorata,51119,185,17418.980257894083,100
Orontium aquaticum,51138,156,2133.658249554768,100
Crataegus monogyna,51147,198,19961.98452959717,100
Pedicularis canadensis,51227,200,3502.8633958737582,100
Justicia americana,51234,191,3175.531819849658,100
Asclepias californica,51272,178,747.6112553224143,100
Heuchera micrantha,51274,180,1581.4661237458488,100
Bellardia trixago,51286,196,18951.51541313469,100
Platystemon californicus,51288,180,1356.2920028242888,100
Linum usitatissimum,51306,144,19945.36089801066,100
Calochortus albus,51315,186,893.4869350193984,100
Galearis spectabilis,51432,190,1793.6721362287365,100
Cypripedium reginae,51434,185,1987.1768472076783,100
Trillium undulatum,51435,186,2150.219646266203,100
Passiflora edulis,51446,169,19954.82166133359,100
Passiflora foetida,51448,184,19654.50275479561,100
Passiflora mixta,51449,136,8010.18199383726,100
Passiflora lutea,51450,170,2297.076261808216,100
Passiflora incarnata,51453,186,2443.8921459156213,100
Passiflora caerulea,51454,154,19644.21491109103,100
Pittosporum undulatum,51594,188,19785.355108573072,100
Galanthus nivalis,51606,176,19356.802450822564,100
Arum cylindraceum,51608,142,2864.858702851879,100
Veronica chamaedrys,51610,192,9770.500673498596,100
Tiarella trifoliata,51643,183,3265.065686574309,100
Rubus parvifolius,51645,114,16976.888776558877,100
Rubus parviflorus,51646,179,8131.553628782583,100
Clintonia andrewsiana,51647,198,674.6534734099606,100
Tellima grandiflora,51655,154,9363.201315666232,100
Lupinus albifrons,51691,169,1362.965747368262,100
Polemonium caeruleum,51704,150,10631.66767759235,100
Bidens frondosa,51712,168,19864.65152394087,100
Bidens aristosa,51714,138,2182.2260610445933,100
Myosotis arvensis,51726,180,19967.38735160415,100
Clarkia unguiculata,51735,177,1563.8204108401264,100
Impatiens parviflora,51736,162,8958.472391713223,100
Solanum lycopersicum,51737,188,19973.432417039363,100
Aegopodium podagraria,51741,188,19124.12218112773,100
Ulex europaeus,51751,182,19996.536827413733,100
Brodiaea elegans,51752,173,1072.5001810714489,100
Phormium tenax,51754,115,19701.49972070936,100
Gaillardia pulchella,51768,189,13918.013442120848,100
Aquilegia vulgaris,51807,200,19914.28106595728,100
Lysimachia punctata,51808,198,9838.885131396792,100
Lysimachia nummularia,51809,193,9341.860144112285,100
Laburnum anagyroides,51810,191,19395.945766556822,100
Oenothera elata,51813,192,3174.204074734432,100
Circaea lutetiana,51843,169,4398.870274665903,100
Collinsia tinctoria,51850,133,636.3817438220738,100
Delphinium californicum,51858,153,147.82557518595996,100
Penstemon heterophyllus,51861,180,916.541192798158,100
Lonicera caprifolium,51873,130,3803.507467627164,100
Trifolium pratense,51875,188,19872.9799351072,100
Urtica dioica,51884,163,7093.318097130986,100
Dudleya farinosa,51889,109,608.3224427045421,100
Antennaria dioica,51893,177,9530.717901656246,100
Mimosa pudica,51921,160,19923.983739007137,100
Hamamelis virginiana,51970,164,3075.6322389108145,100
