species,inat_taxon_id,source_v1,source_v2
Ribes californicum,47129,True,False
Adenostoma fasciculatum,47146,True,True
Schoenoplectus californicus,47159,True,True
Cornus canadensis,47192,True,True
Lepidium nitidum,47202,True,False
Calypso bulbosa,47215,True,True
Collinsia concolor,47323,True,True
Collinsia heterophylla,47325,True,True
Allium falcifolium,47356,True,False
Apocynum androsaemifolium,47359,True,True
Lewisia rediviva,47360,True,True
Spartium junceum,47406,True,True
Lotus corniculatus,47435,True,True
Calliandra haematocephala,47441,True,True
Albizia julibrissin,47443,True,True
Acacia confusa,47444,True,True
Mimosa pigra,47445,True,True
Leucaena leucocephala,47447,True,True
Mimosa quadrivalvis,47448,True,True
Rubus spectabilis,47543,True,True
Nerium oleander,47563,True,True
Populus nigra,47565,False,True
Populus tremula,47571,True,True
Cypripedium acaule,47588,True,True
Chlorogalum pomeridianum,47597,False,True
Taraxacum officinale,47602,True,True
Erodium cicutarium,47687,True,True
Sherardia arvensis,47691,True,True
Hesperis matronalis,47697,True,True
Geranium maculatum,47699,True,True
Geranium erianthum,47700,True,True
Acer negundo,47726,True,True
Oxalis oregana,47757,True,True
Iris pseudacorus,47779,True,True
Yucca brevifolia,47785,True,True
Yucca baccata,47788,True,True
Koeberlinia spinosa,47845,True,False
Quercus agrifolia,47850,True,True
Impatiens capensis,47888,True,True
Impatiens pallida,47891,True,True
Impatiens glandulifera,47892,True,True
Opuntia humifusa,47894,True,True
Opuntia stricta,47898,True,True
Asclepias ovalifolia,47905,True,True
Asclepias angustifolia,47908,True,True
Asclepias amplexicaulis,47910,True,True
Asclepias syriaca,47911,True,True
Asclepias tuberosa,47912,True,True
Arctostaphylos auriculata,48023,True,False
Platanthera psycodes,48030,True,True
Lobelia cardinalis,48038,True,True
Lysimachia terrestris,48062,True,True
Sagittaria latifolia,48070,True,True
Acer pensylvanicum,48095,True,False
Acer rubrum,48098,True,True
Cynoglossum officinale,48152,True,True
Couroupita guianensis,48163,True,True
Galinsoga parviflora,48178,True,True
Convallaria majalis,48206,True,True
Clethra arborea,48208,True,True
Eschscholzia californica,48225,True,True
Acer macrophyllum,48227,True,False
Ranunculus repens,48229,True,True
Erythronium americanum,48240,True,True
Aquilegia formosa,48244,True,True
Acer circinatum,48258,True,False
Vaccinium ovatum,48349,True,False
Vaccinium parvifolium,48354,True,True
Tecoma stans,48363,True,True
Stenaria nigricans,48364,True,True
Tricyrtis hirta,48378,True,False
Antigonon leptopus,48380,True,True
Heuchera sanguinea,48384,True,True
Gaultheria shallon,48441,True,True
Zea mays,48448,True,True
Aconitum delphiniifolium,48491,True,True
Cercis canadensis,48502,True,True
Capsicum annuum,48514,True,True
Symphoricarpos albus,48523,True,True
Lysichiton americanus,48537,True,True
Cytisus scoparius,48538,True,True
Mycelis muralis,48543,True,True
Gompholobium scabrum,48546,True,True
Drymaria cordata,48556,True,True
Carex xerantica,48559,True,False
Sorbus sitchensis,48583,True,True
Campanula trachelium,48588,True,True
Allium cepa,48592,True,True
Lithospermum canescens,48595,True,False
Phytolacca bogotensis,48597,True,True
Phytolacca dodecandra,48598,True,True
Phytolacca americana,48599,True,True
Datura metel,48602,True,True
Echinocystis lobata,48618,True,True
Nepeta cataria,48622,True,True
Oenothera speciosa,48625,True,True
Echinacea purpurea,48627,True,True
Prunus americana,48629,True,False
Cosmos sulphureus,48651,True,True
Spiraea tomentosa,48682,True,True
Typha latifolia,48685,True,True
Setaria pumila,48688,True,True
Liatris pycnostachya,48691,True,True
Iris versicolor,48726,True,True
Sidalcea malviflora,48795,True,False
Umbellularia californica,48807,True,False
Cocos nucifera,48865,True,True
Mangifera indica,48872,True,True
Chrysophyllum cainito,48876,True,True
Miconia calvescens,48888,True,False
Heliotropium angiospermum,48895,True,True
Lilium kelleyanum,48927,True,True
Polemonium eximium,48931,True,True
Eriogonum ovalifolium,48938,True,True
Dicentra canadensis,48952,True,False
Symplocarpus foetidus,48961,True,False
Antirrhinum majus,48969,True,True
Dactylorhiza incarnata,48982,True,True
Centaurea montana,48984,True,True
Pedicularis ornithorhynchos,48986,False,True
Scoliopus bigelovii,48990,True,True
Scoliopus hallii,48991,True,False
Quercus rubra,49005,True,False
Hymenoxys hoopesii,49037,False,True
