species,inat_taxon_id,target_cell_order,cell_id,old_metadata_records,old_unique_observers,cell_center_latitude,cell_center_longitude,min_distance_to_previous_selected_km
Hibiscus tiliaceus,62868,1,66,2,2,-12.839588406904156,70.0,
Hibiscus tiliaceus,62868,2,109,3,3,26.387799961242997,-150.0,15585.083555301
Hibiscus tiliaceus,62868,3,71,5,5,-12.839588406904156,170.0,6141.147960911207
Hibiscus tiliaceus,62868,4,122,2,2,26.387799961242997,110.0,6141.147960911205
Hibiscus tiliaceus,62868,5,37,4,2,-26.387799961242997,-150.0,4430.030886734926
Hibiscus tiliaceus,62868,6,86,2,1,0.0,110.0,2934.1935338768317
Catharanthus roseus,62924,1,56,2,1,-12.839588406904156,-130.0,
Catharanthus roseus,62924,2,83,3,3,0.0,50.0,18587.415378964677
Catharanthus roseus,62924,3,96,7,5,12.839588406904143,-50.0,9268.839511047083
Catharanthus roseus,62924,4,88,2,2,0.0,150.0,8923.684563592482
Catharanthus roseus,62924,5,121,2,2,26.387799961242997,90.0,5189.227335127623
Catharanthus roseus,62924,6,90,2,2,12.839588406904143,-170.0,4634.419755523543
Calotropis gigantea,67574,1,63,2,2,-12.839588406904156,10.0,
Calotropis gigantea,67574,2,90,2,2,12.839588406904143,-170.0,20015.114442035923
Calotropis gigantea,67574,3,121,2,2,26.387799961242997,90.0,9670.372029868979
Calotropis gigantea,67574,4,87,2,2,0.0,130.0,5189.227335127623
Calotropis gigantea,67574,5,85,7,7,0.0,90.0,2934.1935338768317
Calotropis gigantea,67574,6,68,6,6,-12.839588406904156,110.0,2626.8465722308147
Arctostaphylos uva-ursi,68049,1,159,5,2,62.73395554926718,130.0,
Arctostaphylos uva-ursi,68049,2,132,2,2,41.81031489577858,-50.0,8390.305901942897
Arctostaphylos uva-ursi,68049,3,146,3,3,62.73395554926718,-130.0,4568.999419224063
Arctostaphylos uva-ursi,68049,4,151,4,4,62.73395554926718,-30.0,2669.9518314287116
Arctostaphylos uva-ursi,68049,5,145,2,2,62.73395554926718,-150.0,1014.7277199581262
Arctostaphylos uva-ursi,68049,6,147,3,3,62.73395554926718,-110.0,1014.7277199581262
Asclepias curassavica,75602,1,102,3,3,12.839588406904143,70.0,
Asclepias curassavica,75602,2,39,9,9,-26.387799961242997,-110.0,18508.619971230335
Asclepias curassavica,75602,3,42,5,5,-26.387799961242997,-50.0,5917.632118556732
Asclepias curassavica,75602,4,94,4,4,12.839588406904143,-90.0,4868.419301854908
Asclepias curassavica,75602,5,122,3,3,26.387799961242997,110.0,4430.030886734925
Asclepias curassavica,75602,6,93,3,3,12.839588406904143,-110.0,2167.745314850965
Commelina benghalensis,76425,1,59,3,3,-12.839588406904156,-70.0,
Commelina benghalensis,76425,2,103,3,3,12.839588406904143,90.0,17847.36912718496
Commelina benghalensis,76425,3,99,2,1,12.839588406904143,10.0,8630.562389643568
Commelina benghalensis,76425,4,65,2,2,-12.839588406904156,50.0,5253.69314446163
Commelina benghalensis,76425,5,82,10,10,0.0,30.0,2626.8465722308147
Commelina benghalensis,76425,6,120,2,1,26.387799961242997,70.0,2573.8185585508613
Eclipta prostrata,76765,1,77,2,2,0.0,-70.0,
Eclipta prostrata,76765,2,68,4,3,-12.839588406904156,110.0,18587.415378964677
Eclipta prostrata,76765,3,81,2,1,0.0,10.0,8895.606418682632
Eclipta prostrata,76765,4,105,2,2,12.839588406904143,130.0,3607.742154151096
Eclipta prostrata,76765,5,85,3,3,0.0,90.0,2626.8465722308147
Eclipta prostrata,76765,6,104,3,3,12.839588406904143,110.0,2167.745314850965
Ipomoea cairica,77494,1,42,3,3,-26.387799961242997,-50.0,
Ipomoea cairica,77494,2,123,3,3,26.387799961242997,130.0,20015.114442035923
Ipomoea cairica,77494,3,82,2,2,0.0,30.0,9012.473043495154
Ipomoea cairica,77494,4,68,2,1,-12.839588406904156,110.0,4868.419301854908
Ipomoea cairica,77494,5,122,3,3,26.387799961242997,110.0,1990.1683550456112
Ipomoea cairica,77494,6,24,2,2,-41.8103148957786,-50.0,1714.907785548548
Parnassia palustris,78352,1,139,2,2,41.81031489577858,90.0,
Parnassia palustris,78352,2,148,9,7,62.73395554926718,-90.0,8390.305901942897
Parnassia palustris,78352,3,153,2,2,62.73395554926718,10.0,4568.999419224063
Parnassia palustris,78352,4,144,8,8,62.73395554926718,-170.0,3808.676153282493
Parnassia palustris,78352,5,159,2,2,62.73395554926718,130.0,2944.8505061310448
Parnassia palustris,78352,6,146,4,3,62.73395554926718,-130.0,2004.7725461811929
Arundina graminifolia,117504,1,47,4,3,-26.387799961242997,50.0,
Arundina graminifolia,117504,2,109,2,2,26.387799961242997,-150.0,18024.946086990312
Arundina graminifolia,117504,3,87,2,2,0.0,130.0,9012.473043495154
Arundina graminifolia,117504,4,71,4,2,-12.839588406904156,170.0,4634.419755523541
Arundina graminifolia,117504,5,106,4,2,12.839588406904143,150.0,2626.8465722308147
Arundina graminifolia,117504,6,91,19,18,12.839588406904143,-150.0,1506.4944708055905
Calotropis procera,120917,1,108,2,2,26.387799961242997,-170.0,
Calotropis procera,120917,2,99,13,10,12.839588406904143,10.0,15653.221845087844
Calotropis procera,120917,3,113,2,2,26.387799961242997,-70.0,8394.892381301812
Calotropis procera,120917,4,69,3,3,-12.839588406904156,130.0,7811.3074562656475
Calotropis procera,120917,5,120,7,6,26.387799961242997,70.0,6407.5338856977705
Calotropis procera,120917,6,97,6,6,12.839588406904143,-30.0,4332.031811359731
Morinda citrifolia,121022,1,84,2,1,0.0,70.0,
Morinda citrifolia,121022,2,55,2,2,-12.839588406904156,-150.0,15380.694686512381
Morinda citrifolia,121022,3,106,3,3,12.839588406904143,150.0,7204.408687529314
Morinda citrifolia,121022,4,109,2,2,26.387799961242997,-150.0,4361.892596948078
Morinda citrifolia,121022,5,70,4,4,-12.839588406904156,150.0,2855.3981261424915
Morinda citrifolia,121022,6,91,3,3,12.839588406904143,-150.0,1506.4944708055905
Ruellia simplex,126633,1,86,4,4,0.0,110.0,
Ruellia simplex,126633,2,59,2,2,-12.839588406904156,-70.0,18587.415378964677
Ruellia simplex,126633,3,80,2,2,0.0,-10.0,6763.2999795563255
Ruellia simplex,126633,4,83,2,1,0.0,50.0,6671.704814011973
Ruellia simplex,126633,5,96,2,2,12.839588406904143,-50.0,3607.742154151096
Ruellia simplex,126633,6,95,2,2,12.839588406904143,-70.0,2167.745314850965
Fritillaria camschatcensis,128770,1,142,2,2,41.81031489577858,150.0,
Fritillaria camschatcensis,128770,2,146,9,8,62.73395554926718,-130.0,5483.691263562676
Fritillaria camschatcensis,128770,3,161,11,6,62.73395554926718,170.0,2669.9518314287116
Fritillaria camschatcensis,128770,4,144,6,6,62.73395554926718,-170.0,1014.7277199581262
Fritillaria camschatcensis,128770,5,145,13,13,62.73395554926718,-150.0,1014.7277199581262
Fritillaria camschatcensis,128770,6,160,11,9,62.73395554926718,150.0,1014.7277199581262
Saxifraga oppositifolia,128880,1,158,2,2,62.73395554926718,110.0,
Saxifraga oppositifolia,128880,2,149,9,9,62.73395554926718,-70.0,6063.700000700622
Saxifraga oppositifolia,128880,3,144,5,3,62.73395554926718,-170.0,3808.6761532824944
Saxifraga oppositifolia,128880,4,153,2,2,62.73395554926718,10.0,3808.676153282493
Saxifraga oppositifolia,128880,5,151,6,6,62.73395554926718,-30.0,2004.7725461811929
Saxifraga oppositifolia,128880,6,145,4,4,62.73395554926718,-150.0,1014.7277199581262
Emilia fosbergii,129103,1,91,3,3,12.839588406904143,-150.0,
Emilia fosbergii,129103,2,61,2,2,-12.839588406904156,-30.0,13526.599959112651
Emilia fosbergii,129103,3,94,2,2,12.839588406904143,-90.0,6488.514482923269
Emilia fosbergii,129103,4,42,2,2,-26.387799961242997,-50.0,2573.8185585508613
Emilia fosbergii,129103,5,95,2,2,12.839588406904143,-70.0,2167.745314850965
Emilia fosbergii,129103,6,60,2,2,-12.839588406904156,-50.0,1506.4944708055875
Cyanthillium cinereum,130374,1,80,2,2,0.0,-10.0,
Cyanthillium cinereum,130374,2,105,2,2,12.839588406904143,130.0,15380.694686512381
Cyanthillium cinereum,130374,3,66,5,4,-12.839588406904156,70.0,7204.408687529314
Cyanthillium cinereum,130374,4,68,3,3,-12.839588406904156,110.0,3607.742154151096
Cyanthillium cinereum,130374,5,103,3,3,12.839588406904143,90.0,3607.742154151096
Cyanthillium cinereum,130374,6,122,3,2,26.387799961242997,110.0,2573.8185585508613
Spathoglottis plicata,132672,1,47,2,2,-26.387799961242997,50.0,
Spathoglottis plicata,132672,2,109,2,2,26.387799961242997,-150.0,18024.946086990312
Spathoglottis plicata,132672,3,87,8,6,0.0,130.0,9012.473043495154
Spathoglottis plicata,132672,4,37,2,2,-26.387799961242997,-150.0,5868.387067753663
Spathoglottis plicata,132672,5,53,5,4,-26.387799961242997,170.0,3967.760338797995
Spathoglottis plicata,132672,6,106,2,2,12.839588406904143,150.0,2626.8465722308147
Gloriosa superba,141177,1,55,5,4,-12.839588406904156,-150.0,
Gloriosa superba,141177,2,100,2,2,12.839588406904143,30.0,20015.114442035923
Gloriosa superba,141177,3,85,12,11,0.0,90.0,6763.2999795563255
