tranche,species,n_classifiable,D,C_star,S_star,organization_state,maximum_pairwise_span_km,frag_100km,frag_250km,frag_500km,frag_multiscale,valid_dated_photos,eligible_local_dated_pairs,same_morph_local_dated_pairs,cross_morph_local_dated_pairs,phenology_proxy_gate,phenology_delta_days,phenology_within_species_perm_p
discovery,Andryala integrifolia,69,0.3713505566057551,True,False,local_cooccurrence_only,2745.997440745754,0.6521739130434783,0.1159420289855072,0.05797101449275366,0.2753623188405797,69,77,49,28,True,-2.0,0.827
discovery,Anemone pavonina,45,0.5748148148148149,True,False,local_cooccurrence_only,778.0023616345051,0.19999999999999996,0.0,0.0,0.06666666666666665,45,118,46,72,True,-0.5,0.978
discovery,Anemonoides blanda,52,0.3698224852071006,False,False,unresolved_photo_state,11506.667807104064,0.9807692307692307,0.75,0.6730769230769231,0.8012820512820514,52,0,0,0,False,,
discovery,Antennaria dioica,66,0.286042240587695,False,False,unresolved_photo_state,9541.666071896858,0.9848484848484849,0.8181818181818181,0.4545454545454546,0.7525252525252526,66,0,0,0,False,,
discovery,Aquilegia coerulea,44,0.5506198347107437,True,True,cooccurrence_and_segregation,726.8946063019035,0.13636363636363635,0.022727272727272707,0.0,0.05303030303030302,44,340,172,168,True,0.5,0.96
discovery,Asclepias incarnata,49,0.4398167430237402,False,True,spatial_segregation_only,4177.906849153718,0.9795918367346939,0.8775510204081632,0.1428571428571429,0.6666666666666666,49,0,0,0,False,,
discovery,Asclepias viridis,40,0.43875,False,False,unresolved_photo_state,2135.315885300296,0.825,0.22499999999999998,0.025000000000000022,0.3583333333333332,40,20,8,12,False,,
discovery,Astragalus glycyphyllos,42,0.4954648526077096,False,False,unresolved_photo_state,5375.708972399669,0.9285714285714286,0.40476190476190477,0.1428571428571429,0.4920634920634921,42,6,2,4,False,,
discovery,Bryonia alba,41,0.5425342058298632,False,True,spatial_segregation_only,9933.326919604016,0.8536585365853658,0.6585365853658536,0.5121951219512195,0.6747967479674797,41,25,12,13,False,,
discovery,Buddleja davidii,43,0.5959978366684695,False,False,unresolved_photo_state,19762.58990449456,0.9767441860465116,0.8837209302325582,0.6976744186046512,0.8527131782945737,43,0,0,0,False,,
discovery,Calochortus flexuosus,49,0.2190753852561433,True,False,local_cooccurrence_only,869.217557756213,0.34693877551020413,0.020408163265306145,0.0,0.12244897959183676,49,172,124,48,True,-1.0,0.961
discovery,Campanula latifolia,48,0.4418402777777778,True,False,local_cooccurrence_only,7326.042332386649,0.6875,0.625,0.375,0.5625,48,30,21,9,True,-4.0,0.301010101010101
discovery,Campanula patula,56,0.4470663265306123,False,False,unresolved_photo_state,4770.696564211329,0.9821428571428571,0.7857142857142857,0.0,0.5892857142857143,56,0,0,0,False,,
discovery,Carlina vulgaris,40,0.5275000000000001,False,False,unresolved_photo_state,3245.822338226187,0.925,0.875,0.19999999999999996,0.6666666666666666,40,10,6,4,False,,
discovery,Carthamus mitissimus,44,0.5805785123966942,True,False,local_cooccurrence_only,885.1148085320573,0.5,0.045454545454545414,0.0,0.1818181818181818,44,119,46,73,True,-0.5,0.977
discovery,Castilleja foliolosa,46,0.5207939508506616,True,False,local_cooccurrence_only,1015.7815993255003,0.3913043478260869,0.0,0.0,0.13043478260869565,46,186,101,85,True,-3.0,0.724
discovery,Centrosema virginianum,43,0.6489994591671173,False,False,unresolved_photo_state,7568.469772030969,0.9767441860465116,0.6511627906976745,0.3023255813953488,0.6434108527131782,43,0,0,0,False,,
discovery,Chaenorhinum origanifolium,49,0.5539358600583091,True,False,local_cooccurrence_only,1200.803628947098,0.22448979591836737,0.04081632653061229,0.0,0.08843537414965989,49,158,76,82,True,9.0,0.563
discovery,Chelone lyonii,49,0.4723032069970845,True,False,local_cooccurrence_only,1862.1456558996745,0.7142857142857143,0.4693877551020408,0.04081632653061229,0.40816326530612246,49,91,46,45,True,8.5,0.341
discovery,Chondrilla juncea,66,0.2355371900826446,False,False,unresolved_photo_state,18001.33592327313,0.9848484848484849,0.8636363636363636,0.696969696969697,0.8484848484848486,66,0,0,0,False,,
discovery,Cipura campanulata,54,0.1975308641975308,True,False,local_cooccurrence_only,3929.268832614044,0.7962962962962963,0.6111111111111112,0.01851851851851849,0.4753086419753087,54,81,63,18,True,19.5,0.5235655737704918
