image_id,file_name,image_sha256,detector_predictions,retained_instances,flip_detector_predictions,flip_retained_instances,true_positive,false_positive,false_negative,mask_pixels,mask_pixels_inside_reference_box_union,image_mask_pixels_inside_reference_box_union,background_pixels,flip_background_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,source_annotation_boxes,reference_boxes,source_not_evaluable_boxes,small_reference_boxes,medium_reference_boxes,large_reference_boxes,small_hit_boxes,medium_hit_boxes,large_hit_boxes,background_features_available,estimator_admitted,failure_reasons
29,000653.jpg,ef6e8ff903ca2c9373275e38e70cba3ce9fe76fa31d6f4d0ab784f7c0706eec3,54,54,50,50,42,12,8,129350,127356,0.9845844607653653,192400,186978,0.9002678430754687,0.20471731642326316,50,50,0,50,0,0,42,0,0,True,True,
30,000651.jpg,54df673e11692dc8bc31dd6d7636303ac5ef6ad897de6789dc2c63fe16050812,6,6,6,6,5,1,1,166854,154491,0.9259052824625121,305416,287721,0.8854131308619919,2.0156282868920656,6,6,0,0,6,0,0,5,0,True,True,
31,000650.jpg,f9e64b604c360ed483439fc30761d9a538ec86a39c69df8637f53812f64ee5b3,5,5,5,5,5,0,2,23681,23236,0.9812085638275411,41932,43911,0.9586718911115694,0.17658702477831814,7,7,0,7,0,0,5,0,0,True,True,
32,000647.jpg,ded3a54928d4a67e92edd1b6be05fa67d9f0a3277664644bbc4fab2a769d0661,2,2,1,1,2,0,1,3265,3111,0.952833078101072,5600,3741,0.6889966656562595,1.2557769002689123,3,3,0,3,0,0,2,0,0,True,True,
33,000646.jpg,75033b78c2e92d29c857206f9ea40871242abcbbcffb6d9ada1078c940b40119,1,1,1,1,1,0,0,798,798,1.0,1217,2566,0.0,54.605901623482474,1,1,0,1,0,0,1,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
34,000645.jpg,848441967f8822b378ced1aba2f91bc40728b000ac30b7d2c87bec7321dc25b5,18,18,20,20,14,4,1,88463,82112,0.9282072730972271,161217,168941,0.8868824889636325,0.4088741968911733,15,15,0,12,3,0,11,3,0,True,True,
35,000643.jpg,6c151f0297d6e6e884d93846729aebe01b71d54f449b4ed084d7da42a353c29a,29,29,30,30,24,5,0,148700,141759,0.9533221250840619,249546,258453,0.9392680910429638,0.34926777494339856,24,24,0,17,7,0,17,7,0,True,True,
36,000639.jpg,2333a995521a7d0b2683ea0eb0f062aaee8b25d93414bc75e11a125caf42eae7,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,,1,1,0,1,0,0,0,0,0,False,False,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability
37,000638.jpg,b4b4ae39fd38e44d4e39ec117ac6b7a616c510a42157cd1de8c232b4a1fd7198,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,,1,1,0,1,0,0,0,0,0,False,False,no_retained_flower_instance;insufficient_flower_pixels;insufficient_background_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability
38,000636.jpg,8aeadbd091d6d869841ffc8ffc3795d9c6e5a967d7e4e093e4d0172d84b7c871,5,5,5,5,3,2,0,7656,5644,0.7371995820271683,12234,11989,0.765728476821192,1.161098704392759,3,3,0,3,0,0,3,0,0,True,True,
39,000635.jpg,59126e43b4ce573e75e7c67df8f29dc326eed49b1a9ff00b62d95e917106229d,12,12,11,11,2,10,1,15743,5515,0.35031442545893415,21890,12142,0.3882722147963038,3.0007170658905964,3,3,0,3,0,0,2,0,0,True,False,horizontal_flip_mask_instability
40,000631.jpg,52d526e9b22a81589517eded7cc4a8c983f308100d5869c9e7c98f1518ab2cd6,11,11,10,10,7,4,1,44077,31557,0.7159516301018672,88979,79157,0.7176660333171314,0.943121705389757,8,8,0,8,0,0,7,0,0,True,True,
41,000630.jpg,b258e512de7e4fc99e252e9b21356a3420fc27fbad88bbd0e081f7f22cee277a,8,8,8,8,6,2,2,28013,21308,0.7606468425373933,55157,65196,0.6989991635660927,0.5738339624197826,8,8,0,8,0,0,6,0,0,True,True,
42,000629.jpg,09761cc6c813fdb36685b797fcc63217a412a530df055bc6f3298057c094161c,6,6,5,5,5,1,1,9548,9433,0.9879555927943025,23310,16736,0.6846020092735703,1.757599341964446,6,6,0,6,0,0,5,0,0,True,True,
43,000627.jpg,743edcc3a7fe0a07f6eba8a883e9e75784280fc95b262dfa986d7fea8a7f8d6f,3,3,3,3,3,0,0,5567,5456,0.9800610741871745,13965,12815,0.693950177935943,4.051004986162687,3,3,0,3,0,0,3,0,0,True,True,
44,000625.jpg,a2c562aee7668cad5c60640e886f234070de216e85417cc40c34aef69ba27ce2,13,13,10,10,9,4,2,19121,16982,0.8881334658229172,32735,32047,0.8930134299079523,0.9358480403229434,11,11,0,11,0,0,9,0,0,True,True,
45,000624.jpg,2dd921f1c725b3561719a7594aabc852a8eed166db89c9b292b7119d55656ef3,40,40,48,48,37,3,10,151455,149090,0.9843848007659041,255059,265422,0.8893085962408527,0.8417361144736467,47,47,0,44,3,0,35,2,0,True,True,
