image_id,file_name,image_sha256,detector_predictions,retained_instances,flip_detector_predictions,flip_retained_instances,true_positive,false_positive,false_negative,mask_pixels,mask_pixels_inside_reference_box_union,image_mask_pixels_inside_reference_box_union,background_pixels,flip_background_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,source_annotation_boxes,reference_boxes,source_not_evaluable_boxes,small_reference_boxes,medium_reference_boxes,large_reference_boxes,small_hit_boxes,medium_hit_boxes,large_hit_boxes,background_features_available,estimator_admitted,failure_reasons
93,000539.jpg,c2e14fe174bd3c64fe56d71a4fd95ee48fcb39ed2372a8724df8845d389e2ae7,1,1,1,1,0,1,10,6043,5823,0.963594241270892,13446,530,0.0,72.40457612850214,10,10,0,7,3,0,0,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
94,000537.jpg,72085d32c0e2be64721697a35fb251b71ee6542da1e65a9cbc322c90a5550ec7,11,11,10,10,10,1,0,30090,28876,0.9596543702226653,57992,51402,0.841932789307974,4.1785926160834945,10,10,0,9,1,0,9,1,0,True,True,
95,000535.jpg,5b309f8565f0df39d4555e14463fc9db341c439fd8ea06d39002ab6088f4f7bb,4,4,5,5,2,2,2,12754,6728,0.5275207777952015,21998,27233,0.8055769725006425,1.6133636767622808,4,4,0,4,0,0,2,0,0,True,True,
96,000533.jpg,55f4ec55cf67a33a395c504a70f1c2497d11823f87d724bed3d15be886edc77e,6,6,6,6,6,0,0,22469,21751,0.9680448618096044,38585,37648,0.9725737466378588,0.15765415789434323,6,6,0,6,0,0,6,0,0,True,True,
97,000531.jpg,16b458e156c5e2ae2cf4f128a746c08fb1408c57059aaf81eeadcb3889736850,9,9,8,8,6,3,6,13270,11825,0.8911077618688772,25963,16162,0.5717610550814585,4.939569242165633,12,12,0,12,0,0,6,0,0,True,True,
98,000530.jpg,35a31c9c7196731bde2df7a7ab43d6df2d44033b94e614ab0d2529f813fa691b,12,12,14,14,9,3,4,9709,8372,0.8622927180966113,16106,19061,0.8017019082001031,0.8714214894126966,13,13,0,13,0,0,9,0,0,True,True,
99,000528.jpg,7a4c62196114b520f3e017f210c91f77ad688bf7d47f65caa744193388b8d434,12,12,11,11,8,4,0,122653,106355,0.8671210651186682,217293,212503,0.9016435986159169,0.5844130149685077,8,8,0,3,5,0,3,5,0,True,True,
100,000526.jpg,7834cca42255f5644ff2853b7896f5712e2b9b58843c54c5da5bb5b2e89b38e1,8,8,7,7,5,3,2,53872,41534,0.7709756459756459,113453,104880,0.8202477113624125,0.7154629069657147,7,7,0,5,2,0,4,1,0,True,True,
101,000525.jpg,dfb5a8a50fc36939909ee69e0536288ec1c55fb6de8f1e22336005b98a5c45e8,5,5,5,5,5,0,0,5455,5386,0.9873510540788267,9787,9617,0.9561952440550688,0.5094743488669428,5,5,0,5,0,0,5,0,0,True,True,
102,000523.jpg,24a5d4c4c65a597367da47015dad693962176fc9b68699b6ed31f264828d6708,1,1,1,1,1,0,0,586,546,0.931740614334471,904,960,0.9595959595959596,0.7268140688358746,1,1,0,1,0,0,1,0,0,True,True,
103,000522.jpg,94191710f30d1259e3a72545c89b96c94de13c2db4f8513695e2f72b8f5db4a8,10,10,10,10,6,4,0,36869,22085,0.5990127207138789,64739,42201,0.6112918403011157,19.69057250278225,6,6,0,5,1,0,5,1,0,True,False,horizontal_flip_colour_instability
104,000519.jpg,b0f7ae7bcf6de3cd72bc3a794664e883d2689d99635f63d90de17d138385de12,33,33,33,33,25,8,1,128315,104226,0.8122666874488563,213718,193020,0.8352778297474275,0.574438115791087,26,26,0,23,3,0,22,3,0,True,True,
105,000518.jpg,7acfd511870294060de6f142ef4e988c3c136bce32d1f7a3360fe9396b7b9b81,14,14,14,14,10,4,0,19129,15740,0.8228344398557165,31914,30744,0.8992467519336738,0.9515308134434696,10,10,0,10,0,0,10,0,0,True,True,
106,000516.jpg,52eefdd2247d3eb3cfe60fbda8b495979e3fca2fca26cdce52c1c66a92a8fc89,9,9,9,9,7,2,1,22077,21370,0.96797572133895,44008,44693,0.9596572652624062,0.23190977342901178,8,8,0,6,2,0,5,2,0,True,True,
107,000512.jpg,c3054b3387660446f02bdfcc7f450e2eab37b0c7688a76797d6879cf2d2841ae,32,32,34,34,22,10,11,57684,53127,0.9210006240898689,111509,118526,0.8120494493696125,0.7546127837595737,33,33,0,31,2,0,20,2,0,True,True,
108,000511.jpg,abaa3e495718ba565d5f33af7537d0eac3da91b263cf2378bcedd92390b43016,18,18,17,17,13,5,3,20164,17980,0.8916881571116841,38742,37862,0.8334936558105447,0.4733938052858263,16,16,0,16,0,0,13,0,0,True,True,
109,000510.jpg,57ce3bf1eacf6f836a04f72bd43e3c6de41c369ae19a002d4ad7ecfbd435eddb,1,1,2,2,1,0,4,1035,843,0.8144927536231884,2421,3879,0.4727859778597786,26.670244312480847,5,5,0,5,0,0,1,0,0,True,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability
110,000509.jpg,3fbdba7bd2496660908840b7005767e16460785799047bf27681ef7e74d2449d,7,7,6,6,5,2,0,6531,4997,0.7651201959883632,11018,10749,0.9242035331420806,0.4507700595774242,5,5,0,5,0,0,5,0,0,True,True,
111,000507.jpg,d3570f0e490a89e9f740c10f1d5f5ce270deed1ae36a5b0595b547abce352c91,2,2,1,1,1,1,0,10569,10569,1.0,32864,32962,0.9474473067915691,0.5143117905578832,1,1,0,0,1,0,0,1,0,True,True,
