mode,n_main_map_cells,n_cells_Rsign_ge_0_8,n_cells_Rsign_ge_0_9,n_cells_excess_Rsign_ge_0_1,max_obs_Rsign,max_Rsign_excess
M1,38,10,2,27,1.0,0.4650000000000001
M2,38,10,3,24,0.94,0.43005181347150256
M3,38,11,5,30,0.965,0.42999999999999994
M4,38,9,0,29,0.89,0.365
M5,38,7,3,20,0.9792746113989638,0.43999999999999995
