rx,ry,mode,obs_R_sign,obs_P_positive,obs_direction,R_sign_excess_over_null,support_reps,D_P_positive,D_R_sign,F_P_positive,F_R_sign,B_P_positive,B_R_sign,D_median,F_median,B_median,x_center_m,y_center_m,lon,lat
-24,10,M1,0.895,0.895,positive,0.36,200,0.895,0.895,0.835,0.835,0.205,0.795,0.019453764877065,0.0092337500659864,-0.0100571693954252,-11750000.0,5250000.0,-121.77897178175053,45.77486550687422
-24,11,M1,0.815,0.815,positive,0.3149999999999999,200,0.815,0.815,0.825,0.825,0.425,0.575,0.0210944508780315,0.0158615524850921,-0.0058391222722612,-11750000.0,5750000.0,-121.77897178175053,51.67393691614793
-23,11,M1,0.87,0.13,negative,0.3,200,0.13,0.87,0.165,0.835,0.705,0.705,-0.0250257428371835,-0.0148552267071515,0.0093395542218751,-11250000.0,5750000.0,-116.59688787614412,51.67393691614793
-16,6,M1,0.845,0.155,negative,0.3149999999999999,200,0.155,0.845,0.065,0.935,0.525,0.525,-0.0278627967365217,-0.0281029121444319,0.0025553081586494,-7750000.0,3250000.0,-80.32230053689929,26.374758638190993
-23,11,M2,0.82,0.82,positive,0.3049999999999999,200,0.82,0.82,0.95,0.95,0.7,0.7,0.0178437229251517,0.0259252657642993,0.0084069100810259,-11250000.0,5750000.0,-116.59688787614412,51.67393691614793
-19,8,M2,0.8494623655913979,0.8494623655913979,positive,0.3172043010752688,186,0.8494623655913979,0.8494623655913979,0.8602150537634409,0.8602150537634409,0.4032258064516129,0.5967741935483871,0.0222325463125929,0.0204097036679523,-0.0036520786780185,-9250000.0,4250000.0,-95.8685522537185,35.49043886821187
-16,6,M2,0.94,0.94,positive,0.4199999999999999,200,0.94,0.94,0.965,0.965,0.39,0.61,0.0355292295203995,0.0316808112685597,-0.0049178230562708,-7750000.0,3250000.0,-80.32230053689929,26.374758638190993
-16,10,M2,0.8212290502793296,0.1787709497206704,negative,0.2737430167597765,179,0.1787709497206704,0.8212290502793296,0.1899441340782122,0.8100558659217877,0.547486033519553,0.547486033519553,-0.0220999459755315,-0.0214269684749966,0.0022652146618676,-7750000.0,5250000.0,-80.32230053689929,45.77486550687422
28,-9,M2,0.91,0.09,negative,0.4,200,0.09,0.91,0.12,0.88,0.555,0.555,-0.0216498769694951,-0.0213450668418729,0.0013982735080358,14250000.0,-4250000.0,147.68939130978254,-35.49043886821187
-24,8,M3,0.965,0.035,negative,0.3949999999999999,200,0.035,0.965,0.075,0.925,0.855,0.855,-0.0204575352870661,-0.0090368644469885,0.0130465527551661,-11750000.0,4250000.0,-121.77897178175053,35.49043886821187
-24,9,M3,0.905,0.905,positive,0.39,200,0.905,0.905,0.845,0.845,0.185,0.815,0.0167976809290973,0.0070623091746325,-0.0107737879502059,-11750000.0,4750000.0,-121.77897178175053,40.43810249164487
-22,8,M3,0.8756476683937824,0.1243523316062176,negative,0.3523316062176165,193,0.1243523316062176,0.8756476683937824,0.0880829015544041,0.911917098445596,0.7512953367875648,0.7512953367875648,-0.0247177054772435,-0.0117916787072193,0.0141861335813777,-10750000.0,4250000.0,-111.41480397053772,35.49043886821187
29,-8,M3,0.807909604519774,0.807909604519774,positive,0.2937853107344632,177,0.807909604519774,0.807909604519774,0.943502824858757,0.943502824858757,0.3559322033898305,0.6440677966101696,0.0308742967616356,0.0150694658332169,-0.013140657324111,14750000.0,-3750000.0,152.87147521538895,-30.82621025898301
