species,inat_taxon_id,observation_id,photo_id,status,photo_url_large,photo_license,attribution
Caltha introloba,400312,147261418,253367174,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/253367174/large.jpeg,cc-by-nc,"(c) Rohan, some rights reserved (CC BY-NC)"
Exhalimolobos palmeri,1200740,53081645,84410948,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/84410948/large.jpeg,cc-by-nc,"(c) Kevin Meza, some rights reserved (CC BY-NC)"
Aspidistra punctata,706782,266179829,505043460,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/505043460/large.jpg,cc0,no rights reserved
Dicliptera effusa,191475,1501786,1860054,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/1860054/large.jpg,cc-by,"(c) Morten Ross, some rights reserved (CC BY)"
Dioscorea alata,161930,143515378,246137878,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/246137878/large.jpeg,cc-by-nc,"(c) gena of Jesus, some rights reserved (CC BY-NC)"
Tibetia himalaica,506491,121648968,205876849,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/205876849/large.jpg,cc0,no rights reserved
Stenocereus gummosus,274261,376557379,688505730,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/688505730/large.jpg,cc-by-nc,"(c) raytonatiuh, some rights reserved (CC BY-NC)"
Pycnanthemum tenuifolium,126891,86664577,142803210,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/142803210/large.jpg,cc-by,"(c) Alex Abair, some rights reserved (CC BY)"
Cassia swartzioides,1677429,15959574,23885879,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/23885879/large.jpeg,cc-by-nc,"(c) Marcel Carita Vaz, some rights reserved (CC BY-NC)"
Leucospermum calligerum,460162,304477796,548892005,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/548892005/large.jpg,cc-by-nc,"(c) Heather and Andrew Hodgson, some rights reserved (CC BY-NC)"
Begonia maculata,284651,252786276,452557376,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/452557376/large.jpeg,cc-by-nc,"(c) Juliana A. de Oliveira, some rights reserved (CC BY-NC)"
Besleria vestita,638472,248368169,443761043,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/443761043/large.jpeg,cc-by-nc,"(c) Daniel S. Cooper, some rights reserved (CC BY-NC)"
Turraea sericea,476030,2205778,2544969,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/2544969/large.JPG,cc-by-nc,"(c) Franck Rakotonasolo, some rights reserved (CC BY-NC)"
Grevillea laurifolia,795625,329818112,597932119,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/597932119/large.jpg,cc-by-nc,"(c) Marita Sydes, some rights reserved (CC BY-NC)"
Angraecum costatum,631292,332995309,604455772,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/604455772/large.jpg,cc-by-nc,"(c) Karen Andrea Boehme, some rights reserved (CC BY-NC)"
Cleome pallida,1603872,150547832,259617448,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/259617448/large.jpeg,cc-by-nc,"(c) Radha Veach, some rights reserved (CC BY-NC)"
Eurybia eryngiifolia,162880,123966019,216006155,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/216006155/large.jpg,cc-by-nc,"(c) Mary Barnett, some rights reserved (CC BY-NC)"
Elsholtzia blanda,966952,19751923,30434683,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/30434683/large.jpg,cc-by,"(c) Matt Berger, some rights reserved (CC BY)"
Cautleya gracilis,550602,20378041,31470469,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/31470469/large.jpeg,cc-by-nc,"(c) Elizabeth Byers, some rights reserved (CC BY-NC)"
Cucumis sativus,54919,185388725,323773704,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/323773704/large.jpg,cc-by-nc,"(c) Rujuta Vinod, some rights reserved (CC BY-NC)"
Pitcairnia kniphofioides,846813,392813657,719926987,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/719926987/large.jpg,cc-by-nc,"(c) schaeferross82, some rights reserved (CC BY-NC)"
Justicia grandifolia,1658656,329389479,597067731,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/597067731/large.jpg,cc-by-nc,"(c) NaturemanThaimountain, some rights reserved (CC BY-NC)"
Psoralea affinis,568637,99380811,165594693,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/165594693/large.jpeg,cc-by-nc,"(c) MB, some rights reserved (CC BY-NC)"
Columnea ceticeps,805241,119340611,201724224,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/201724224/large.jpg,cc-by,"(c) desertnaturalist, some rights reserved (CC BY)"
Aubrieta deltoidea,75721,342467824,623657117,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/623657117/large.jpg,cc-by-nc,"(c) lymantriman, some rights reserved (CC BY-NC)"
Alisma triviale,61167,32313360,50668328,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/50668328/large.jpg,cc-by-nc,"(c) hobiecat, some rights reserved (CC BY-NC)"
Cyrtochilum midas,826643,260686974,468199696,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/468199696/large.jpeg,cc-by-nc,"(c) Apipa, some rights reserved (CC BY-NC)"
Oenothera biennis,62207,388838832,712200323,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/712200323/large.jpg,cc-by-nc,"(c) SMigabo, some rights reserved (CC BY-NC)"
Cypripedium acaule,47588,292792983,526936939,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/526936939/large.jpg,cc-by-nc,"(c) Justin Chan, some rights reserved (CC BY-NC)"
Rosa nitida,155003,129877562,220778861,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/220778861/large.jpg,cc-by-nc,"(c) Gis, some rights reserved (CC BY-NC)"
Eremurus czatkalicus,871332,37094503,58749353,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/58749353/large.jpeg,cc-by-nc,"(c) Aleksandr Naumenko, some rights reserved (CC BY-NC)"
Allium platystemon,1677582,100640499,167999816,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/167999816/large.jpeg,cc-by-nc,"(c) Наталья Бешко, some rights reserved (CC BY-NC)"
Psittacanthus eucalyptifolius,850092,84360326,138640852,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/138640852/large.jpeg,cc-by-nc,"(c) Lucas C. Marinho, some rights reserved (CC BY-NC)"
Colutea arborescens,76422,374289081,684113083,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/684113083/large.jpg,cc-by-nc,"(c) nicandra711ph, some rights reserved (CC BY-NC)"
Psychotria viridis,287466,194045354,340973528,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/340973528/large.jpeg,cc-by-nc,"(c) Asael Bonfada, some rights reserved (CC BY-NC)"
Mellera menthiodora,1669475,33718244,52982001,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/52982001/large.jpg,cc0,no rights reserved
Salvia tubiflora,748581,146439287,251754380,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/251754380/large.jpeg,cc-by,"(c) Paúl Gonzáles, some rights reserved (CC BY)"
Utricularia flaccida,1044041,305542906,550896804,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/550896804/large.jpg,cc-by-nc,"(c) Juliana A. de Oliveira, some rights reserved (CC BY-NC)"
Ilex canariensis,193676,26103917,40504305,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/40504305/large.jpeg,cc-by-nc,"(c) Daniel Suárez, some rights reserved (CC BY-NC)"
Philenoptera nelsii,546325,135809585,231686879,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/231686879/large.jpeg,cc-by-sa,"(c) Tony Rebelo, some rights reserved (CC BY-SA)"
Lagopsis darwiniana,919523,70839609,115236510,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/115236510/large.jpeg,cc-by-nc,"(c) David Thomas, some rights reserved (CC BY-NC)"
Spiraea trilobata,169256,48116864,76332196,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/76332196/large.jpg,cc-by-nc,"(c) Irina Krug, some rights reserved (CC BY-NC)"
Sparrmannia ricinocarpa,594625,280726628,504219121,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/504219121/large.jpeg,cc-by-sa,"(c) Tony Rebelo, some rights reserved (CC BY-SA)"
Dienia ophrydis,427505,262487097,471533089,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/471533089/large.jpeg,cc-by-nc,"(c) 吳友誠, some rights reserved (CC BY-NC)"
Linum baicalense,847946,371466968,678684011,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/678684011/large.jpg,cc-by,"(c) Urgamal Magsar, some rights reserved (CC BY)"
Vincetoxicum rossicum,632667,385735093,706192026,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/706192026/large.jpg,cc-by,"(c) Наталья Пикалова, some rights reserved (CC BY)"
Allium commutatum,339913,385194262,705180293,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/705180293/large.jpg,cc-by-nc,"(c) David Peterson, some rights reserved (CC BY-NC)"
Senecio aquilaris,1410292,348593266,635775313,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/635775313/large.jpg,cc-by-nc,"(c) Miguel Angel Luza Victorio, some rights reserved (CC BY-NC)"
Baccharoides adoensis,340393,111119453,187544633,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/187544633/large.jpeg,cc-by-nc,"(c) Oscar Blanco, some rights reserved (CC BY-NC)"
Cotyledon adscendens,582851,252410804,451844141,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/451844141/large.jpeg,cc-by-nc,"(c) Sibahle Precious Gumede, some rights reserved (CC BY-NC)"
Acacia ampliceps,243731,374212728,683964199,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/683964199/large.jpg,cc-by-nc,"(c) X Benohag, some rights reserved (CC BY-NC)"
Calceolaria fothergillii,190064,102773944,171871904,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/171871904/large.jpg,cc-by-nc,"(c) aeb95f, some rights reserved (CC BY-NC)"
Delphinium cultorum,1111696,176691975,307218278,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/307218278/large.jpeg,cc-by-nc,"(c) Addy, some rights reserved (CC BY-NC)"
Passiflora xiikzodz,278293,331152277,600666818,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/600666818/large.jpg,cc-by,"(c) Ricard Busquets Reverte, some rights reserved (CC BY)"
Lomatium dasycarpum,56825,264144799,474627447,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/474627447/large.jpeg,cc-by-nc,"(c) Gina Genduso, some rights reserved (CC BY-NC)"
Capparis spinosa,67715,391684453,717735819,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/717735819/large.jpg,cc-by-nc,"(c) Manolo, some rights reserved (CC BY-NC)"
Mesembryanthemum junceum,589842,204263386,360989519,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/360989519/large.jpeg,cc-by-nc,"(c) Felix Riegel, some rights reserved (CC BY-NC)"
Olearia grandiflora,701015,300242401,540957445,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/540957445/large.jpg,cc-by-nc,"(c) rikkilovell, some rights reserved (CC BY-NC)"
Lupinus sparsiflorus,64513,33492576,52600835,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/52600835/large.jpeg,cc-by,"(c) Matt Berger, some rights reserved (CC BY)"
Vaccinium consanguineum,194332,256560370,460023613,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/460023613/large.jpeg,cc-by-nc,"(c) Curtis Mahon, some rights reserved (CC BY-NC)"
Roepera billardierei,778950,247863028,442771308,resolved,https://inaturalist-open-data.s3.amazonaws.com/photos/442771308/large.jpeg,cc-by-nc-sa,"(c) Arthur Chapman, some rights reserved (CC BY-NC-SA)"
