scope,contrast,metric,n_species,mean_effect_sd,median_effect_sd,bootstrap_ci_low,bootstrap_ci_high,positive_species,negative_species,sign_p,sign_p_holm
outside_tropics,white_vs_anthocyanic,summer_index,137,0.10734202920800709,0.18394569612365919,0.03071288611868682,0.18301216141945703,84,53,0.0101141700218243,0.0101141700218243
hemisphere_N,white_vs_anthocyanic,summer_index,117,0.0707207120565931,0.12106679602814202,-0.015860395080977443,0.15577387888467203,66,51,0.19534905940457842,0.19534905940457842
hemisphere_S,white_vs_anthocyanic,summer_index,31,0.2221412948599737,0.2879109413813075,0.09189619826886174,0.3486940231520212,23,8,0.010673840530216694,0.010673840530216694
outside_tropics,white_vs_all_nonwhite,summer_index,263,0.07409724065433361,0.08742788616495258,0.019364517434876258,0.12896910690231264,152,111,0.01349205595579818,0.01349205595579818
hemisphere_N,white_vs_all_nonwhite,summer_index,229,0.0656075423977263,0.11121208787383106,0.004079706164260022,0.12577181499641862,131,98,0.03423381228214204,0.03423381228214204
hemisphere_S,white_vs_all_nonwhite,summer_index,51,0.11883251214039156,0.034491910833277316,0.00847420327493,0.2316290819524509,31,20,0.16077960181198847,0.16077960181198847
outside_tropics,white_vs_yellow_orange,summer_index,134,0.036285674661541124,0.04131710043394074,-0.04747011645369742,0.12167691147643084,72,62,0.4369905490859725,0.4369905490859725
hemisphere_N,white_vs_yellow_orange,summer_index,116,0.02985334580956057,0.012580477055848107,-0.0596631583591509,0.12098292693625073,60,56,0.7807391284762681,0.7807391284762681
hemisphere_S,white_vs_yellow_orange,summer_index,20,0.014303591607596066,-0.007054479385167569,-0.20033603557042687,0.2372142729968195,10,10,1.0,1.0
