contrast,metric,n_species,mean_effect_sd,median_effect_sd,bootstrap_ci_low,bootstrap_ci_high,positive_species,negative_species,sign_p,sign_p_holm
white_vs_anthocyanic,abs_lat,152,-0.015482605220626949,-0.01865429535182446,-0.08984243054655636,0.05628519161161362,73,79,0.6852087510703433,0.6852087510703433
white_vs_anthocyanic,summer_index,152,0.10302349750364809,0.12976131281085715,0.029737252839024245,0.17257609015332348,93,59,0.00723454262172994,0.01446908524345988
white_vs_all_nonwhite,abs_lat,281,0.0191115427738452,0.03786593040789103,-0.028712834832561585,0.06893614412281864,148,133,0.40366488978299797,0.40366488978299797
white_vs_all_nonwhite,summer_index,281,0.06910586068234302,0.08742788616495258,0.018055579915171496,0.12052389732772545,163,118,0.008552468514409464,0.017104937028818927
white_vs_yellow_orange,abs_lat,139,0.06022703861797231,0.05771487151412131,-0.013974317701162368,0.13503282750110948,79,60,0.12652294497263625,0.2530458899452725
white_vs_yellow_orange,summer_index,139,0.02707912252974249,0.026986737883702,-0.05302421456133497,0.108536173078911,73,66,0.610973689956024,0.610973689956024
