epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,281.336,1.8558,3.52529,1.23597,0,0,0,0,0,0,0,0.00033,0.00033,0.06733
2,552.199,1.68446,2.80894,1.11228,0,0,0,0,0,0,0,0.000650199,0.000650199,0.0343169
3,817.918,1.58788,2.04707,1.13004,0,0,0,0,0,0,0,0.000957199,0.000957199,0.00129053
4,1083.66,1.54125,1.85802,1.09157,0,0,0,0,0,0,0,0.0009406,0.0009406,0.0009406
5,1350.86,1.53883,1.71942,1.06634,0,0,0,0,0,0,0,0.0009208,0.0009208,0.0009208
6,1631.27,1.53556,1.62297,1.05361,0,0,0,0,0,0,0,0.000901,0.000901,0.000901
7,1920.91,1.49199,1.50775,1.04535,0,0,0,0,0,0,0,0.0008812,0.0008812,0.0008812
8,2213.06,1.49759,1.46029,1.03833,0,0,0,0,0,0,0,0.0008614,0.0008614,0.0008614
9,2481.2,1.46686,1.41198,1.05171,0,0,0,0,0,0,0,0.0008416,0.0008416,0.0008416
10,2766.19,1.44913,1.37673,1.03116,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
11,3042.62,1.47116,1.34538,1.03697,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
12,3354.27,1.46395,1.30018,1.02855,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
13,3642.46,1.47036,1.28199,1.01535,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
14,3906.86,1.438,1.26523,1.01601,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
15,4195.01,1.43607,1.19851,1.0109,0,0,0,0,0,0,0,0.0007228,0.0007228,0.0007228
16,4501.12,1.44033,1.2232,1.02002,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
17,4803.98,1.44133,1.2073,1.01677,0,0,0,0,0,0,0,0.0006832,0.0006832,0.0006832
18,5089.16,1.44552,1.15589,0.99946,0,0,0,0,0,0,0,0.0006634,0.0006634,0.0006634
19,5357.82,1.44811,1.15547,1.00969,0,0,0,0,0,0,0,0.0006436,0.0006436,0.0006436
20,5624.16,1.39981,1.18199,1.00067,0,0,0,0,0,0,0,0.0006238,0.0006238,0.0006238
21,5896.23,1.43273,1.16033,1.00003,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
22,6167.53,1.44204,1.15662,1.00395,0,0,0,0,0,0,0,0.0005842,0.0005842,0.0005842
23,6440.35,1.423,1.13087,1.00057,0,0,0,0,0,0,0,0.0005644,0.0005644,0.0005644
24,6707.78,1.40406,1.10514,1.01211,0,0,0,0,0,0,0,0.0005446,0.0005446,0.0005446
25,6988.57,1.3964,1.09497,1.0097,0,0,0,0,0,0,0,0.0005248,0.0005248,0.0005248
26,7281.61,1.41758,1.08184,0.99108,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
27,7582.42,1.38814,1.07285,0.99645,0,0,0,0,0,0,0,0.0004852,0.0004852,0.0004852
28,7879.43,1.39757,1.09509,1.00279,0,0,0,0,0,0,0,0.0004654,0.0004654,0.0004654
29,8177.11,1.40779,1.07579,0.99785,0,0,0,0,0,0,0,0.0004456,0.0004456,0.0004456
