species,life_form,direct_category_union,n_direct_records,n_public_references
Malva thuringiaca,,,0,0
Mazus miquelii,,,0,0
Mecardonia procumbens,,,0,0
Medicago lupulina,,,0,0
Medicago marina,,,0,0
Melaleuca citrina,,,0,0
Melastoma candidum,,,0,0
Melastoma malabathricum,,,0,0
Melothria pendula,,,0,0
Micranthes petiolaris,,,0,0
Mitchella repens,,,0,0
Moraea flaccida,,,0,0
Muscari armeniacum,,,0,0
Muscari botryoides,,,0,0
Myosotis latifolia,,,0,0
Myosotis laxa,,,0,0
Myosotis sparsiflora,,,0,0
Myrica gale,,,0,0
Myrtus communis,,,0,0
Nama hispida,,,0,0
Navarretia heterodoxa,,,0,0
Nelumbo nucifera,,,0,0
Nicandra physalodes,,,0,0
Nicotiana longiflora,,,0,0
Ochna serrulata,,,0,0
Odontites luteus,,,0,0
Olearia lirata,,,0,0
Olsynium biflorum,,,0,0
Omphalodes verna,,,0,0
Oreomecon alpina,,,0,0
Ornithopus compressus,,,0,0
Oxalis violacea,,,0,0
Oxytropis campestris,,,0,0
Papaver dubium,,,0,0
Parthenium confertum,,,0,0
Passiflora mixta,,,0,0
Pectis multiseta,,,0,0
Pectis papposa,,,0,0
Penstemon speciosus,,,0,0
Pentanema squarrosum,,,0,0
Persicaria nepalensis,,,0,0
Persicaria pensylvanica,,,0,0
Phlomoides tuberosa,,,0,0
Phlox diffusa,,,0,0
Phlox longifolia,,,0,0
Phlox roemeriana,,,0,0
Pimelea serpyllifolia,,,0,0
Pinguicula vulgaris,,,0,0
Piqueria trinervia,,,0,0
Pittosporum revolutum,,,0,0
Plantago media,,,0,0
Polycalymma stuartii,,,0,0
Polygala comosa,,,0,0
Portulaca suffrutescens,,,0,0
Potentilla concinna,,,0,0
Potentilla indica,,,0,0
Potentilla simplex,,,0,0
Primula elatior,,,0,0
Prunus mahaleb,,,0,0
Pseudo-fumaria lutea,,,0,0
Pseudognaphalium affine,,,0,0
Pulmonaria obscura,,,0,0
Pultenaea villosa,,,0,0
Purshia stansburyana,,,0,0
Pycnanthemum virginianum,,,0,0
Pyrola elliptica,,,0,0
Ranunculus kuepferi,,,0,0
Ranunculus lyallii,,,0,0
Ranunculus trichophyllus,,,0,0
Ranunculus uncinatus,,,0,0
Rhododendron canadense,,,0,0
Rhododendron catawbiense,,,0,0
Rhododendron pseudochrysanthum,,,0,0
Rhododendron tomentosum,,,0,0
Rhynchospora colorata,cryptophyte,cryptophyte,1,1
Rorippa palustris,,,0,0
Rosa blanda,,,0,0
Rosa multiflora,,,0,0
Rubus chamaemorus,,,0,0
Rubus odoratus,,,0,0
Rubus trivialis,,,0,0
Rudbeckia triloba,,,0,0
Sagittaria lancifolia,,,0,0
Sagittaria latifolia,,,0,0
Sairocarpus pusillus,,,0,0
Salvia amarissima,,,0,0
Salvia hispanica,,,0,0
Salvia lavanduloides,,,0,0
Salvia polystachia,,,0,0
Salvia prunelloides,,,0,0
Salvia verticillata,,,0,0
Sambucus mexicana,,,0,0
Sanguinaria canadensis,,,0,0
Satureja montana,,,0,0
Saxifraga granulata,,,0,0
Saxifraga tridactylites,,,0,0
Scilla bifolia,,,0,0
Scilla luciliae,,,0,0
Scilla verna,,,0,0
Senecio mohavensis,,,0,0
Senecio ovatus,,,0,0
Senecio triangularis,,,0,0
Senecio vernalis,,,0,0
Senegalia berlandieri,,,0,0
Senna artemisioides,,,0,0
Senna hebecarpa,,,0,0
Sericocarpus linifolius,,,0,0
Sesbania drummondii,,,0,0
Sidalcea candida,,,0,0
Sideranthus spinulosus,,,0,0
Sisymbrium irio,,,0,0
Sixalix atropurpurea,,,0,0
Solanum crispum,,,0,0
Solanum elaeagnifolium,,,0,0
Solanum furcatum,,,0,0
Solanum laxum,,,0,0
Solanum lycopersicum,,,0,0
Solanum pseudocapsicum,,,0,0
Solidago ptarmicoides,,,0,0
Solidago uliginosa,,,0,0
Solidago virgaurea,,,0,0
Sparaxis tricolor,,,0,0
Sphaeralcea ambigua,,,0,0
Sphaeralcea coccinea,,,0,0
Stachys palustris,,,0,0
Stevia serrata,,,0,0
Streptosolen jamesonii,,,0,0
Stypandra glauca,,,0,0
Symphyotrichum puniceum,,,0,0
Symphyotrichum subulatum,,,0,0
Symphytum officinale,,,0,0
Symplocos tinctoria,,,0,0
Talinum fruticosum,,,0,0
Talinum paniculatum,,,0,0
Tanacetum vulgare,,,0,0
Taraxacum erythrospermum,,,0,0
Telekia speciosa,,,0,0
Tetratheca thymifolia,,,0,0
Thysanocarpus curvipes,,,0,0
Tiarella stolonifera,,,0,0
Tinantia erecta,,,0,0
Tithonia tubaeformis,,,0,0
Trachymene composita,,,0,0
Tragopogon porrifolius,,,0,0
Trifolium incarnatum,,,0,0
Trifolium repens,,,0,0
Tripolium pannonicum,,,0,0
Triteleia laxa,,,0,0
Trixis inula,,,0,0
Trollius albiflorus,,,0,0
Turnera subulata,,,0,0
Verbascum thapsus,,,0,0
Verbena rigida,,,0,0
Veronica cymbalaria,,,0,0
Veronica longifolia,,,0,0
Veronica officinalis,,,0,0
Veronica polita,,,0,0
Veronica prostrata,,,0,0
Veronica spicata,,,0,0
Vicia lathyroides,,,0,0
Viminaria juncea,,,0,0
Vincetoxicum hirundinaria,,,0,0
Viola blanda,,,0,0
Viola cucullata,,,0,0
Viola hirta,,,0,0
Viola lutea,,,0,0
Viola mirabilis,,,0,0
Viola pedunculata,,,0,0
Viola rostrata,,,0,0
Viola tricolor,,,0,0
Viscaria vulgaris,,,0,0
Vitex agnus-castus,,,0,0
Whipplea modesta,,,0,0
Wyethia angustifolia,,,0,0
Zanthoxylum americanum,,,0,0
Zephyranthes atamasco,,,0,0
