split,image_id,file_name,image_sha256,estimator_admitted,failure_reasons,flower_pixels,plant_background_control_pixels,horizontal_flip_mask_iou,horizontal_flip_colour_delta_e,predicted_flower_pixels,predicted_flower_pixels_inside_box_union,image_predicted_pixel_precision_inside_box_union,reference_boxes,source_annotation_boxes,source_not_evaluable_boxes,hit_boxes,small_reference_boxes,medium_reference_boxes,large_reference_boxes,small_hit_boxes,medium_hit_boxes,large_hit_boxes
train,1,000699.jpg,336895f3426b6109215da743f75a364a864c9d79cb118ca3ac06b440b1339707,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,1326,0.0,inf,0,0,0.0,86,86,0,0,85,1,0,0,0,0
train,2,000698.jpg,a43ec1d24e41c90f5215bff0005298bf8f679dd912b211114aba6c244b09d63f,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,936,0.0,inf,0,0,0.0,41,41,0,0,41,0,0,0,0,0
train,3,000697.jpg,b1a82cc95283288546cbc51e24b7a4fc3902f977046694f8cf74ada458e51750,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,4,000696.jpg,7c50be2a57d9d0017fc98f0ed9e9134800482cfd45a3cc42d1b10f9b99889ecc,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,5,000695.jpg,312f2dc0e187f751284d2961dcba84d6fd6f97761b29b6ed5cd23a6bad6cd579,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,40845,0.0,inf,0,0,0.0,1,1,0,0,1,0,0,0,0,0
train,6,000693.jpg,6605ab7368ad29689db17179982ec62dfa86d91c48cde18e60ca0676b1be19f4,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,60,60,0,0,60,0,0,0,0,0
train,7,000691.jpg,4bda045c6513ad86792e6968542109b3f7dd0f868fd6eac2d81e2a694febc97e,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,88,88,0,0,88,0,0,0,0,0
train,8,000688.jpg,ddc4f3e0e583976ef10166b4b3432429bff4c19fc9f1b44538b538a62b5fe861,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,37,37,0,0,36,1,0,0,0,0
train,9,000687.jpg,107a5348839fe3af09ac23a29c14761e621d0f3d4dd45d13b30c712a96e909e8,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,28,28,0,0,28,0,0,0,0,0
train,10,000686.jpg,52ade1ae432a71bb7c7efbe8842310b35da4ac26f32728f54108219f7221c415,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,19624,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
train,11,000685.jpg,1c735b31337a2177fcd4329edded09f3d161b9e1e18713810a83e162270a322a,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,6781,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
train,12,000684.jpg,5d3d270f075d13dd67c9261d2ad57ea49798a704b8e76ba977a0a6a27e39680b,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,985,0.0,inf,0,0,0.0,25,25,0,0,25,0,0,0,0,0
train,13,000683.jpg,d71353e810ec1df542c685dee76ffa367266b521f3a01f3a847fee47b0000327,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,14,14,0,0,14,0,0,0,0,0
train,14,000680.jpg,42a2f6a7b590e4cf8bc2a215a9639f45bfef7c19d2fc7904d290a9b87e8cd60d,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,43,262010,0.0,inf,43,43,1.0,41,41,0,2,38,3,0,2,0,0
train,15,000678.jpg,fdf4510c07744c439420afca78a4b9200952576a83ef24013b17b1b038de55a3,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,262058,0.0,inf,0,0,0.0,38,38,0,0,34,4,0,0,0,0
train,16,000676.jpg,d687d428067b8253b226c6c4761649ce6a2d0923f80c028c1c3304ed649f2176,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,12,12,0,0,11,1,0,0,0,0
train,17,000674.jpg,401e7191a573720d3db99c45f210a987e10c69fba5acc9606af5c4eb15bf97eb,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,10971,0.0,inf,0,0,0.0,14,14,0,0,14,0,0,0,0,0
train,18,000673.jpg,43a529c3fb973a67d776b43b845a023148651af33562daee0a6721ff74a5dedb,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,202184,0.0,inf,0,0,0.0,25,25,0,0,25,0,0,0,0,0
train,19,000672.jpg,261a29cc35e4d605f5015e0432de712d5ab1193af18a47efd8e610b42e6dcd31,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,7800,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
train,20,000670.jpg,7a0577edffd58bd9afe43d3d12853180bd97016281b9fc93f4128cfebfbe0356,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,179649,0.0,inf,0,0,0.0,8,8,0,0,8,0,0,0,0,0
train,21,000669.jpg,aca08acf392e84acc418d59d2999cc8a0bc0ff66ed2ee24ab1813cee9487aeea,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,50046,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
train,22,000665.jpg,3d63f644a0ad527056e8422c020f2ece4fd72128013440e35a90e6a118351c95,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,4,4,0,0,2,2,0,0,0,0
train,23,000663.jpg,e6f0163a1a5183a4425532507705ed28e740b89c2ddfe90b4f5c398a7ffd256a,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,12,12,0,0,10,2,0,0,0,0
train,24,000662.jpg,bb9473b9d38f474c759103bab7fe400e635ff713b83f6a87e457c1ba7ae4776f,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,259927,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,25,000661.jpg,39f157ac79acfeba2d7928a226f2085db711aba5e1b8e73ed8d5df752e83ad4f,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,248527,0.0,inf,0,0,0.0,8,8,0,0,8,0,0,0,0,0
train,26,000658.jpg,0be253a2dbcb311e5a44892d081baae8419bec9c5cfc840a57b64e82a23d302a,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,46809,0.0,inf,0,0,0.0,2,2,0,0,2,0,0,0,0,0
train,27,000657.jpg,4c4eb26cce02dbf2d1a61a269e5462ba96dc0c30898dc819a3193550d58cd204,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,51329,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
train,28,000656.jpg,befb6e078fcd70af6cbe5103ba4dd82ca93da935ce2d32b6c4288efa84566351,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,3524,0.0,inf,0,0,0.0,7,7,0,0,7,0,0,0,0,0
train,29,000653.jpg,ef6e8ff903ca2c9373275e38e70cba3ce9fe76fa31d6f4d0ab784f7c0706eec3,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,55,0.0,inf,0,0,0.0,50,50,0,0,50,0,0,0,0,0
train,30,000651.jpg,54df673e11692dc8bc31dd6d7636303ac5ef6ad897de6789dc2c63fe16050812,False,horizontal_flip_mask_instability,407,261737,0.07125307125307126,4.7019944190979,407,407,1.0,6,6,0,1,0,6,0,0,1,0
train,31,000650.jpg,f9e64b604c360ed483439fc30761d9a538ec86a39c69df8637f53812f64ee5b3,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,69053,0.0,inf,0,0,0.0,7,7,0,0,7,0,0,0,0,0
train,32,000647.jpg,ded3a54928d4a67e92edd1b6be05fa67d9f0a3277664644bbc4fab2a769d0661,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,11207,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,33,000646.jpg,75033b78c2e92d29c857206f9ea40871242abcbbcffb6d9ada1078c940b40119,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,214721,0.0,inf,0,0,0.0,1,1,0,0,1,0,0,0,0,0
train,34,000645.jpg,848441967f8822b378ced1aba2f91bc40728b000ac30b7d2c87bec7321dc25b5,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,248187,0.0,inf,0,0,0.0,15,15,0,0,12,3,0,0,0,0
train,35,000643.jpg,6c151f0297d6e6e884d93846729aebe01b71d54f449b4ed084d7da42a353c29a,False,horizontal_flip_mask_instability;horizontal_flip_colour_instability,10172,251972,0.31851037083595224,12.880552291870117,10172,7400,0.7274872198191112,24,24,0,13,17,7,0,8,5,0
train,36,000639.jpg,2333a995521a7d0b2683ea0eb0f062aaee8b25d93414bc75e11a125caf42eae7,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,36627,0.0,inf,0,0,0.0,1,1,0,0,1,0,0,0,0,0
train,37,000638.jpg,b4b4ae39fd38e44d4e39ec117ac6b7a616c510a42157cd1de8c232b4a1fd7198,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,110532,0.0,inf,0,0,0.0,1,1,0,0,1,0,0,0,0,0
train,38,000636.jpg,8aeadbd091d6d869841ffc8ffc3795d9c6e5a967d7e4e093e4d0172d84b7c871,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,39,000635.jpg,59126e43b4ce573e75e7c67df8f29dc326eed49b1a9ff00b62d95e917106229d,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,4481,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,40,000631.jpg,52d526e9b22a81589517eded7cc4a8c983f308100d5869c9e7c98f1518ab2cd6,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,198623,0.0,inf,0,0,0.0,8,8,0,0,8,0,0,0,0,0
train,41,000630.jpg,b258e512de7e4fc99e252e9b21356a3420fc27fbad88bbd0e081f7f22cee277a,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,5133,0.0,inf,0,0,0.0,8,8,0,0,8,0,0,0,0,0
train,42,000629.jpg,09761cc6c813fdb36685b797fcc63217a412a530df055bc6f3298057c094161c,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,255437,0.0,inf,0,0,0.0,6,6,0,0,6,0,0,0,0,0
train,43,000627.jpg,743edcc3a7fe0a07f6eba8a883e9e75784280fc95b262dfa986d7fea8a7f8d6f,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,259136,0.0,inf,0,0,0.0,3,3,0,0,3,0,0,0,0,0
train,44,000625.jpg,a2c562aee7668cad5c60640e886f234070de216e85417cc40c34aef69ba27ce2,False,insufficient_flower_pixels;insufficient_plant_background_control_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,0,0.0,inf,0,0,0.0,11,11,0,0,11,0,0,0,0,0
train,45,000624.jpg,2dd921f1c725b3561719a7594aabc852a8eed166db89c9b292b7119d55656ef3,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,17652,0.0,inf,0,0,0.0,47,47,0,0,44,3,0,0,0,0
train,46,000622.jpg,7254817a2b25a1af395736f629e71060e3380cd1af73b2038006b1e9b2b8747e,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,46130,0.0,inf,0,0,0.0,1,1,0,0,1,0,0,0,0,0
train,47,000620.jpg,7db742e67f78c4b138e624f170e1cb23de9440a1a673bb4e697a2516e4167708,False,insufficient_flower_pixels;horizontal_flip_mask_instability;horizontal_flip_colour_instability,0,10750,0.0,inf,0,0,0.0,4,4,0,0,4,0,0,0,0,0
