cohort,species,n_classifiable,D
discovery,Acacia linifolia,48,0.223090277777778
discovery,Acacia ulicifolia,76,0.332409972299169
discovery,Aciphylla glacialis,79,0.140362121454895
discovery,Aconitum delphiniifolium,59,0.128124102269463
discovery,Aconitum tauricum,56,0.0695153061224489
discovery,Adoxa moschatellina,44,0.483471074380165
discovery,Aegopodium podagraria,80,0.0
discovery,Agapanthus praecox,53,0.506941972232111
discovery,Ageratina havanensis,70,0.0
discovery,Agrostemma githago,53,0.574581701673193
discovery,Ajuga genevensis,49,0.14993752603082
discovery,Alchemilla alpina,54,0.324417009602195
discovery,Allium drummondii,63,0.338624338624339
discovery,Allium praecox,65,0.117869822485207
discovery,Allium schoenoprasum,50,0.5896
discovery,Allium tuberosum,67,0.0579193584317219
discovery,Althaea officinalis,59,0.159724217178972
discovery,Alyxia buxifolia,45,0.393086419753086
discovery,Amsinckia tessellata,70,0.0559183673469388
discovery,Anchusa arvensis,50,0.5312
discovery,Andromeda polifolia,51,0.302191464821223
discovery,Androsace villosa,78,0.0253122945430637
discovery,Andryala integrifolia,69,0.371350556605755
discovery,Anemone pavonina,45,0.574814814814815
discovery,Anemonoides blanda,52,0.369822485207101
discovery,Anemonoides quinquefolia,48,0.0798611111111109
discovery,Antennaria dioica,66,0.286042240587695
discovery,Aquilegia coerulea,44,0.550619834710744
discovery,Asclepias incarnata,49,0.43981674302374
discovery,Asclepias ovalifolia,58,0.157550535077289
discovery,Asclepias perennis,70,0.0281632653061223
discovery,Asclepias quadrifolia,66,0.0592286501377409
discovery,Asclepias viridis,40,0.43875
discovery,Astragalus glycyphyllos,42,0.49546485260771
discovery,Austroflourensia thurifera,56,0.0350765306122449
discovery,Baptisia australis,75,0.1472
discovery,Baptisia tinctoria,75,0.0
discovery,Barbarea orthoceras,71,0.0277722674072605
discovery,Bellis annua,80,0.0721874999999998
discovery,Bidens aristosa,78,0.0499671268902038
discovery,Bidens bipinnata,62,0.120707596253902
discovery,Bidens cernua,64,0.03076171875
discovery,Biscutella laevigata,71,0.177742511406467
discovery,Brodiaea coronaria,63,0.0619803476946335
discovery,Bryonia alba,41,0.542534205829863
discovery,Buddleja davidii,43,0.59599783666847
discovery,Bursaria spinosa,47,0.0416478044363966
discovery,Calochortus concolor,41,0.176085663295657
discovery,Calochortus flexuosus,49,0.219075385256143
discovery,Calochortus leichtlinii,54,0.13923182441701
discovery,Calochortus monophyllus,55,0.0
discovery,Calycadenia multiglandulosa,64,0.0
discovery,Calystegia tuguriorum,49,0.0783007080383175
discovery,Campanula latifolia,48,0.441840277777778
discovery,Campanula patula,56,0.447066326530612
discovery,Cardamine amara,67,0.029405212742259
discovery,Cardamine concatenata,43,0.0886965927528394
discovery,Cardamine hirsuta,56,0.0350765306122449
