canonical_name,equal_pair_count_bin,n_pairs,distance_km_min,distance_km_median,distance_km_max,standardized_colour_distance_median
Erythranthe lewisii,1,1010,0.1996971193241619,177.40704785186682,302.8880358850993,1.601934796405663
Erythranthe lewisii,2,1010,302.9420423965755,393.66130439580326,475.6234797984087,1.6029234134072634
Erythranthe lewisii,3,1010,475.6651988994684,548.9637206430648,614.5708467180287,1.605423812116015
Erythranthe lewisii,4,1010,614.6817345427,705.3459491252704,852.2086149773344,1.6120353048432385
Erythranthe lewisii,5,1010,852.4090997230049,987.2261165260375,2406.7694322611856,1.6049300428146454
Hesperis matronalis,1,932,18.69088474588882,565.9636170521994,950.6527186117559,1.5725229147815458
Hesperis matronalis,2,931,950.785909673935,1459.3286523603256,2252.5261957219222,1.4277911521620217
Hesperis matronalis,3,931,2254.3436350734523,3396.5365729712876,5460.338370716112,1.46301902902776
Hesperis matronalis,4,931,5467.920610038391,6421.812295245246,7407.480417167555,1.6590948462516966
Hesperis matronalis,5,931,7410.643373988784,8299.604815735427,10423.845226925007,1.316323103311632
Orchis mascula,1,1156,0.6632271701758268,305.9410500020705,503.83042779721853,1.676843713417679
Orchis mascula,2,1156,505.2010747204629,703.732261104874,876.5450834640278,1.7636874820589252
Orchis mascula,3,1156,876.6036339957029,1015.3508859837341,1169.4400054974612,1.6979182327502294
Orchis mascula,4,1155,1169.9991511448784,1355.1422051246145,1658.0348036789433,1.6473688587945046
Orchis mascula,5,1155,1658.3388982650142,2332.3831798445717,4487.601095833087,1.7647210176560764
