species,genus,family,n_classifiable,D,second_fraction,maximum_span_km_after_observer_cap,log1p_span_primary,maximum_span_km,log1p_span_sensitivity,mean_latitude,abs_mean_latitude,pollination_guild_raw,pollination_guild_mapped,inat_taxon_id_endpoint,n_classifiable_reconstructed,ambiguous_count,technical_failure_count,no_biological_palette_count,ambiguous_palette_rate,technical_failure_rate,D_observed_reconstructed,D_min4,D_max4,D_interval_width,count_white,Dmin_count_white,Dmax_count_white,count_yellow_orange,Dmin_count_yellow_orange,Dmax_count_yellow_orange,count_red_pink,Dmin_count_red_pink,Dmax_count_red_pink,count_blue_purple,Dmin_count_blue_purple,Dmax_count_blue_purple
Andromeda polifolia,Andromeda,Ericaceae,51,0.3021914648212226,0.1372549019607843,9560.470737478783,9.16549683704536,9176.716338296335,9.124533687775951,56.112997579163,56.112997579163,mixed,mixed,119892,51,9,40,0,0.09,0.4,0.3021914648212226,0.2633333333333333,0.47944444444444456,0.21611111111111125,42,51,42,1,1,6,7,7,7,1,1,5
Androsace villosa,Androsace,Primulaceae,78,0.0253122945430637,0.0128205128205128,4329.910067385282,8.373532976137636,4329.910067385282,8.373532976137636,42.803954576545,42.803954576545,,,207816,78,5,17,0,0.05,0.17,0.025312294543063718,0.02380606764407034,0.13761068369865004,0.1138046160545797,77,82,77,1,1,2,0,0,2,0,0,2
Andryala integrifolia,Andryala,Asteraceae,69,0.3713505566057551,0.2463768115942029,2897.966595498757,7.972109606088368,2697.946804608048,7.900616903527015,40.732551865013,40.732551865013,mixed,mixed,333717,69,3,28,0,0.03,0.28,0.3713505566057551,0.3607253086419754,0.42168209876543217,0.06095679012345678,17,17,17,52,55,52,0,0,2,0,0,1
Anemone pavonina,Anemone,Ranunculaceae,45,0.5748148148148149,0.1777777777777777,922.9625922403908,6.828671586233839,922.9625922403908,6.828671586233839,39.19615109336,39.19615109336,,,1318569,45,13,42,0,0.13,0.42,0.5748148148148149,0.4851367419738406,0.687871581450654,0.20273483947681337,8,8,11,2,2,10,27,40,27,8,8,10
Anemonoides blanda,Anemonoides,Ranunculaceae,52,0.3698224852071006,0.1923076923076923,11506.667807104066,9.3507688579969,10807.888877840796,9.288124118841644,44.831578651138,44.831578651138,,,950617,52,5,43,0,0.05,0.43,0.3698224852071006,0.3447214527546937,0.46906740535549407,0.12434595260080039,10,10,10,2,2,4,0,0,3,40,45,40
Anemonoides quinquefolia,Anemonoides,Ranunculaceae,48,0.0798611111111109,0.0416666666666666,2720.0564183662564,7.908775472991759,2251.475088182109,7.719784929790751,42.024116378148,42.024116378148,,,950598,48,1,51,0,0.01,0.51,0.07986111111111094,0.07830070803831746,0.11661807580174921,0.03831736776343175,46,47,46,2,2,2,0,0,1,0,0,0
Antennaria dioica,Antennaria,Asteraceae,66,0.286042240587695,0.1363636363636363,9541.666071896858,9.163528187862957,9530.717901656246,9.162380242906194,55.403398956221,55.403398956221,mixed,mixed,51893,66,8,26,0,0.08,0.26,0.286042240587695,0.2596785975164354,0.42366691015339675,0.16398831263696134,55,63,55,2,2,5,9,9,9,0,0,5
Aquilegia coerulea,Aquilegia,Ranunculaceae,44,0.5506198347107437,0.2954545454545454,726.8946063019054,6.590156266152955,3557.744779913225,8.177163171759622,39.28556520161,39.28556520161,,,501742,44,7,49,0,0.07,0.49,0.5506198347107437,0.5067281814686659,0.647443291041907,0.14071510957324107,26,33,26,13,13,13,0,0,6,5,5,6
Asclepias incarnata,Asclepias,Apocynaceae,49,0.4398167430237402,0.3265306122448979,4177.906849153719,8.33780497197544,3631.180117194233,8.197588330230055,41.289005471866005,41.289005471866005,,,125381,49,22,29,0,0.22,0.29,0.4398167430237402,0.34913707597698873,0.6851815116048403,0.3360444356278516,16,16,16,0,0,11,33,55,33,0,0,11
Asclepias ovalifolia,Asclepias,Apocynaceae,58,0.1575505350772887,0.0862068965517241,2069.8271440863773,7.635703392961142,2069.8271440863773,7.635703392961142,49.080231021936,49.080231021936,,,47905,58,6,36,0,0.06,0.36,0.15755053507728878,0.14404296875,0.3037109375,0.15966796875,53,59,53,5,5,5,0,0,3,0,0,3
Asclepias perennis,Asclepias,Apocynaceae,70,0.0281632653061223,0.0142857142857142,1747.553647928794,7.466544238291129,1697.0056429584165,7.4372096901628355,32.234430203196,32.234430203196,,,120152,70,0,30,0,0.0,0.3,0.028163265306122343,0.028163265306122343,0.028163265306122343,0.0,69,69,69,1,1,1,0,0,0,0,0,0
Asclepias quadrifolia,Asclepias,Apocynaceae,66,0.059228650137741,0.0151515151515151,2248.517408047725,7.718470986881079,2207.706124708286,7.700162159127966,37.942670829864,37.942670829864,,,129548,66,0,34,0,0.0,0.34,0.059228650137741035,0.059228650137741035,0.059228650137741035,0.0,64,64,64,1,1,1,1,1,1,0,0,0
Asclepias viridis,Asclepias,Apocynaceae,40,0.43875,0.325,2232.30542825036,7.711238021819615,1765.5326597424273,7.476773955019136,33.789002137723,33.789002137723,,,60946,40,4,56,0,0.04,0.56,0.43875,0.41632231404958675,0.5320247933884297,0.11570247933884292,27,31,27,13,13,13,0,0,2,0,0,2
Astragalus glycyphyllos,Astragalus,Fabaceae,42,0.4954648526077096,0.4523809523809524,6196.5851023269415,8.731914995533815,6195.707420183033,8.731773368709407,49.067488108386,49.067488108386,mixed,mixed,158900,42,4,53,1,0.04,0.53,0.49546485260770967,0.48487712665406424,0.5756143667296786,0.09073724007561434,19,19,19,23,27,23,0,0,2,0,0,2
Austroflourensia thurifera,Austroflourensia,Asteraceae,56,0.0350765306122449,0.0178571428571428,799.4091877248595,6.685123081560312,799.4237193340865,6.685141236620923,-32.08932079584,32.08932079584,,,1644302,56,0,44,0,0.0,0.44,0.035076530612244916,0.035076530612244916,0.035076530612244916,0.0,1,1,1,55,55,55,0,0,0,0,0,0
Baptisia australis,Baptisia,Fabaceae,75,0.1472,0.08,2638.572188253598,7.878372133104917,2589.103652082228,7.859453174001769,39.519205202451,39.519205202451,,,83902,75,8,17,0,0.08,0.17,0.1472,0.13412686892146897,0.2990274350413703,0.16490056611990134,6,6,6,0,0,4,0,0,4,69,77,69
Baptisia tinctoria,Baptisia,Fabaceae,75,0.0,0.0,1360.2306053852285,7.216144426494783,1360.2306053852285,7.216144426494783,39.58934745148,39.58934745148,,,81897,75,1,24,0,0.01,0.24,0.0,0.0,0.025969529085872578,0.025969529085872578,0,0,1,75,76,75,0,0,0,0,0,0
Barbarea orthoceras,Barbarea,Brassicaceae,71,0.0277722674072604,0.0140845070422535,12074.044821025887,9.398896190400086,12074.044821025887,9.398896190400086,43.718277311445,43.718277311445,,,52976,71,1,28,0,0.01,0.28,0.027772267407260465,0.02739197530864179,0.05439814814814814,0.02700617283950635,1,1,1,70,71,70,0,0,1,0,0,0
Bellis annua,Bellis,Asteraceae,80,0.0721874999999998,0.0375,4069.1881665623614,8.311444509938553,4069.1881665623614,8.311444509938553,38.524633290384,38.524633290384,,,189743,80,2,18,0,0.02,0.18,0.07218749999999985,0.07049375371802502,0.1165972635336111,0.046103509815586086,77,79,77,3,3,3,0,0,1,0,0,1
Bidens aristosa,Bidens,Asteraceae,78,0.0499671268902037,0.0256410256410256,2182.2260610445933,7.688558906408167,2182.2260610445933,7.688558906408167,35.494785427188,35.494785427188,,,51714,78,0,22,0,0.0,0.22,0.04996712689020377,0.04996712689020377,0.04996712689020377,0.0,2,2,2,76,76,76,0,0,0,0,0,0
Bidens bipinnata,Bidens,Asteraceae,62,0.1207075962539023,0.064516129032258,18842.391831402776,9.843917565440211,18822.302960805857,9.84285090044014,31.187314604679,31.187314604679,mixed,mixed,50202,62,0,38,0,0.0,0.38,0.12070759625390237,0.12070759625390237,0.12070759625390237,0.0,4,4,4,58,58,58,0,0,0,0,0,0
Bidens cernua,Bidens,Asteraceae,64,0.03076171875,0.015625,10170.01633913086,9.227297419067218,10210.661871896771,9.23128566695311,48.123061831858,48.123061831858,mixed,mixed,75765,64,1,35,0,0.01,0.35,0.03076171875,0.030295857988165587,0.06011834319526632,0.029822485207100735,1,1,1,63,64,63,0,0,1,0,0,0
Biscutella laevigata,Biscutella,Brassicaceae,71,0.177742511406467,0.0985915492957746,2642.3632371208955,7.879807338805077,2642.3632371208955,7.879807338805077,46.220002685782,46.220002685782,mixed,mixed,130492,71,2,27,0,0.02,0.27,0.17774251140646702,0.1733908800900732,0.2218052167386001,0.0484143366485269,7,7,7,64,66,64,0,0,1,0,0,1
Brodiaea coronaria,Brodiaea,Asparagaceae,63,0.0619803476946334,0.0158730158730158,1149.383114192256,7.047850308653437,1155.9661140966664,7.053556439035021,48.243198421414,48.243198421414,,,57126,63,4,33,0,0.04,0.33,0.06198034769463345,0.05836489195811978,0.16841167297839166,0.11004678102027188,1,1,2,1,1,2,0,0,2,61,65,61
Bryonia alba,Bryonia,Cucurbitaceae,41,0.5425342058298632,0.4390243902439024,10602.013978095933,9.268893577240116,10602.013978095933,9.268893577240116,50.887614564684,50.887614564684,mixed,mixed,159507,41,1,58,0,0.01,0.58,0.5425342058298632,0.5396825396825398,0.5634920634920635,0.023809523809523725,21,22,21,18,18,18,0,0,1,2,2,2
Buddleja davidii,Buddleja,Scrophulariaceae,43,0.5959978366684695,0.3953488372093023,19909.26835198155,9.89899087521862,19892.55515706474,9.898151096804105,34.92926780049,34.92926780049,mixed,mixed,75916,43,10,47,0,0.1,0.47,0.5959978366684695,0.5489498042007832,0.6998932004271983,0.15094339622641506,21,31,21,1,1,8,4,4,7,17,17,17
Bursaria spinosa,Bursaria,Pittosporaceae,47,0.0416478044363965,0.0212765957446808,1907.5503960143683,7.55409927792225,1925.3001113953983,7.563356401296797,-35.250401392786,35.250401392786,mixed,mixed,83571,47,1,52,0,0.01,0.52,0.041647804436396596,0.04079861111111116,0.08072916666666652,0.03993055555555536,46,47,46,1,1,1,0,0,1,0,0,0
Calochortus concolor,Calochortus,Liliaceae,41,0.1760856632956573,0.0975609756097561,397.0251075544607,5.986515087602396,397.0251075544607,5.986515087602396,33.216733997486,33.216733997486,,,64420,41,0,59,0,0.0,0.59,0.17608566329565734,0.17608566329565734,0.17608566329565734,0.0,4,4,4,37,37,37,0,0,0,0,0,0
Calochortus flexuosus,Calochortus,Liliaceae,49,0.2190753852561433,0.1020408163265306,879.0142423118037,6.779938091786517,780.8545432525141,6.661668717173082,36.362984023771,36.362984023771,,,64430,49,5,46,0,0.05,0.46,0.21907538525614334,0.2009602194787381,0.35116598079561046,0.15020576131687235,43,48,43,0,0,3,5,5,5,1,1,3
Calochortus leichtlinii,Calochortus,Liliaceae,54,0.1392318244170095,0.0555555555555555,580.5955680869336,6.3657753059821145,574.8395787764329,6.355829112836345,38.550732451715,38.550732451715,,,52542,54,1,45,0,0.01,0.45,0.13923182441700954,0.13685950413223147,0.1699173553719009,0.03305785123966942,50,51,50,3,3,3,0,0,1,1,1,1
Calochortus monophyllus,Calochortus,Liliaceae,55,0.0,0.0,342.276421727739,5.838536016857498,305.5388348844767,5.725344451703868,39.116725653749,39.116725653749,,,64441,55,0,45,0,0.0,0.45,0.0,0.0,0.0,0.0,0,0,0,55,55,55,0,0,0,0,0,0
Calycadenia multiglandulosa,Calycadenia,Asteraceae,64,0.0,0.0,285.2680664356619,5.656928667062552,285.2680664356619,5.656928667062552,37.924562174924,37.924562174924,,,56863,64,0,36,0,0.0,0.36,0.0,0.0,0.0,0.0,64,64,64,0,0,0,0,0,0,0,0,0
Calystegia tuguriorum,Calystegia,Convolvulaceae,49,0.0783007080383174,0.0408163265306122,1328.1835834480005,7.192320185702996,1328.1835834480005,7.192320185702996,-42.431125143950005,42.431125143950005,mixed,mixed,400343,49,1,50,0,0.01,0.5,0.07830070803831746,0.07679999999999998,0.11440000000000006,0.03760000000000008,47,48,47,2,2,2,0,0,1,0,0,0
Campanula latifolia,Campanula,Campanulaceae,48,0.4418402777777778,0.2916666666666667,11805.5744662454,9.376411813455167,11805.5744662454,9.376411813455167,53.986423001986005,53.986423001986005,mixed,mixed,159760,48,10,42,0,0.1,0.42,0.4418402777777778,0.39179548156956,0.5998810939357907,0.2080856123662307,14,14,14,0,0,6,1,1,5,33,43,33
Campanula patula,Campanula,Campanulaceae,56,0.4470663265306123,0.1964285714285714,4770.696564211329,8.470457194484295,4752.023678857327,8.466536258477747,52.170565434386,52.170565434386,mixed,mixed,159763,56,14,30,0,0.14,0.3,0.4470663265306123,0.37755102040816324,0.6118367346938776,0.23428571428571432,11,11,11,3,3,10,2,2,9,40,54,40
Cardamine amara,Cardamine,Brassicaceae,67,0.029405212742259,0.0149253731343283,4436.095843640432,8.397755352146385,4436.095843640432,8.397755352146385,52.528332149122,52.528332149122,mixed,mixed,132481,67,1,32,0,0.01,0.32,0.029405212742259046,0.028979238754325065,0.05752595155709339,0.028546712802768326,66,67,66,1,1,1,0,0,1,0,0,0
Cardamine concatenata,Cardamine,Brassicaceae,43,0.0886965927528393,0.0465116279069767,2234.459204220479,7.712201946444884,2690.938778144903,7.89801694836073,40.147460851788,40.147460851788,,,60438,43,0,57,0,0.0,0.57,0.08869659275283936,0.08869659275283936,0.08869659275283936,0.0,41,41,41,2,2,2,0,0,0,0,0,0
Cardamine hirsuta,Cardamine,Brassicaceae,56,0.0350765306122449,0.0178571428571428,19988.49938841387,9.902962384080006,19929.37964936714,9.900000462165757,30.442010691843,30.442010691843,mixed,mixed,55829,56,0,44,0,0.0,0.44,0.035076530612244916,0.035076530612244916,0.035076530612244916,0.0,55,55,55,1,1,1,0,0,0,0,0,0
Carlina hispanica,Carlina,Asteraceae,58,0.0338882282996433,0.0172413793103448,1545.3926335967788,7.343680164300765,1545.3926335967788,7.343680164300765,40.509885433597,40.509885433597,,,333950,58,0,42,0,0.0,0.42,0.03388822829964333,0.03388822829964333,0.03388822829964333,0.0,1,1,1,57,57,57,0,0,0,0,0,0
Carlina vulgaris,Carlina,Asteraceae,40,0.5275000000000001,0.375,3256.7224847306743,8.088783605893322,3256.7224847306743,8.088783605893322,47.889295155601005,47.889295155601005,mixed,mixed,118834,40,7,53,0,0.07,0.53,0.5275000000000001,0.4898143956541421,0.6401086464463559,0.1502942507922138,15,15,15,23,30,23,1,1,5,1,1,4
Carthamus mitissimus,Carthamus,Asteraceae,44,0.5805785123966942,0.4318181818181818,885.7665478218635,6.78758175468273,885.7665478218635,6.78758175468273,43.531370701764,43.531370701764,,,509198,44,13,43,0,0.13,0.43,0.5805785123966942,0.5300092336103417,0.7085257002154509,0.17851646660510923,19,19,19,3,3,9,1,1,8,21,34,21
Castilleja exserta,Castilleja,Orobanchaceae,56,0.3411989795918367,0.0714285714285714,1530.6785495261963,7.334119504215325,1530.1308391546745,7.333761851937397,35.104510525066,35.104510525066,,,49343,56,8,36,0,0.08,0.36,0.34119897959183676,0.30419921875,0.47607421875,0.171875,3,3,7,4,4,6,45,53,45,4,4,6
Castilleja foliolosa,Castilleja,Orobanchaceae,46,0.5207939508506616,0.4782608695652174,1020.9752286693964,6.929492532377336,1450.3318357955557,7.280236921289991,35.213384164356,35.213384164356,,,56760,46,8,46,0,0.08,0.46,0.5207939508506616,0.5041152263374487,0.6385459533607682,0.1344307270233196,1,1,5,22,22,22,23,31,23,0,0,4
Centranthus calcitrapae,Centranthus,,65,0.197869822485207,0.0615384615384615,9530.739312275644,9.162382489153469,9437.37883807556,9.152539511136997,39.607961735182,39.607961735182,,,71105,65,6,29,0,0.06,0.29,0.19786982248520701,0.18250347153342583,0.32136480856972816,0.13886133703630232,58,64,58,3,3,5,4,4,4,0,0,4
Centrosema virginianum,Centrosema,Fabaceae,43,0.6489994591671173,0.3255813953488372,18477.57380462288,9.824367167143006,7856.860483301633,8.969269645226968,24.80430420311,24.80430420311,,,127681,43,8,49,0,0.08,0.49,0.6489994591671173,0.6028450595924644,0.7151095732410611,0.11226451364859669,14,14,14,2,2,9,7,7,8,20,28,20
Cerastium fontanum,Cerastium,Caryophyllaceae,57,0.0677131425053862,0.0350877192982456,19661.14006383551,9.88645024148178,19654.164379799044,9.886095401077108,34.704876257294,34.704876257294,mixed,mixed,53307,57,2,41,0,0.02,0.41,0.06771314250538629,0.06549841999425454,0.12927319735708132,0.06377477736282677,55,57,55,2,2,2,0,0,1,0,0,1
Chaenorhinum origanifolium,Chaenorhinum,Plantaginaceae,49,0.5539358600583091,0.4285714285714285,2110.5323737564963,7.655169206369414,2110.5323737564963,7.655169206369414,42.467010461233,42.467010461233,,,60887,49,15,36,0,0.15,0.36,0.5539358600583091,0.50048828125,0.7001953125,0.19970703125,21,21,21,2,2,9,1,1,9,25,40,25
Chelone lyonii,Chelone,Plantaginaceae,49,0.4723032069970845,0.2653061224489796,1990.877382453957,7.596832881256963,1931.9287078388668,7.5667915969135295,39.661207880314,39.661207880314,,,160493,49,16,35,0,0.16,0.35,0.4723032069970845,0.38958579881656796,0.6594082840236686,0.2698224852071006,13,13,13,0,0,10,33,49,33,3,3,9
Chondrilla juncea,Chondrilla,Asteraceae,66,0.2355371900826446,0.1363636363636363,18059.288720124947,9.801470813561073,17902.028229090658,9.792725152329936,38.91019327342,38.91019327342,mixed,mixed,76300,66,1,33,0,0.01,0.33,0.23553719008264462,0.23256850077968383,0.25796391178436184,0.025395411004678015,9,9,9,57,58,57,0,0,1,0,0,0
Cipura campanulata,Cipura,Iridaceae,54,0.1975308641975308,0.1111111111111111,4012.322482054572,8.297374726384046,4012.322482054572,8.297374726384046,16.890248358813,16.890248358813,,,283408,54,0,46,0,0.0,0.46,0.19753086419753085,0.19753086419753085,0.19753086419753085,0.0,48,48,48,6,6,6,0,0,0,0,0,0
Cistus albidus,Cistus,Cistaceae,58,0.6010701545778834,0.2068965517241379,1895.503065866564,7.547766977719561,1659.9489728765816,7.4151443884168895,39.942409471251,39.942409471251,,,82673,58,12,30,0,0.12,0.3,0.6010701545778834,0.5351020408163265,0.6844897959183673,0.14938775510204083,3,3,13,10,10,12,33,45,33,12,12,12
Cistus crispus,Cistus,Cistaceae,64,0.17236328125,0.078125,1641.5344795144674,7.403995742232479,1173.3862262084947,7.068500929426772,38.683922562842,38.683922562842,,,82672,64,2,34,0,0.02,0.34,0.17236328125,0.16758494031221316,0.2208448117539028,0.053259871441689643,1,1,2,5,5,5,58,60,58,0,0,1
Clematis virginiana,Clematis,Ranunculaceae,49,0.0399833402748854,0.0204081632653061,2822.9426651933613,7.945889295713461,2852.223054286193,7.956204530522014,40.93931680381,40.93931680381,,,62778,49,1,49,1,0.01,0.49,0.03998334027488548,0.039200000000000124,0.07760000000000011,0.03839999999999999,48,49,48,1,1,1,0,0,1,0,0,0
Clinopodium alpinum,Clinopodium,Lamiaceae,53,0.2043431826272694,0.0943396226415094,2433.703539584266,7.797580278447214,2426.403704322255,7.794577530716353,45.117173059379,45.117173059379,,,327227,53,5,42,0,0.05,0.42,0.20434318262726947,0.18846611177170025,0.3305588585017837,0.14209274673008343,1,1,3,0,0,3,5,5,5,47,52,47
Cneoridium dumosum,Cneoridium,Rutaceae,50,0.3064000000000001,0.14,381.7593334611204,5.947406419507938,282.7194676969165,5.647985960175762,32.754233097825,32.754233097825,,,76402,50,5,45,0,0.05,0.45,0.3064000000000001,0.2829752066115703,0.41983471074380163,0.13685950413223136,41,46,41,7,7,7,2,2,4,0,0,3
Cochlospermum vitifolium,Cochlospermum,Bixaceae,48,0.0807291666666665,0.0208333333333333,8612.089113230966,9.0610383150994,8612.089113230966,9.0610383150994,9.738341970884,9.738341970884,mixed,mixed,132130,48,0,52,0,0.0,0.52,0.08072916666666652,0.08072916666666652,0.08072916666666652,0.0,0,0,0,46,46,46,1,1,1,1,1,1
Coleogyne ramosissima,Coleogyne,Rosaceae,77,0.0748861528082307,0.0389610389610389,882.2980597471542,6.783662697153128,882.2980597471542,6.783662697153128,36.129318178209,36.129318178209,,,68559,77,0,23,0,0.0,0.23,0.07488615280823074,0.07488615280823074,0.07488615280823074,0.0,3,3,3,74,74,74,0,0,0,0,0,0
Coleostephus myconis,Coleostephus,Asteraceae,79,0.0,0.0,12714.36212483178,9.450566157579004,12714.36212483178,9.450566157579004,27.752919124028,27.752919124028,mixed,mixed,341977,79,0,21,0,0.0,0.21,0.0,0.0,0.0,0.0,0,0,0,79,79,79,0,0,0,0,0,0
