species,genus,family,n_classifiable,D,second_fraction,maximum_span_km_after_observer_cap,log1p_span_primary,maximum_span_km,log1p_span_sensitivity,mean_latitude,abs_mean_latitude,pollination_guild_raw,pollination_guild_mapped,inat_taxon_id_endpoint,n_classifiable_reconstructed,ambiguous_count,technical_failure_count,no_biological_palette_count,ambiguous_palette_rate,technical_failure_rate,D_observed_reconstructed,D_min4,D_max4,D_interval_width,count_white,Dmin_count_white,Dmax_count_white,count_yellow_orange,Dmin_count_yellow_orange,Dmax_count_yellow_orange,count_red_pink,Dmin_count_red_pink,Dmax_count_red_pink,count_blue_purple,Dmin_count_blue_purple,Dmax_count_blue_purple
Acacia linifolia,Acacia,Fabaceae,48,0.2230902777777778,0.1041666666666666,177.0219758312302,5.181907002397573,177.0219758312302,5.181907002397573,-33.718178376774,33.718178376774,,,321056,48,1,51,0,0.01,0.51,0.2230902777777778,0.21907538525614334,0.2540608079966681,0.03498542274052474,42,43,42,5,5,5,1,1,1,0,0,1
Acacia ulicifolia,Acacia,Fabaceae,76,0.3324099722991689,0.2105263157894736,2090.89237497194,7.645824377863306,2003.489029551043,7.603144459157155,-33.297823965439,33.297823965439,mixed,mixed,139880,76,7,17,0,0.07,0.17,0.3324099722991689,0.3112207867615038,0.43663811874002034,0.12541733197851657,60,67,60,16,16,16,0,0,4,0,0,3
Aciphylla glacialis,Aciphylla,Apiaceae,79,0.1403621214548949,0.0759493670886076,194.58330013856948,5.275986376341166,194.58330013856948,5.275986376341166,-36.680283038835,36.680283038835,mixed,mixed,541375,79,1,20,0,0.01,0.2,0.1403621214548949,0.13874999999999993,0.16156250000000005,0.022812500000000124,73,74,73,6,6,6,0,0,1,0,0,0
Aconitum delphiniifolium,Aconitum,Ranunculaceae,59,0.1281241022694628,0.0508474576271186,5123.226765436888,8.541734917587121,5123.226765436888,8.541734917587121,59.752110241675,59.752110241675,,,48491,59,1,40,0,0.01,0.4,0.1281241022694628,0.12611111111111106,0.15666666666666673,0.03055555555555567,3,3,3,0,0,1,1,1,1,55,56,55
Aconitum tauricum,Aconitum,Ranunculaceae,56,0.0695153061224489,0.0178571428571428,466.9738707433433,6.148412462614004,466.9738707433433,6.148412462614004,46.727659552889,46.727659552889,,,515769,56,0,44,0,0.0,0.44,0.06951530612244894,0.06951530612244894,0.06951530612244894,0.0,1,1,1,1,1,1,0,0,0,54,54,54
Adoxa moschatellina,Adoxa,Viburnaceae,44,0.4834710743801652,0.4090909090909091,12000.394464152472,9.392778127364858,9989.310037953972,9.209370905991255,51.277264801344,51.277264801344,mixed,mixed,55790,44,0,55,1,0.0,0.55,0.48347107438016523,0.48347107438016523,0.48347107438016523,0.0,26,26,26,18,18,18,0,0,0,0,0,0
Aegopodium podagraria,Aegopodium,Apiaceae,80,0.0,0.0,19340.302654138417,9.869998122175328,19124.12218112773,9.858758047230028,48.581784943106,48.581784943106,mixed,mixed,51741,80,0,20,0,0.0,0.2,0.0,0.0,0.0,0.0,80,80,80,0,0,0,0,0,0,0,0,0
Agapanthus praecox,Agapanthus,Amaryllidaceae,53,0.5069419722321111,0.4150943396226415,19759.42527938764,9.891436493306475,19581.580372855544,9.882395693553438,-31.875533207336,31.875533207336,mixed,mixed,199324,53,7,40,0,0.07,0.4,0.5069419722321111,0.485,0.6066666666666667,0.1216666666666667,22,22,22,1,1,4,0,0,4,30,37,30
Ageratina havanensis,Ageratina,Asteraceae,70,0.0,0.0,3093.4552845295943,8.037367171092656,3093.4552845295943,8.037367171092656,29.445248043761,29.445248043761,,,158108,70,0,30,0,0.0,0.3,0.0,0.0,0.0,0.0,70,70,70,0,0,0,0,0,0,0,0,0
Agrostemma githago,Agrostemma,Caryophyllaceae,53,0.5745817016731933,0.2452830188679245,12686.875117054253,9.448402101223278,9558.418463896682,9.16528217405889,49.301015673153,49.301015673153,mixed,mixed,75310,53,15,32,0,0.15,0.32,0.5745817016731933,0.4917820069204152,0.6933391003460208,0.20155709342560557,8,8,12,1,1,12,31,46,31,13,13,13
Ajuga genevensis,Ajuga,Lamiaceae,49,0.1499375260308204,0.0816326530612244,9602.93729311896,9.169928428073572,9191.72760261152,9.126167972467664,48.670518685184,48.670518685184,mixed,mixed,61326,49,6,45,0,0.06,0.45,0.14993752603082044,0.13487603305785134,0.31933884297520654,0.1844628099173552,4,4,4,0,0,3,0,0,3,45,51,45
Alchemilla alpina,Alchemilla,Rosaceae,54,0.3244170096021948,0.2037037037037037,4489.398778612424,8.409696791628225,4489.398778612424,8.409696791628225,60.245644633486,60.245644633486,,,85441,54,3,43,0,0.03,0.43,0.3244170096021948,0.311480455524777,0.3921206525084642,0.08064019698368718,11,11,11,43,46,43,0,0,2,0,0,1
Allium drummondii,Allium,Amaryllidaceae,63,0.3386243386243387,0.1746031746031746,1137.9085884102,7.0378257042214045,1137.9085884102,7.0378257042214045,31.40377019862,31.40377019862,,,128731,63,9,28,0,0.09,0.28,0.3386243386243387,0.30439814814814825,0.48263888888888895,0.1782407407407407,50,59,50,0,0,6,11,11,11,2,2,5
Allium praecox,Allium,Amaryllidaceae,65,0.1178698224852071,0.0307692307692307,537.5894064797178,6.28895351156119,398.0339857206475,5.989046590507218,33.071401912775,33.071401912775,,,75360,65,9,26,0,0.09,0.26,0.11786982248520717,0.10409057706354996,0.3100803506208911,0.20598977355734116,61,70,61,1,1,5,2,2,4,1,1,4
Allium schoenoprasum,Allium,Amaryllidaceae,50,0.5895999999999999,0.22,19968.64534024444,9.901968666624938,19798.799448373826,9.89342708776132,47.987477412446,47.987477412446,mixed,mixed,59254,50,32,18,0,0.32,0.18,0.5895999999999999,0.42861392028554424,0.7388459250446162,0.310232004759072,28,60,28,0,0,18,11,11,18,11,11,18
Allium tuberosum,Allium,Amaryllidaceae,67,0.0579193584317219,0.0298507462686567,19735.011156654225,9.890200223503632,18350.601591981344,9.817472129890987,33.134062569619,33.134062569619,mixed,mixed,122343,67,1,32,0,0.01,0.32,0.05791935843172191,0.05709342560553643,0.08520761245674735,0.02811418685121092,65,66,65,2,2,2,0,0,1,0,0,0
Althaea officinalis,Althaea,Malvaceae,59,0.1597242171789715,0.0338983050847457,11781.886442873008,9.374403456297216,11781.886442873008,9.374403456297216,46.911233378699,46.911233378699,mixed,mixed,52565,59,0,41,0,0.0,0.41,0.15972421717897156,0.15972421717897156,0.15972421717897156,0.0,54,54,54,2,2,2,2,2,2,1,1,1
Alyxia buxifolia,Alyxia,Apocynaceae,45,0.3930864197530864,0.1777777777777777,3472.61674439148,8.152951619584393,3472.61674439148,8.152951619584393,-34.830894682291,34.830894682291,mixed,mixed,353914,45,5,50,0,0.05,0.5,0.39308641975308645,0.36239999999999994,0.49919999999999987,0.13679999999999992,34,39,34,8,8,8,3,3,4,0,0,4
Amsinckia tessellata,Amsinckia,Boraginaceae,70,0.0559183673469387,0.0142857142857142,1715.5707815552246,7.448083848024978,1688.7757102667763,7.43235108329112,35.959743992213,35.959743992213,,,58050,70,0,30,0,0.0,0.3,0.05591836734693878,0.05591836734693878,0.05591836734693878,0.0,1,1,1,68,68,68,0,0,0,1,1,1
Anchusa arvensis,Anchusa,Boraginaceae,50,0.5312,0.42,16907.59789272588,9.735577522590097,15852.396915004134,9.671139072746993,48.768862947764,48.768862947764,,,62200,50,12,38,0,0.12,0.38,0.5312,0.4890738813735692,0.6701352757544226,0.18106139438085334,27,39,27,1,1,7,1,1,7,21,21,21
