null_H0_delta,pure_C_count,pure_S_count
20.39936951499996,90,3
8.696965797793288,87,5
18.2037721119896,86,4
19.66756662268382,86,2
3.8045975783308927,89,3
17.269082034517282,86,7
8.496614450715509,82,4
0.9461949847764157,87,4
14.991165083594003,88,5
11.009600165577588,86,2
9.114117301141754,91,1
13.433455039981766,90,2
7.371226924299359,87,4
6.00336679862916,92,2
8.877061175934251,88,4
8.914046979672449,87,4
30.012194584830524,88,1
12.298728195248069,91,2
16.986077227834315,89,7
7.212654862783518,89,6
13.208508339734271,89,5
5.841835394140666,87,6
6.813696823577581,87,3
0.8098264683589367,88,1
20.778617689355872,87,3
9.918482569192506,90,6
8.836044217783614,87,4
4.4746656240088925,90,8
8.324098945823788,90,3
13.617837622778845,84,4
8.596622619483421,92,8
5.726390265212736,92,2
9.098778653957979,88,5
12.183189541546438,87,4
10.02064386065427,92,3
6.242908113921484,85,1
10.750058431559602,90,6
0.3536058125804873,86,3
10.70069476517412,85,3
12.504447010627812,89,5
4.845758638106532,91,3
7.161216311170026,81,6
2.658623659512829,85,6
13.711807070459686,90,4
16.877527980546343,92,4
7.53230359377938,86,4
0.36498260897874113,85,3
8.312722149425536,89,3
8.752279637570638,90,3
9.079983627831712,88,3
29.06550637137486,89,1
10.605488492661648,91,4
2.8944123402522077,91,2
6.463231724401242,89,4
4.959548180685177,87,6
6.813696823577581,87,1
5.1974409063356575,85,2
26.115312832082424,91,2
9.70466102650603,88,6
29.703289035841134,89,6
20.203680383664185,90,4
6.311175460541566,91,5
18.191506112068083,86,2
3.837753825879604,87,4
13.12458818065003,88,2
18.673689820468205,91,2
3.6145696656185597,86,1
4.477794467807984,90,1
2.515924356364259,87,3
8.662832124483247,90,3
9.045849954521671,87,3
4.574676756462342,84,2
2.778569369864892,89,5
8.581112191228733,90,5
12.595467950044402,91,5
7.227922164436007,85,4
2.2250290097924017,89,1
11.770145415893237,87,2
24.072694954391533,88,5
8.278588476115495,84,5
9.201991387899945,87,5
5.517855482130885,84,2
2.4622031926056356,88,1
6.060636722100063,90,4
1.4290911516294336,89,4
11.3792767828696,90,5
24.22870624704352,90,5
8.714166598441668,86,6
20.12148060300603,89,5
7.575001361879409,85,8
18.962488776536112,91,5
5.214444497834439,87,4
5.020708390831909,92,6
12.073735249816256,87,6
15.300678790332475,88,4
9.617257867116903,86,6
15.730696461580534,89,2
4.511928141118025,87,3
13.288152482752608,88,3
6.7810677022268235,88,4
7.187062197808752,89,4
9.771399620478018,88,5
10.616865289059902,90,4
12.41683730234606,88,6
11.624735588608978,90,3
9.311677212716514,85,5
16.479902859073427,89,4
12.504447010627812,91,3
4.77749129148645,87,5
6.682394559814634,89,4
2.681601190208747,90,4
11.149389119179402,88,4
10.451359377222982,88,4
5.583130357562346,89,5
3.815974374729146,88,3
10.266480021334386,87,3
13.242642013044312,92,5
20.68759674993928,85,3
5.471534606246235,88,7
6.250781688062091,89,8
14.117687638700865,91,4
8.923972335179727,88,3
20.100817979492007,87,2
3.859911418108242,88,3
5.580367863357809,87,4
8.80209471583778,89,3
4.477794467807984,88,3
1.6438299751493068,90,5
5.934966539105069,85,2
15.036675553302299,90,5
32.93603606715602,89,5
23.21849471291113,87,4
0.7759452788175398,89,3
12.267677575206198,86,7
17.410901276043198,87,5
10.508368114814635,86,3
11.816666753881153,88,5
10.000726884350449,87,3
5.405381985541178,90,4
10.193401264530607,89,5
14.384797748326683,88,4
6.294515219753114,86,7
8.670559704316124,88,3
1.5358512092900942,87,3
10.791053954375101,90,5
14.589250826579075,88,4
3.487778065460385,86,3
32.84501512773943,89,1
4.017763447991824,89,2
7.843606867812282,87,4
10.029746939682717,87,6
2.7216821037583436,88,5
1.0718245194412668,90,1
22.61749538187238,86,6
0.2739616695621514,91,3
9.500687541935257,89,6
5.271107772258372,89,5
7.080615246309927,89,4
14.50863315525021,90,2
9.876643194408162,87,3
0.9158132267892802,90,5
18.939755681829453,90,1
22.241352111595567,91,4
4.14411580406361,90,4
28.878342555239428,89,3
6.850713071397855,86,2
5.548996684252304,88,1
12.96475310105038,85,3
14.834091016153993,91,2
10.96141470858061,89,4
9.986510187344228,89,5
4.462311777203728,90,10
4.526944134919669,83,6
4.6908195126523395,89,8
8.50682083183126,88,3
8.9721041070495,88,9
24.825747171093866,87,4
7.563209486501558,89,2
13.270318995901281,85,4
11.761352914103803,89,1
