null_H0_delta,pure_C_count,pure_S_count
11.889784571408592,89,5
6.169911357873257,90,3
9.046232124948693,85,3
14.802446891372966,89,6
17.571273382294144,92,4
17.675577089968197,85,2
30.047721757812766,90,2
5.974899222089288,89,2
18.006467893378428,88,2
16.182926500676764,87,2
14.936519058263979,87,1
7.215084865138938,87,4
1.617984927469278,89,1
5.655279242762084,89,3
6.15418266661367,88,4
25.368257760463923,89,3
4.591929158090467,87,3
20.47532299472342,91,4
11.755229282457561,89,1
23.225696477127343,90,1
25.69557586255871,90,2
8.886016364800595,91,3
16.82921163245925,90,4
14.89941194452515,84,2
17.251646042210325,89,5
7.298656186110202,88,3
16.68843255474619,89,2
9.327380516108747,90,3
14.380282150937516,88,5
19.341254595835295,88,2
18.980191300982387,89,6
5.840935089733122,88,6
2.441297734165641,86,3
19.91825941200244,89,6
36.5880948254303,89,1
11.085251761224109,86,3
14.355629832956838,90,4
3.7532438795798644,90,4
13.181341132190697,92,2
7.922054403451824,87,2
0.600064636547136,84,3
9.499667036367077,90,5
11.98240011344388,88,1
10.959937356989894,90,2
12.755745995854399,86,6
5.312637766738396,88,4
14.440378819430062,87,5
5.9067757762945625,86,3
4.862098821383245,87,2
9.74895207454063,90,2
15.546246660934528,91,4
31.983795789510257,85,2
14.305823530479032,87,3
8.81873872032508,90,3
7.829616776709716,89,2
15.927479447085371,89,3
8.015041432662127,89,4
14.692773219762442,88,1
14.447559795413031,89,5
14.844083443019674,87,3
32.82098332074096,87,1
23.545368521935234,88,1
23.292974121602857,91,3
8.442720181359785,87,2
38.26024877354962,90,1
14.936519058263979,87,3
18.264335646204444,87,2
5.1794645652133955,91,2
10.14754149020692,86,5
4.6682286717694605,91,1
10.000155965657356,92,5
9.407488396182796,91,3
10.194566569503799,90,4
11.889703896685983,87,1
15.266768470204614,89,2
-0.6458010185685292,90,1
23.12721863263286,92,2
5.279574422750805,89,2
6.979481693771167,91,2
7.298656186110202,86,5
9.247272636034698,89,1
9.692075326059264,89,2
7.782671161429109,81,4
26.211959249431196,92,3
3.151993950789246,92,3
12.049677757919396,85,3
32.75370567626544,92,1
4.524651513614951,92,3
5.655279242762084,91,1
13.585555847785578,87,2
4.93893209409074,88,4
15.927479447085371,91,3
20.972225055909536,91,2
3.367229443418368,85,4
6.522185796300793,87,2
20.563864502852546,84,2
11.809596016611934,88,5
6.279094529190781,88,4
16.571219184556416,91,4
7.594420736555056,89,2
9.852348136280252,90,3
3.162315843939641,85,1
11.310950084358513,88,4
25.14076435584031,88,3
7.9778952540764845,92,1
7.838715355746878,90,3
20.1328657103307,85,4
4.411000264052442,85,3
12.302072158251775,88,3
26.308395479853708,94,1
6.2371890023487735,89,5
11.085251761224109,82,5
12.209893518067494,89,5
35.90578349113552,91,1
14.380282150937516,86,5
4.735506316244977,88,1
11.00514388115006,87,3
5.427785838138471,90,3
6.334752917540962,87,1
12.302072158251775,88,5
6.32684978799859,86,1
10.58119755250153,88,2
35.6110124420364,89,1
21.66973293102462,88,4
23.077888647750235,90,1
6.1503956371724,89,3
14.70899548808745,87,2
26.890415174558253,90,4
32.35958469913809,87,1
11.729488136537885,87,3
5.099356685139347,90,4
23.298418055170927,88,1
18.950374838581993,90,2
11.720262413965573,86,2
14.548467784265465,89,1
5.655279242762084,89,3
17.259408396474228,91,1
14.869241413788464,92,1
27.768677351954604,89,4
20.6341028336924,91,2
8.38050714799876,89,4
19.37614006649599,87,3
7.298656186110202,86,3
4.844323558422845,88,1
15.712060569312255,88,2
6.207818904062686,88,2
26.948357797413465,88,3
11.674699097555973,88,5
12.31929738374301,91,2
18.835759615062734,88,2
6.32684978799859,88,1
14.364185551578716,84,2
23.158418832651826,89,1
6.32684978799859,88,1
18.919340639122172,88,3
14.058062922530354,86,2
19.21592430634789,87,3
