batch_index,requested,api_results_returned,observer_ids_resolved,elapsed_seconds
1,200,200,200,9.119887113571167
2,200,200,200,8.40874457359314
3,200,200,200,9.225419044494629
4,200,200,200,10.25500226020813
5,200,200,200,6.562260627746582
6,200,200,200,4.206949472427368
7,200,200,200,4.62644362449646
8,200,200,200,3.590721845626831
9,200,200,200,5.893609285354614
10,200,200,200,9.79460883140564
11,200,200,200,5.02098536491394
12,200,200,200,3.1617119312286377
13,200,200,200,3.178043842315674
14,200,200,200,7.000899076461792
15,200,200,200,3.932452917098999
16,200,200,200,4.498724699020386
17,200,200,200,4.61120343208313
18,200,200,200,4.694334983825684
19,200,200,200,5.226161479949951
20,200,200,200,5.760682821273804
21,200,200,200,8.232708930969238
22,200,200,200,4.687791347503662
23,200,200,200,4.609551906585693
24,200,200,200,5.680019855499268
25,200,200,200,5.632113456726074
26,200,200,200,6.408462762832642
27,200,200,200,3.6972038745880127
28,200,200,200,5.333561658859253
29,200,200,200,3.4380927085876465
30,200,200,200,2.926467180252075
31,200,200,200,3.8774943351745605
32,200,200,200,3.2075042724609375
33,200,200,200,10.387821674346924
34,200,200,200,3.8711564540863037
35,200,200,200,3.018399477005005
36,200,200,200,3.1299307346343994
37,200,200,200,3.6596896648406982
38,200,200,200,7.063910961151123
39,200,200,200,4.538734197616577
40,200,200,200,3.8290083408355713
41,200,200,200,3.511023998260498
42,200,200,200,2.9919450283050537
43,200,200,200,3.0502593517303467
44,200,200,200,3.1000685691833496
45,200,200,200,4.0500168800354
46,200,200,200,6.938568830490112
47,200,200,200,4.932833909988403
48,200,200,200,4.274871826171875
49,200,200,200,3.081010103225708
50,200,200,200,3.284702777862549
51,200,200,200,3.4433839321136475
52,200,200,200,6.128114461898804
53,200,200,200,5.177363634109497
54,200,200,200,3.379227876663208
55,200,200,200,3.4511215686798096
56,200,200,200,2.8400652408599854
57,200,200,200,3.0524001121520996
58,200,200,200,3.2312283515930176
59,200,200,200,5.958481311798096
60,200,200,200,5.252580642700195
61,200,200,200,3.777038812637329
62,200,200,200,3.51027512550354
63,200,200,200,4.021189451217651
64,200,200,200,3.383542776107788
65,200,200,200,3.2846508026123047
66,200,200,200,3.8671348094940186
67,200,200,200,3.477774143218994
68,200,200,200,3.0264363288879395
69,200,200,200,4.2724974155426025
70,200,200,200,3.464468479156494
71,200,200,200,3.5533640384674072
72,200,200,200,3.5294530391693115
73,200,200,200,3.7207374572753906
74,200,200,200,3.3668060302734375
75,200,200,200,3.603687047958374
76,200,200,200,8.894831657409668
77,200,200,200,4.659186124801636
78,200,200,200,3.7107698917388916
79,200,200,200,3.2370378971099854
80,200,200,200,3.358523368835449
81,200,200,200,3.6539485454559326
82,200,200,200,3.6417086124420166
83,200,200,200,3.6062681674957275
84,200,200,200,3.116161823272705
